method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,quality,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_images_jitter
combined,25,42,0.0,25000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,Fallback Cams,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n25_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p25000_random_farthestpose_sharedcam/eval_results.json,,bonsai_2_n25_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p25000_random_farthestpose_sharedcam,1.2131,0.109194,25,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n25_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p25000_random_farthestpose_sharedcam/eval_results.json,bonsai_2_n25_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p25000_random_farthestpose_sharedcam,,,combined | random | Global Alignment | Fallback Cams,25.0
combined,50,42,0.0,50000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,Fallback Cams,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n50_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p50000_random_farthestpose_sharedcam/eval_results.json,,bonsai_2_n50_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p50000_random_farthestpose_sharedcam,0.3632,0.039699,50,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n50_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p50000_random_farthestpose_sharedcam/eval_results.json,bonsai_2_n50_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p50000_random_farthestpose_sharedcam,,,combined | random | Global Alignment | Fallback Cams,50.0
combined,75,42,0.0,75000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,Fallback Cams,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n75_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p75000_random_farthestpose_sharedcam/eval_results.json,,bonsai_2_n75_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p75000_random_farthestpose_sharedcam,0.3864,0.019997,75,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n75_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p75000_random_farthestpose_sharedcam/eval_results.json,bonsai_2_n75_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p75000_random_farthestpose_sharedcam,,,combined | random | Global Alignment | Fallback Cams,75.0
combined,100,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,Fallback Cams,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p100000_random_farthestpose_sharedcam/eval_results.json,,bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p100000_random_farthestpose_sharedcam,0.1993,0.012003,100,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p100000_random_farthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p100000_random_farthestpose_sharedcam,,,combined | random | Global Alignment | Fallback Cams,100.0
combined,25,42,0.0,25000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n25_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p25000_random_farthestpose_sharedcam/eval_results.json,,bonsai_2_n25_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p25000_random_farthestpose_sharedcam,0.5117,0.037079,13,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n25_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p25000_random_farthestpose_sharedcam/eval_results.json,bonsai_2_n25_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p25000_random_farthestpose_sharedcam,,,combined | random | Global Alignment | ,25.0
combined,50,42,0.0,50000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n50_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p50000_random_farthestpose_sharedcam/eval_results.json,,bonsai_2_n50_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p50000_random_farthestpose_sharedcam,0.3632,0.039699,50,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n50_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p50000_random_farthestpose_sharedcam/eval_results.json,bonsai_2_n50_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p50000_random_farthestpose_sharedcam,,,combined | random | Global Alignment | ,50.0
combined,75,42,0.0,75000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n75_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p75000_random_farthestpose_sharedcam/eval_results.json,,bonsai_2_n75_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p75000_random_farthestpose_sharedcam,0.3864,0.019997,75,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n75_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p75000_random_farthestpose_sharedcam/eval_results.json,bonsai_2_n75_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p75000_random_farthestpose_sharedcam,,,combined | random | Global Alignment | ,75.0
combined,100,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_farthestpose_sharedcam/eval_results.json,,bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_farthestpose_sharedcam,0.1993,0.012003,100,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_farthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_farthestpose_sharedcam,,,combined | random | Global Alignment | ,100.0
combined,25,42,0.0,25000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Local Alignment,,Shared Cam,Fallback Cams,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n25_s42_combined_colmapcams_bothpcd_amlocal_fallbackcams_default_c0.0_p25000_random_farthestpose_sharedcam/eval_results.json,,bonsai_2_n25_s42_combined_colmapcams_bothpcd_amlocal_fallbackcams_default_c0.0_p25000_random_farthestpose_sharedcam,1.2131,0.109194,25,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n25_s42_combined_colmapcams_bothpcd_amlocal_fallbackcams_default_c0.0_p25000_random_farthestpose_sharedcam/eval_results.json,bonsai_2_n25_s42_combined_colmapcams_bothpcd_amlocal_fallbackcams_default_c0.0_p25000_random_farthestpose_sharedcam,,,combined | random | Local Alignment | Fallback Cams,25.0
combined,50,42,0.0,50000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Local Alignment,,Shared Cam,Fallback Cams,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n50_s42_combined_colmapcams_bothpcd_amlocal_fallbackcams_default_c0.0_p50000_random_farthestpose_sharedcam/eval_results.json,,bonsai_2_n50_s42_combined_colmapcams_bothpcd_amlocal_fallbackcams_default_c0.0_p50000_random_farthestpose_sharedcam,0.3632,0.039699,50,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n50_s42_combined_colmapcams_bothpcd_amlocal_fallbackcams_default_c0.0_p50000_random_farthestpose_sharedcam/eval_results.json,bonsai_2_n50_s42_combined_colmapcams_bothpcd_amlocal_fallbackcams_default_c0.0_p50000_random_farthestpose_sharedcam,,,combined | random | Local Alignment | Fallback Cams,50.0
combined,75,42,0.0,75000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Local Alignment,,Shared Cam,Fallback Cams,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n75_s42_combined_colmapcams_bothpcd_amlocal_fallbackcams_default_c0.0_p75000_random_farthestpose_sharedcam/eval_results.json,,bonsai_2_n75_s42_combined_colmapcams_bothpcd_amlocal_fallbackcams_default_c0.0_p75000_random_farthestpose_sharedcam,0.3864,0.019997,75,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n75_s42_combined_colmapcams_bothpcd_amlocal_fallbackcams_default_c0.0_p75000_random_farthestpose_sharedcam/eval_results.json,bonsai_2_n75_s42_combined_colmapcams_bothpcd_amlocal_fallbackcams_default_c0.0_p75000_random_farthestpose_sharedcam,,,combined | random | Local Alignment | Fallback Cams,75.0
