choice,dataset,series_label_override,eval_rre,eval_rte,psnr,ssim,lpips,quality
COLMAP,bonsai,1. All Improvements,0.08372295647859573,0.0009960500756278634,25.297510147094727,0.7790734767913818,0.1364966183900833,0.7462465112630696
COLMAP,kitchen,1. All Improvements,0.051865991204977036,0.0008139288402162492,24.662944793701172,0.7073055505752563,0.1187804639339447,0.7034616513326617
COLMAP,counter,1. All Improvements,0.017444605007767677,0.00023376148601528257,27.671981811523438,0.8931698203086853,0.1513611227273941,0.8477655966960431
COLMAP,bonsai,2. No Confidence Sampling,0.08725389838218689,0.0009528523660264909,25.17979621887207,0.7717050313949585,0.13709647953510284,0.7393873066504022
COLMAP,kitchen,2. No Confidence Sampling,0.05501440912485123,0.001041119685396552,24.14279556274414,0.6999698281288147,0.11851943284273148,0.6897004923024992
COLMAP,counter,2. No Confidence Sampling,0.017400527372956276,0.0002470034232828766,27.4212646484375,0.887362003326416,0.14740070700645447,0.8421710031306766
COLMAP,bonsai,3. No Depth Conf,0.08073928207159042,0.001015872461721301,25.4266414642334,0.7875513434410095,0.1338108777999878,0.7552535132667784
COLMAP,kitchen,3. No Depth Conf,0.07476351410150528,0.0008699537720531225,22.772417068481445,0.5901085734367371,0.1212611198425293,0.5983843656233799
COLMAP,counter,3. No Depth Conf,0.02226223424077034,0.00020682976173702627,27.541606903076172,0.8839711546897888,0.14407005906105042,0.8444725665045373
COLMAP,bonsai,4. No Depth Loss,0.07841360569000244,0.0010346395429223776,25.418886184692383,0.7905167937278748,0.13420610129833221,0.7566001133108542
COLMAP,kitchen,4. No Depth Loss,0.07532204687595367,0.0008760523633100092,22.714895248413086,0.583391547203064,0.12267758697271347,0.5925166987904176
COLMAP,counter,4. No Depth Loss,0.02124938555061817,0.00019646849250420928,27.466421127319336,0.8827301263809204,0.1473993957042694,0.8402993436987481
COLMAP,bonsai,5. No Combined Points,0.0776166319847107,0.001035260153003037,25.54378890991211,0.7954827547073364,0.14396746456623077,0.7557916646076535
COLMAP,kitchen,5. No Combined Points,0.08556358516216278,0.0008918195962905884,22.442726135253906,0.5514160990715027,0.12718938291072845,0.5659923783326164
COLMAP,counter,5. No Combined Points,0.020605646073818207,0.00022327476472128183,27.591217041015625,0.8841723799705505,0.1640363335609436,0.8331840875630566
VGGT,bonsai,6. No COLMAP Cameras,0.6934566497802734,0.01881927065551281,18.46109962463379,0.5824333429336548,0.33550846576690674,0.38180526670811626
VGGT,kitchen,6. No COLMAP Cameras,0.15866483747959137,0.0047913966700434685,21.232662200927734,0.5311336517333984,0.15592406690120697,0.5139852473881432
VGGT,counter,6. No COLMAP Cameras,0.2777145802974701,0.006049837917089462,20.58078384399414,0.622958779335022,0.2260625958442688,0.5123169427571783
VGGT,bonsai,7. No Pose Opt,0.7308099269866943,0.023722030222415924,18.664011001586914,0.595427930355072,0.373970091342926,0.3694203145477662
VGGT,kitchen,7. No Pose Opt,0.28279656171798706,0.005697792861610651,20.49005699157715,0.4848734140396118,0.22959475219249725,0.42770479682438395
VGGT,counter,7. No Pose Opt,0.3872610032558441,0.007659002672880888,20.050086975097656,0.6177743673324585,0.291461318731308,0.4590878210492224
