choice,num_images,sampling_mode,align_mode,keep_backup_cams,rre,rte,num_aligned,quality
COLMAP,25,random,Global Alignment,Fallback Cams,7.8103,0.129132,25,0.12479071322007954
COLMAP,25,random,Global Alignment,,31.5574,0.044614,5,0.03362507282564449
COLMAP,25,random,Local Alignment,Fallback Cams,7.8103,0.129132,25,0.12917014714415154
COLMAP,25,random,Local Alignment,,31.5574,0.044614,5,0.0382462606715103
COLMAP,50,random,Global Alignment,Fallback Cams,147.0024,3.561043,50,0.1708505899972773
COLMAP,50,random,Global Alignment,,170.7687,3.636532,43,0.19638324922520747
COLMAP,50,random,Local Alignment,Fallback Cams,147.0024,3.561043,50,0.12042700469764969
COLMAP,50,random,Local Alignment,,170.7687,3.636532,43,0.12057593397074817
COLMAP,50,,,,158.6122,3.616413,41,0.15478331388940747
COLMAP,75,random,Global Alignment,Fallback Cams,96.5689,3.184488,75,0.1922196651759901
COLMAP,75,random,Global Alignment,,96.5689,3.184488,75,0.18194482967867487
COLMAP,75,random,Local Alignment,Fallback Cams,96.5689,3.184488,75,0.0016009706115475142
COLMAP,75,random,Local Alignment,,96.5689,3.184488,75,-0.007518123387515748
COLMAP,87,,,,12.9097,0.789921,87,0.1841184926776626
VGGT,25,random,,,2.1388,0.131855,25,0.32528806848135605
VGGT,25,,,,131.9798,3.721507,16,
VGGT,50,random,,,0.8706,0.041593,50,0.44926355278592667
VGGT,75,random,,,0.3684,0.019217,75,0.6742159442575508
VGGT,75,,,,96.5446,3.183331,75,
VGGT,87,random,Global Alignment,Fallback Cams,12.7941,0.784629,87,
VGGT,87,random,Global Alignment,,12.7941,0.784629,87,
VGGT,87,random,Local Alignment,Fallback Cams,12.7941,0.784629,87,
VGGT,87,random,Local Alignment,,12.7941,0.784629,87,
VGGT,87,random,,,0.3306,0.018825,87,0.6992689660321278
