choice,dataset,depth_loss_mode,rre,rte,psnr,lpips,ssim,quality
COLMAP,ship,,0.2963,0.015258,21.73459243774414,0.14872097969055176,0.7402476668357849,0.6500154996243601
COLMAP,ship,points,0.2963,0.015258,21.668872833251953,0.15601876378059387,0.7398792505264282,0.6440782167835619
VGGT,ship,,0.4869,0.027807,,,,
COLMAP,lego,,10.4269,0.396164,25.237646102905273,0.05288347229361534,0.9056525826454163,0.8707738399186097
COLMAP,lego,points,10.4269,0.396164,25.142532348632812,0.056012604385614395,0.9011270999908447,0.864434429994452
VGGT,lego,,0.2976,0.018838,,,,
VGGT,stump,,0.43885,0.082421,,,,
VGGT,counter,,0.18615,0.0175075,,,,
COLMAP,bicycle,,0.0986,0.006893,22.163246154785156,0.3494715690612793,0.5586552619934082,0.42783902572919363
COLMAP,bicycle,points,0.0986,0.006893,21.65953826904297,0.39189550280570984,0.5051455497741699,0.36103125912868955
VGGT,bicycle,,0.7161,0.065623,17.384122848510742,0.337806761264801,0.26788055896759033,0.17649355493945842
VGGT,bicycle,closer,0.7161,0.065623,17.499969482421875,0.3285771608352661,0.26620882749557495,0.18335852644674344
VGGT,bicycle,full,0.7161,0.065623,18.11033821105957,0.35131216049194336,0.2933022975921631,0.1964718352051971
VGGT,bicycle,points,0.7161,0.065623,17.405841827392578,0.38280487060546875,0.26891157031059265,0.149722078157912
COLMAP,bonsai,,0.1581,0.013152,24.653011322021484,0.17453931272029877,0.7761514782905579,0.7091194321343928
COLMAP,bonsai,points,0.1581,0.013152,24.098237991333008,0.185201495885849,0.7678359746932983,0.6874013897890855
VGGT,bonsai,,0.7215,0.105749,17.422657012939453,0.3988327085971832,0.5597713589668274,0.3102331869860916
VGGT,bonsai,closer,0.7215,0.105749,17.636842727661133,0.38944143056869507,0.5626346468925476,0.32167111169679974
VGGT,bonsai,full,0.7215,0.105749,17.47345733642578,0.39222973585128784,0.5574425458908081,0.31388796382790035
VGGT,bonsai,points,0.7215,0.105749,17.559188842773438,0.3961183428764343,0.5594277381896973,0.3142361407778804
VGGT,kitchen,,0.22325,0.0177335,,,,
VGGT,garden,,0.21805000000000002,0.014745000000000001,,,,
VGGT,drums,,0.1629,0.0099595,,,,
