choice,dataset,num_images,pose_opt,eval_rre,eval_rte,psnr,lpips,ssim,quality
COLMAP,bicycle,20,,,,9.327774047851562,0.9867873787879944,0.011039652861654758,-0.523502769271823
COLMAP,bicycle,20,Pose Opt,,,9.540895462036133,0.9753441214561462,0.02645329013466835,-0.5034785143561451
COLMAP,bicycle,30,,0.6528089046478271,0.0060735344886779785,12.060203552246094,0.7754727005958557,0.1813303530216217,-0.24287585874437267
COLMAP,bicycle,30,Pose Opt,1.604614496231079,0.015486866235733032,10.8599853515625,0.8103333711624146,0.15510886907577515,-0.3019552553064098
COLMAP,bicycle,40,,0.3217424154281616,0.0052596041932702065,14.498021125793457,0.6936643719673157,0.2647492289543152,-0.09844915219295165
COLMAP,bicycle,40,Pose Opt,0.5034468173980713,0.0031330257188528776,13.763751983642578,0.684519350528717,0.243632972240448,-0.11875034207411594
COLMAP,bicycle,50,,0.20111431181430817,0.00288584316149354,16.598623275756836,0.5833204984664917,0.29286250472068787,0.025004901926265068
COLMAP,bicycle,50,Pose Opt,0.38692545890808105,0.003411441808566451,15.719438552856445,0.585709810256958,0.2518213987350464,-0.01675182724246882
COLMAP,bicycle,60,,0.12974558770656586,0.0031893858686089516,17.236000061035156,0.5451602935791016,0.3305085003376007,0.08237905987212224
COLMAP,bicycle,60,Pose Opt,0.25514620542526245,0.0035350508987903595,15.947785377502441,0.547142505645752,0.2447337806224823,0.007138989899668213
COLMAP,bicycle,70,,0.13516424596309662,0.002762554446235299,17.67551040649414,0.5228040814399719,0.34432029724121094,0.11239534550630255
COLMAP,bicycle,70,Pose Opt,0.23522379994392395,0.00346929207444191,16.537628173828125,0.5214819312095642,0.26178714632987976,0.043874593893377146
COLMAP,bicycle,80,,0.14882302284240723,0.0018538631265982985,17.76422882080078,0.4812810719013214,0.3296169936656952,0.13107134333053452
COLMAP,bicycle,80,Pose Opt,0.20063269138336182,0.0025564010720700026,17.295671463012695,0.47364091873168945,0.2938806712627411,0.106212065001445
COLMAP,bicycle,90,,0.11796092987060547,0.0020110192708671093,20.889169692993164,0.395292729139328,0.447834849357605,0.31115309161129834
COLMAP,bicycle,90,Pose Opt,0.12587085366249084,0.0023152194917201996,21.84345245361328,0.37501060962677,0.5299972295761108,0.3893929970117263
COLMAP,bicycle,100,,0.09855562448501587,0.0017129764892160892,21.33245086669922,0.36376556754112244,0.4795043170452118,0.3573433696410345
COLMAP,bicycle,100,Pose Opt,0.1106053814291954,0.002470657927915454,22.163246154785156,0.3494715690612793,0.5586552619934082,0.42783902572919363
VGGT,bicycle,10,,1.7481104135513306,0.032361723482608795,13.886941909790039,0.564899742603302,0.14940664172172546,-0.09773290025637933
VGGT,bicycle,10,Pose Opt,1.7695362567901611,0.03303282707929611,13.894234657287598,0.5660611391067505,0.15039774775505066,-0.09773516662714143
VGGT,bicycle,20,,1.1489726305007935,0.026676107197999954,15.57375717163086,0.4779299795627594,0.19145579636096954,0.011779607233093348
VGGT,bicycle,20,Pose Opt,1.1133158206939697,0.02674267813563347,15.618000984191895,0.4717748165130615,0.19081109762191772,0.016021403652882737
VGGT,bicycle,30,,0.9303409457206726,0.01971176452934742,15.898926734924316,0.46737852692604065,0.19984975457191467,0.029223255672727506
VGGT,bicycle,30,Pose Opt,0.8984349966049194,0.019486337900161743,16.09134292602539,0.4458269476890564,0.20969036221504211,0.05184470375611305
VGGT,bicycle,40,,0.9968496561050415,0.019240060821175575,15.945895195007324,0.4716128408908844,0.20698022842407227,0.031649135667988104
VGGT,bicycle,40,Pose Opt,0.9950696229934692,0.018973028287291527,16.245380401611328,0.43395113945007324,0.21795745193958282,0.06686255082129813
VGGT,bicycle,50,,0.8721495866775513,0.01954469457268715,16.468069076538086,0.4436219036579132,0.21807128190994263,0.06508337487021854
VGGT,bicycle,60,,0.6712613701820374,0.016506878659129143,16.939054489135742,0.42465606331825256,0.2356017380952835,0.09576436457035993
VGGT,bicycle,70,,0.6323220133781433,0.017158910632133484,17.376220703125,0.4238673448562622,0.2502083480358124,0.11288877560613682
VGGT,bicycle,80,,0.6604012846946716,0.016308795660734177,17.034706115722656,0.4331849217414856,0.24800460040569305,0.09952409942092799
VGGT,bicycle,90,,0.6674981713294983,0.015997454524040222,17.57514190673828,0.4260188937187195,0.25921404361724854,0.12051087366132632
VGGT,bicycle,100,,0.7160574197769165,0.015081527642905712,17.558757781982422,0.4272405803203583,0.26381954550743103,0.12214661237092046
VGGT,bicycle,100,Pose Opt,0.4889967441558838,0.013628819026052952,17.384122848510742,0.337806761264801,0.26788055896759033,0.17649355493945842
COLMAP,garden,10,,0.1553097516298294,0.002008326118811965,12.088115692138672,0.8129224181175232,0.3121573328971863,-0.18896907107097283
COLMAP,garden,10,Pose Opt,1.496121883392334,0.015599575825035572,12.355728149414062,0.7979275584220886,0.3093775510787964,-0.1763828019959497
COLMAP,garden,20,,0.0712534636259079,0.001076416694559157,20.02493667602539,0.41124892234802246,0.42755913734436035,0.27344213297337666
COLMAP,garden,20,Pose Opt,0.09067954868078232,0.0009397167013958097,19.309799194335938,0.41384539008140564,0.3691636919975281,0.2244467051715492
COLMAP,garden,30,,0.060017529875040054,0.0008103552390821278,21.341663360595703,0.35292357206344604,0.4843105971813202,0.3670172513189681
COLMAP,garden,30,Pose Opt,0.06420423090457916,0.0007610706379637122,20.769878387451172,0.34935519099235535,0.42895811796188354,0.3262614741814919
COLMAP,garden,40,,0.05533242225646973,0.0007421387708745897,21.740819931030273,0.324906587600708,0.5058983564376831,0.4043278951316472
COLMAP,garden,40,Pose Opt,0.05164923146367073,0.0007186616421677172,21.58345603942871,0.3222866654396057,0.4910855293273926,0.3943685128984705
COLMAP,garden,50,,0.05931065231561661,0.0007700041169300675,21.612417221069336,0.3072568476200104,0.4805939197540283,0.39804705220278863
COLMAP,garden,60,,0.06104569882154465,0.0007794856210239232,21.491430282592773,0.2942298352718353,0.4748828113079071,0.4005080894884775
COLMAP,garden,70,,0.05747002735733986,0.0007039435440674424,21.828954696655273,0.2892979085445404,0.4910716712474823,0.4192701103704327
COLMAP,garden,80,,0.06024349853396416,0.0006563903298228979,21.89204978942871,0.2789727747440338,0.4924449622631073,0.4276151715585983
COLMAP,garden,90,,0.06100163981318474,0.0006497479043900967,21.615209579467773,0.2742122411727905,0.4717768430709839,0.41334048256307093
COLMAP,garden,100,,0.06278770416975021,0.0006200820789672434,21.593313217163086,0.27146899700164795,0.4668513238430023,0.41174793437055524
COLMAP,garden,100,Pose Opt,0.04868227615952492,0.0005747699178755283,22.12991714477539,0.2636813521385193,0.5120896697044373,0.45294740534665295
VGGT,garden,10,,0.7165560722351074,0.009481679648160934,15.705806732177734,0.45390960574150085,0.24210357666015625,0.05867094568341798
VGGT,garden,10,Pose Opt,0.4746391773223877,0.009286259301006794,15.86151123046875,0.44289296865463257,0.24762408435344696,0.07158312265403557
VGGT,garden,20,,0.30391043424606323,0.004485168494284153,17.63550567626953,0.3881603181362152,0.29234230518341064,0.16437146472342218
VGGT,garden,20,Pose Opt,0.14591506123542786,0.003356344997882843,18.334653854370117,0.33225375413894653,0.3257960081100464,0.23139244685938326
VGGT,garden,30,,0.27626579999923706,0.004255397245287895,18.296157836914062,0.38348087668418884,0.31613776087760925,0.19340977926700434
VGGT,garden,30,Pose Opt,0.09548536688089371,0.0029620386194437742,19.41567611694336,0.29161977767944336,0.38543829321861267,0.31137260846924364
VGGT,garden,40,,0.2897794842720032,0.005342228338122368,18.477710723876953,0.39906367659568787,0.33155709505081177,0.19617001196252132
VGGT,garden,40,Pose Opt,0.08842624723911285,0.0033329613506793976,19.92060089111328,0.29127728939056396,0.40400418639183044,0.3317917272438858
VGGT,garden,50,,0.3084382116794586,0.0055740936659276485,18.490015029907227,0.4125257432460785,0.33474934101104736,0.18995476229923594
VGGT,garden,60,,0.34496501088142395,0.005452123936265707,18.57674789428711,0.42809295654296875,0.34289664030075073,0.18671603803901105
VGGT,garden,70,,0.3450113534927368,0.005601751618087292,18.509471893310547,0.44716542959213257,0.3433394432067871,0.1739560037251027
VGGT,garden,80,,0.337533175945282,0.005719637498259544,18.648509979248047,0.4542264938354492,0.3519868850708008,0.17722908500884552
VGGT,garden,90,,0.3785015642642975,0.006001685280352831,18.36630630493164,0.4733390510082245,0.3512688875198364,0.15978533463326272
VGGT,garden,100,,0.3733385503292084,0.005971261765807867,18.581771850585938,0.4816316068172455,0.357485294342041,0.16229190134707794
VGGT,garden,100,Pose Opt,0.13491961359977722,0.004315244033932686,19.350812911987305,0.33780568838119507,0.3663502633571625,0.2704990260240085
COLMAP,stump,20,,0.8679588437080383,0.01551740150898695,13.261056900024414,0.9025721549987793,0.21870732307434082,-0.27723640989684056
COLMAP,stump,20,Pose Opt,2.5334455966949463,0.038304466754198074,12.789386749267578,0.9256043434143066,0.14929628372192383,-0.34077969365804656
COLMAP,stump,40,,0.16990302503108978,0.0019096970790997148,14.14830493927002,0.6600099802017212,0.3183920383453369,-0.052780997993265924
COLMAP,stump,40,Pose Opt,0.6196070909500122,0.014289326034486294,14.787765502929688,0.6513059735298157,0.3428933024406433,-0.02123806746150077
COLMAP,stump,50,,0.10427723824977875,0.003057029563933611,18.548948287963867,0.570600152015686,0.4627021849155426,0.16829554789867243
COLMAP,stump,60,,0.04592454433441162,0.0016194164054468274,22.32096290588379,0.45566052198410034,0.5940389633178711,0.3859031929297444
COLMAP,stump,70,,0.04453441500663757,0.0010542725212872028,23.635705947875977,0.401500940322876,0.6541711688041687,0.47884715927971727
COLMAP,stump,80,,0.02805793657898903,0.0006820500129833817,24.567461013793945,0.3754517138004303,0.6963680386543274,0.5368581842570587
COLMAP,stump,90,,0.02323235385119915,0.0006323872948996723,24.89565658569336,0.3640785217285156,0.7062732577323914,0.5557488947428999
COLMAP,stump,100,,0.02191883511841297,0.0005273927235975862,25.253517150878906,0.34493592381477356,0.7209020853042603,0.5827472306366783
COLMAP,stump,100,Pose Opt,0.03414143621921539,0.001068504061549902,24.832897186279297,0.3404231071472168,0.6964612603187561,0.563450781225461
VGGT,stump,10,,2.3893332481384277,0.11616130918264389,14.957914352416992,0.5995839834213257,0.27082401514053345,-0.028305790500256573
VGGT,stump,10,Pose Opt,2.3631744384765625,0.11537380516529083,14.979829788208008,0.5985628366470337,0.2731395959854126,-0.025915470736765662
VGGT,stump,20,,1.5108363628387451,0.06999406218528748,15.908185958862305,0.5520498156547546,0.2879822552204132,0.02866796923582241
VGGT,stump,20,Pose Opt,3.0859811305999756,0.06916745752096176,15.881011962890625,0.5566140413284302,0.29004812240600586,0.026555433298102317
VGGT,stump,30,,1.2377395629882812,0.03411062806844711,17.118066787719727,0.519586980342865,0.3277062773704529,0.09434237930974532
VGGT,stump,30,Pose Opt,1.1974972486495972,0.033216629177331924,17.133214950561523,0.5170958042144775,0.3305170238018036,0.0978043752494302
VGGT,stump,40,,0.8703087568283081,0.028945788741111755,17.673416137695312,0.5088943243026733,0.35270050168037415,0.12584353693899514
VGGT,stump,40,Pose Opt,0.794925332069397,0.027240118011832237,17.802413940429688,0.4980175495147705,0.359388530254364,0.13885757146987768
VGGT,stump,50,,0.8487236499786377,0.03275053948163986,17.815614700317383,0.5122337937355042,0.3634345531463623,0.1326926658492804
