Choice,Num Images,Num Points,RRE ↓,RTE ↓,PSNR ↑,LPIPS ↓,SSIM ↑,Final Gaussian Count ↓
COLMAP,50,3105,0.383,0.024467,15.879034996032715,0.6041828989982605,0.26500794291496277,1000000
COLMAP,50,3107,0.4373,0.025516,15.908113479614258,0.6026934385299683,0.2665945887565613,1000000
VGGT,50,55000,0.9199,0.086453,16.71922492980957,0.4964630901813507,0.24436457455158234,1000000
VGGT,50,55000,0.7686,0.079451,16.879575729370117,0.4718780517578125,0.24196796119213104,1000000
VGGT,50,55000,0.9165,0.086201,16.770620346069336,0.49961692094802856,0.2466667890548706,1000000
VGGT,50,110000,0.9199,0.086453,16.57892608642578,0.48817571997642517,0.23392347991466522,1000000
VGGT,50,110000,0.7686,0.079451,16.855562210083008,0.4737034738063812,0.23744246363639832,1000000
VGGT,50,110000,0.9165,0.086201,16.715375900268555,0.4849286675453186,0.23482470214366913,1000000
COLMAP,100,16447,0.0989,0.017192,21.233394622802734,0.3732696771621704,0.4943369925022125,1000000
COLMAP,100,16589,0.1024,0.017495,20.920557022094727,0.3674790859222412,0.4831123948097229,1000000
COLMAP,100,16627,0.1049,0.017545,21.084463119506836,0.3635961413383484,0.49296194314956665,1000000
VGGT,100,110000,0.857,0.067143,17.31154441833496,0.4846026599407196,0.27133893966674805,1000000
VGGT,100,110000,0.8604,0.06754,17.294458389282227,0.4864136278629303,0.27170222997665405,1000000
VGGT,100,110000,0.857,0.067143,17.28801727294922,0.48047006130218506,0.27036672830581665,1000000
VGGT,100,220000,0.857,0.067143,17.293678283691406,0.4746856689453125,0.2641197144985199,1000000
VGGT,100,220000,0.8604,0.06754,17.26930046081543,0.4771100580692291,0.26477381587028503,1000000
VGGT,100,220000,0.857,0.067143,17.286447525024414,0.47495222091674805,0.26454073190689087,1000000
