choice,dataset,num_images,pose_opt,use_gt_extrinsics,use_gt_points,eval_rre,eval_rte,psnr,lpips,ssim,quality
VGGT,bicycle,20,,GT Extrinsics,,0.0,0.0,17.823530197143555,0.4073490500450134,0.32659032940864563,0.17603658839740716
VGGT,bicycle,20,,GT Extrinsics,GT Points,0.0,0.0,18.56460952758789,0.3832816183567047,0.39480647444725037,0.24450920149441896
VGGT,bicycle,20,Pose Opt,,,1.1133158206939697,0.02674267813563347,15.618000984191895,0.4717748165130615,0.19081109762191772,0.016021403652882737
VGGT,bicycle,20,Pose Opt,,GT Points,1.1544673442840576,0.025678938254714012,15.81060791015625,0.46977201104164124,0.20362910628318787,0.0283204097496836
VGGT,bicycle,40,,GT Extrinsics,,0.0,0.0,19.572978973388672,0.3420436680316925,0.43042516708374023,0.3094678794586325
VGGT,bicycle,40,,GT Extrinsics,GT Points,0.0,0.0,20.504467010498047,0.3153042197227478,0.5019310116767883,0.38503977360084046
VGGT,bicycle,40,Pose Opt,,,0.9950696229934692,0.018973028287291527,16.245380401611328,0.43395113945007324,0.21795745193958282,0.06686255082129813
VGGT,bicycle,40,Pose Opt,,GT Points,0.8512986302375793,0.01763317361474037,16.44038200378418,0.40669822692871094,0.22268827259540558,0.0900630388963215
VGGT,bicycle,100,,GT Extrinsics,,0.0,0.0,22.770076751708984,0.2482174187898636,0.6338316798210144,0.5455420087149113
VGGT,bicycle,100,,GT Extrinsics,GT Points,0.0,0.0,23.288042068481445,0.25135791301727295,0.6615500450134277,0.5694049526298874
VGGT,bicycle,100,Pose Opt,,,0.4889967441558838,0.013628819026052952,17.384122848510742,0.337806761264801,0.26788055896759033,0.17649355493945842
VGGT,bicycle,100,Pose Opt,,GT Points,0.3924523890018463,0.01281000953167677,18.450572967529297,0.3153437077999115,0.2997228801250458,0.22872995404627045
VGGT,bonsai,20,,GT Extrinsics,,0.0,0.0,19.711456298828125,0.33455726504325867,0.658203125,0.44985699494834686
VGGT,bonsai,20,,GT Extrinsics,GT Points,0.0,0.0,21.996252059936523,0.2672232985496521,0.7818755507469177,0.6060552604017202
VGGT,bonsai,20,Pose Opt,,,0.9037681818008423,0.02400674857199192,16.24112892150879,0.46481478214263916,0.501432478427887,0.21350705770798672
VGGT,bonsai,20,Pose Opt,,GT Points,0.9484890103340149,0.023915544152259827,15.891634941101074,0.4896072447299957,0.499285489320755,0.1904754085227837
VGGT,bonsai,40,,GT Extrinsics,,0.0,0.0,22.450010299682617,0.2599208354949951,0.7589200139045715,0.6055415934599244
VGGT,bonsai,40,,GT Extrinsics,GT Points,0.0,0.0,25.041038513183594,0.2006063014268875,0.854177713394165,0.7458437643436892
VGGT,bonsai,40,Pose Opt,,,0.7884508371353149,0.02240687608718872,16.5290584564209,0.4392838478088379,0.5240887999534607,0.24784823297447317
VGGT,bonsai,40,Pose Opt,,GT Points,0.9162182807922363,0.022269532084465027,16.425464630126953,0.455233097076416,0.5236619114875793,0.23583497080886576
VGGT,bonsai,100,,GT Extrinsics,,0.0,0.0,26.098609924316406,0.21166729927062988,0.8379709124565125,0.7491229822916052
VGGT,bonsai,100,,GT Extrinsics,GT Points,0.0,0.0,28.999727249145508,0.14591477811336517,0.9131872057914734,0.8874214896720443
VGGT,bonsai,100,Pose Opt,,,0.7885617017745972,0.021631203591823578,17.422657012939453,0.3988327085971832,0.5597713589668274,0.3102331869860916
VGGT,bonsai,100,Pose Opt,,GT Points,0.7319159507751465,0.019258812069892883,17.5989933013916,0.3918372094631195,0.5665996074676514,0.3218100109295538
VGGT,lego,20,,GT Extrinsics,,0.0,0.0,26.837018966674805,0.062220439314842224,0.9046939611434937,0.89406769865515
VGGT,lego,20,Pose Opt,,,2.17228627204895,0.0314418189227581,13.527885437011719,0.3289046585559845,0.6177788972854614,0.3151957874487095
VGGT,lego,40,,GT Extrinsics,,0.0,0.0,31.47730255126953,0.03525213524699211,0.9658392071723938,1.032403431242166
VGGT,lego,40,Pose Opt,,,1.1891047954559326,0.0141433235257864,14.320556640625,0.26488545536994934,0.6630575656890869,0.3958716639223774
VGGT,lego,87,,GT Extrinsics,,0.0,0.0,33.284175872802734,0.031800854951143265,0.9806314706802368,1.0766449147391195
VGGT,lego,87,Pose Opt,,,0.2516995370388031,0.006157866213470697,20.352569580078125,0.07587305456399918,0.773491382598877,0.6888311082101471
