method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,rre,rte,num_aligned,raw_eval_metrics,file_path,sfm_file_path,folder,input_folder,output_folder,plot_series
colmap,87,42,,,,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,pinhole,,,,default,MCMC,,,,,Shared Cam,,,,,sfm,0.1229,0.00689,87,"{'rre': [0.061962613649819365, 0.20142725018556284, 0.12465385622631889, 0.10539423347215611, 0.05980192435670776, 0.08126667294723564, 0.1413646988172893, 0.2138104951518449, 0.18516120959147195, 0.019488610440219902, 0.09964848506444755, 0.0565716551503284, 0.13877885752965324, 0.020339339962475573, 0.12973693341513703, 0.1371102918246008, 0.04763444827019929, 0.14102316969235693, 0.10681427263776788, 0.12534378722361325, 0.07116838310467441, 0.1435959569354327, 0.08749801617943327, 0.16971530213624117, 0.348255072042777, 0.24624185362845266, 0.1648455844353524, 0.10693679214094107, 0.039016697773348485, 0.08325379413173453, 0.18973166301153047, 0.043425326422827835, 0.06820949828381147, 0.15277419848691426, 0.1929094290140563, 0.0571813880740296, 0.06361759265145474, 0.18060808419970575, 0.21729676350055058, 0.24214553652956064, 0.12032171271800186, 0.11005514038118185, 0.17283968999702404, 0.1952542071109803, 0.19506934012512192, 0.054789302311351804, 0.0957039514651341, 0.035765064733783374, 0.08290629584651713, 0.0878381972929337, 0.16459617394904955, 0.09872698325514616, 0.10255589972810841, 0.12395385604657991, 0.11039208591303298, 0.12997410627391376, 0.12094594845578806, 0.15634626509340718, 0.13574422221654356, 0.10497322820679643, 0.16679490662146243, 0.1177870355803968, 0.21821337991968626, 0.059720905509193255, 0.15164757950950633, 0.05757697985995669, 0.05123685947666765, 0.3188332513123843, 0.07047149034364517, 0.1335384207839369, 0.11660427884476698, 0.07351657454312316, 0.0991642155831593, 0.09503413624641512, 0.1440680073334305, 0.1548152880495128, 0.2314059881699739, 0.13080226052842348, 0.10941736244240163, 0.1461655426739134, 0.12624145316949376, 0.11620157533139455, 0.04800563471449924, 0.1592649496140434, 0.02712101346288921, 0.054799365359675986, 0.05288500477735287], 'rte': [0.0050791036646021725, 0.010773334033768373, 0.008163277651096526, 0.0029842237233615346, 0.0037927977662879325, 0.00196414326538778, 0.00854090996123474, 0.016298596101450017, 0.009890788553759015, 0.003892494967196962, 0.0061708163001285956, 0.0028007022493045054, 0.005437087533329236, 0.004107933551327987, 0.004731871552144704, 0.004951506534907027, 0.002864645888436035, 0.0049520534527645816, 0.005153819161026905, 0.00497286843748996, 0.0024580157581711413, 0.006600235485239898, 0.003168047852837294, 0.0076658979477251515, 0.024836816545119395, 0.015037106173848735, 0.010315017342285947, 0.0034401610142506824, 0.003689029528772549, 0.0036591404012803344, 0.011753992849059232, 0.005859888022016904, 0.0055987157426519085, 0.006448549809248616, 0.013509544563230417, 0.0038253617606642406, 0.003938198484130742, 0.01308142560665526, 0.010971315204967526, 0.012215214266183012, 0.008790765132174583, 0.0031669350082345325, 0.009584888956546411, 0.011423949009119246, 0.009728249677971939, 0.0028786732358255978, 0.006325011734676539, 0.004045950990803827, 0.002530721030851373, 0.006691987775222184, 0.008868079683419594, 0.0035407920559370277, 0.004167051717002743, 0.00831914717641909, 0.007780420638711329, 0.005000126265003052, 0.004882675199579718, 0.007631344355127266, 0.0051564215918567125, 0.006355152158784795, 0.008796903789867925, 0.006014165061320608, 0.0105740153163492, 0.003743492879419974, 0.007105425266088454, 0.0026774908216024916, 0.0023599747225682946, 0.02206169143221472, 0.0031688102274334737, 0.00505764589608099, 0.005821335907127707, 0.0033287755360422657, 0.005896715885242003, 0.008649652672109716, 0.005837783563504115, 0.006138125161517514, 0.013127134405218392, 0.011715043519561654, 0.009920123820172246, 0.010252295629158524, 0.004469983471224684, 0.004074319824564308, 0.00475998468471047, 0.009841701871988398, 0.005831222325546231, 0.0031848271016903236, 0.00258193145380469]}",/home/ojab2/work/git/vggt/colmap_outputs/chair_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/colmap_outputs/chair_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,chair_1_n87_s42_default_mpinhole_farthestpose_sharedcam,chair_1_n87_s42_default_mpinhole_farthestpose_sharedcam,,colmap | 
vggt,87,42,0.0,95700,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,,MCMC,,,,,,,,,,sfm,0.5251,0.02329,87,"{'rre': [0.42760049352451623, 0.5670747213802181, 0.7579656133093047, 0.5334448498268627, 0.5367248308580447, 0.11326880440873785, 0.9547545184131226, 0.5354273614316469, 0.6990294417048302, 0.2972736516919983, 0.38976470714962014, 0.8206121143280498, 0.6346430124580528, 0.415560651438189, 0.4055746040898399, 0.5276777474684629, 0.8432806372074284, 0.5532256586111451, 0.670434398456934, 0.8539431501933746, 0.5740020070173613, 0.7902487301300828, 0.8060734904220822, 0.4928991190335204, 0.512581221856513, 0.5783076537772914, 0.8431436785932657, 0.547544322977938, 0.2803762424626551, 0.23908062408516606, 0.6823320656416059, 0.13363422315948825, 0.6423805896709779, 0.41303444295933656, 0.47332495455389545, 0.5399353384848907, 0.5964167212654042, 0.819549146233269, 0.6803288747951386, 0.3854270190040902, 0.7083816317647883, 0.4414218232435508, 0.7204972241637765, 0.9978412225807092, 0.509480366954939, 0.3254727747588446, 0.6053410741405173, 0.6817789784959907, 0.7161166576164856, 0.536691180969646, 0.17406207528272685, 0.481322607315738, 0.4582576373037961, 0.47240137821323136, 0.6564412886502821, 0.2533605486086614, 0.5216382807032911, 0.23435873771320218, 0.38040230363143523, 0.5690543929049571, 0.7726778736160471, 0.4497123814293909, 0.6300834838986595, 0.2113596792937217, 0.22307679510917994, 0.4812118911545826, 0.20495821462112193, 1.0592470174731479, 0.5522672645527914, 0.26478609721809654, 0.4655707424413394, 0.33686168914195874, 0.44828575146100913, 0.3236120472628965, 0.3763603479690649, 0.2899914998186768, 0.6546206115257173, 0.6449986944978147, 0.5423535479113313, 0.4620372153167903, 0.35472336712170416, 0.5648480029080106, 0.36684665146933404, 0.43684380400715495, 0.8723744575096556, 0.5105629675600337, 0.174241194756415], 'rte': [0.012162023204498948, 0.05405355034733487, 0.0340636693247572, 0.0180799427767415, 0.02420163354830391, 0.020493971897864786, 0.040934897570359126, 0.03194644878514906, 0.025384031881189446, 0.012745518101451938, 0.010925477898611443, 0.057977697428636135, 0.02173798149320096, 0.0178217550060057, 0.006953339361933763, 0.009183400465735635, 0.040536474247159816, 0.02147085692513859, 0.017129333933802213, 0.05440624309887005, 0.025829400894098343, 0.037080978588997095, 0.048406411798892594, 0.014755782151405248, 0.0453255833631602, 0.013348248576041144, 0.05377069095105911, 0.019634583891170447, 0.03199727356281827, 0.018901326165571025, 0.041004108658695346, 0.016722595239925475, 0.03238264400983871, 0.012709210765664761, 0.03795723091500671, 0.024471803064711483, 0.012792029357613966, 0.014543126111632195, 0.022174274520520603, 0.013877368783396706, 0.035387057497758376, 0.016248275978347014, 0.006636314233795792, 0.035288461726969055, 0.019102713270463235, 0.012490627886283929, 0.020653454044972458, 0.022592105711161232, 0.03553259165931285, 0.031970507845648664, 0.020881648687993012, 0.0157420591173787, 0.00872620566910781, 0.014967659734714436, 0.023732305069681613, 0.023883252986824546, 0.011904884859278257, 0.006995329716328991, 0.017111661215395816, 0.03589570052707734, 0.013305940601627639, 0.005035469766677676, 0.025553583689142755, 0.02359394651008873, 0.016321779722616076, 0.006300962624818634, 0.02286882364732958, 0.0432018723446537, 0.013176611337977656, 0.023240937420080755, 0.024783566921755852, 0.010328399186214907, 0.008437918437951565, 0.022496826930647838, 0.028622672478434998, 0.010898238965523789, 0.020451165018342196, 0.041279576656580066, 0.0350219126946508, 0.02768652150495912, 0.01010445083681687, 0.010887789663088355, 0.01792482309714304, 0.009300845978345053, 0.03823970862896637, 0.011981438997289087, 0.019575644190339893]}",/home/ojab2/work/git/vggt/vggt_outputs/chair_1_n87_s42_c0.0_p95700_random_farthestpose/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/chair_1_n87_s42_c0.0_p95700_random_farthestpose/eval_results.json,chair_1_n87_s42_c0.0_p95700_random_farthestpose,chair_1_n87_s42_c0.0_p95700_random_farthestpose,,vggt | 
