method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,quality,real_num_points,file_path,folder,rre,rte,num_aligned,plot_series,num_images_jitter
combined,25,42,0.0,25000,random,farthestpose,25,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Fallback Cams,,,,gsplat,15.499674797058105,0.5089662075042725,0.21490444242954254,1000000,0.0174809992313385,1.4228999614715576,0.004962204531309651,25667,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n25_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p25000_random_farthestpose_i25_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n25_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p25000_random_farthestpose_i25_gteval_poseopt_steps15000,1.419,0.089213,25,combined | random | Global Alignment | Fallback Cams,25.0
combined,50,42,0.0,50000,random,farthestpose,50,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Fallback Cams,,,,gsplat,17.62680435180664,0.38283485174179077,0.26051315665245056,1000000,0.015937000513076782,0.715399980545044,0.1488841168674422,53101,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n50_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p50000_random_farthestpose_i50_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p50000_random_farthestpose_i50_gteval_poseopt_steps15000,0.7647,0.07365,50,combined | random | Global Alignment | Fallback Cams,50.0
combined,75,42,0.0,75000,random,farthestpose,75,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Fallback Cams,,,,gsplat,18.37734031677246,0.33766937255859375,0.29499343037605286,1000000,0.01603800058364868,0.5526999831199646,0.21082675921754304,81098,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n75_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p75000_random_farthestpose_i75_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n75_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p75000_random_farthestpose_i75_gteval_poseopt_steps15000,0.6276,0.069716,75,combined | random | Global Alignment | Fallback Cams,75.0
combined,100,42,0.0,100000,random,farthestpose,100,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Fallback Cams,,,,gsplat,21.386695861816406,0.24505819380283356,0.5329620838165283,1000000,0.004093999974429607,0.08959999680519104,0.462885915129273,116592,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n100_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_steps15000,0.1067,0.017644,100,combined | random | Global Alignment | Fallback Cams,100.0
combined,25,42,0.0,25000,random,farthestpose,25,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,,,,,gsplat,12.683277130126953,0.6812962293624878,0.15546736121177673,1000000,0.012969999574124813,1.7845999002456665,-0.18832839154980247,7706,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n25_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p25000_random_farthestpose_i25_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n25_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p25000_random_farthestpose_i25_gteval_poseopt_steps15000,2.0248,0.019853,7,combined | random | Global Alignment | ,25.0
combined,50,42,0.0,50000,random,farthestpose,50,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,,,,,gsplat,15.5274658203125,0.4673634171485901,0.2159794420003891,1000000,0.006173000205308199,0.3813000023365021,0.031786242617346305,31959,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n50_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p50000_random_farthestpose_i50_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p50000_random_farthestpose_i50_gteval_poseopt_steps15000,0.4107,0.024175,29,combined | random | Global Alignment | ,50.0
combined,75,42,0.0,75000,random,farthestpose,75,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,,,,,gsplat,16.363862991333008,0.39426276087760925,0.2385704219341278,1000000,0.010120999999344349,0.28550001978874207,0.10561004038984859,50155,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n75_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p75000_random_farthestpose_i75_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n75_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p75000_random_farthestpose_i75_gteval_poseopt_steps15000,0.3172,0.031599,44,combined | random | Global Alignment | ,75.0
combined,100,42,0.0,100000,random,farthestpose,100,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,,,,,gsplat,21.35991859436035,0.24524331092834473,0.534141480922699,1000000,0.004101999569684267,0.08949999511241913,0.4629654758854916,116592,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_farthestpose_i100_gteval_poseopt_steps15000,0.1067,0.017644,100,combined | random | Global Alignment | ,100.0
combined,25,42,0.0,25000,random,farthestpose,25,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Local Alignment,,Fallback Cams,,,,gsplat,15.421609878540039,0.5118098258972168,0.21294303238391876,1000000,0.01820499822497368,1.443199872970581,0.0006142144779480718,25667,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n25_s42_combined_colmapcams_bothpcd_amlocal_fallbackcams_default_c0.0_p25000_random_farthestpose_i25_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n25_s42_combined_colmapcams_bothpcd_amlocal_fallbackcams_default_c0.0_p25000_random_farthestpose_i25_gteval_poseopt_steps15000,1.419,0.089213,25,combined | random | Local Alignment | Fallback Cams,25.0
combined,50,42,0.0,50000,random,farthestpose,50,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Local Alignment,,Fallback Cams,,,,gsplat,17.58679962158203,0.38920390605926514,0.2604626417160034,1000000,0.015772001817822456,0.716499924659729,0.14418223262065571,53101,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n50_s42_combined_colmapcams_bothpcd_amlocal_fallbackcams_default_c0.0_p50000_random_farthestpose_i50_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_combined_colmapcams_bothpcd_amlocal_fallbackcams_default_c0.0_p50000_random_farthestpose_i50_gteval_poseopt_steps15000,0.7647,0.07365,50,combined | random | Local Alignment | Fallback Cams,50.0
combined,75,42,0.0,75000,random,farthestpose,75,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Local Alignment,,Fallback Cams,,,,gsplat,18.413639068603516,0.34149760007858276,0.2979130744934082,1000000,0.01588599942624569,0.5504000186920166,0.2108432491388005,81098,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n75_s42_combined_colmapcams_bothpcd_amlocal_fallbackcams_default_c0.0_p75000_random_farthestpose_i75_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n75_s42_combined_colmapcams_bothpcd_amlocal_fallbackcams_default_c0.0_p75000_random_farthestpose_i75_gteval_poseopt_steps15000,0.6276,0.069716,75,combined | random | Local Alignment | Fallback Cams,75.0
