choice,num_points,psnr,lpips,ssim
COLMAP,10092,10.16973876953125,0.5301704406738281,0.5224648714065552
VGGT,870,20.529579162597656,0.13060832023620605,0.7726826667785645
VGGT,4350,20.44330406188965,0.11348069459199905,0.7693260312080383
VGGT,8700,20.414777755737305,0.10969899594783783,0.7678912281990051
VGGT,17400,20.417938232421875,0.10619063675403595,0.7679940462112427
VGGT,26100,20.478391647338867,0.10447602719068527,0.7689579129219055
VGGT,43500,20.437387466430664,0.10419963300228119,0.7681089639663696
VGGT,65250,20.411842346191406,0.1035378947854042,0.7676185965538025
VGGT,87000,20.34149932861328,0.10283281654119492,0.7657451629638672
VGGT,217500,20.3803768157959,0.10142013430595398,0.7659721374511719
VGGT,435000,20.44492530822754,0.1014232486486435,0.7676148414611816
VGGT,870000,20.44133186340332,0.10861620306968689,0.7683588266372681
