choice,dataset,num_images,inference_time,peak_memory_mb
COLMAP,bicycle,10,,
COLMAP,bicycle,20,,
COLMAP,bicycle,30,7.97350811958313,1434.0
COLMAP,bicycle,40,14.81194806098938,1434.0
COLMAP,bicycle,50,10.574543714523315,7346.0
COLMAP,bicycle,60,14.349272727966309,7410.0
COLMAP,bicycle,70,20.831656455993652,7470.0
COLMAP,bicycle,80,27.30118417739868,7552.0
COLMAP,bicycle,90,32.59644627571106,7616.0
COLMAP,bicycle,100,45.9896764755249,7676.0
VGGT,bicycle,10,0.5470399141311646,9829.32373046875
VGGT,bicycle,20,1.3625272035598754,12677.69287109375
VGGT,bicycle,30,2.2640526056289674,15754.2490234375
VGGT,bicycle,40,3.350992751121521,18836.04638671875
VGGT,bicycle,50,4.672883772850037,21895.35009765625
VGGT,bicycle,60,6.1404965877532955,24973.3662109375
VGGT,bicycle,70,7.8654885530471805,28060.35400390625
VGGT,bicycle,80,9.692562007904053,31121.44091796875
VGGT,bicycle,90,11.652852654457092,34199.01318359375
VGGT,bicycle,100,13.795529508590699,37285.01025390625
COLMAP,garden,10,,
COLMAP,garden,20,8.679940223693848,9086.0
COLMAP,garden,30,16.621281385421753,9150.0
COLMAP,garden,40,27.414010047912598,9210.0
COLMAP,garden,50,31.005630254745483,9792.0
COLMAP,garden,60,48.06957793235779,9856.0
COLMAP,garden,70,59.864672899246216,9916.0
COLMAP,garden,80,81.6151819229126,9976.0
COLMAP,garden,90,96.32287335395813,10040.0
COLMAP,garden,100,146.44858503341675,10100.0
VGGT,garden,10,1.9975839455922444,6854.661865234375
VGGT,garden,20,1.348621924718221,12677.69287109375
VGGT,garden,30,2.2569522857666016,15754.2490234375
VGGT,garden,40,3.3427438735961914,18836.04638671875
VGGT,garden,50,4.627015988032023,21895.35009765625
VGGT,garden,60,6.084660927454631,24973.3662109375
VGGT,garden,70,7.756631215413411,28060.35400390625
VGGT,garden,80,9.55961275100708,31121.44091796875
VGGT,garden,90,11.57028047243754,34199.01318359375
VGGT,garden,100,13.706010103225708,37285.01025390625
COLMAP,stump,10,,
COLMAP,stump,20,3.393165349960327,9344.0
COLMAP,stump,30,,
COLMAP,stump,40,10.902184247970581,9468.0
COLMAP,stump,50,15.191178798675537,9528.0
COLMAP,stump,60,21.20139789581299,9592.0
COLMAP,stump,70,28.946945190429688,9652.0
COLMAP,stump,80,35.555680990219116,9712.0
COLMAP,stump,90,43.148460149765015,9776.0
COLMAP,stump,100,48.896117210388184,9836.0
VGGT,stump,10,0.5446256796518961,9829.32373046875
VGGT,stump,20,1.340398947397868,12677.69287109375
VGGT,stump,30,5.149876117706299,12581.12451171875
VGGT,stump,40,3.346627950668335,18836.04638671875
VGGT,stump,50,4.6161684195200605,21895.35009765625
VGGT,stump,60,6.095558245976766,24973.3662109375
VGGT,stump,70,7.7726790110270185,28060.35400390625
VGGT,stump,80,9.569820483525595,31121.44091796875
VGGT,stump,90,11.622942845026651,34199.01318359375
VGGT,stump,100,13.77382763226827,37285.01025390625
