choice,num_images,shared_camera,sampling_mode,rre,rte,num_aligned,quality
VGGT,10,Shared Cam,ba,0.8463,0.04546,10,0.5348142385676434
VGGT,10,,ba,0.855,0.079187,10,0.532797889209088
VGGT,10,,voxels,2.5925,0.160213,10,0.31196938093952575
VGGT,20,Shared Cam,ba,0.7927,0.042993,20,0.5724256099471028
VGGT,20,,ba,0.814,0.073017,20,0.5801584863329646
VGGT,20,,voxels,2.2981,0.141203,20,0.3009692690758212
VGGT,30,Shared Cam,ba,0.6962,0.035787,30,0.5926129069903052
VGGT,30,,ba,0.7675,0.072812,30,0.5824280147857678
VGGT,30,,voxels,2.2345,0.136023,30,0.33904698465922345
VGGT,40,Shared Cam,ba,0.5901,0.02566,40,0.6313598249506996
VGGT,40,,ba,0.6131,0.050112,40,0.6068681300635304
VGGT,40,,voxels,1.3219,0.069077,40,0.3915752617471632
VGGT,50,Shared Cam,ba,0.4792,0.021011,50,0.6795576665214007
VGGT,50,,ba,0.4945,0.044501,50,0.6505573815227406
VGGT,50,,voxels,0.8706,0.041593,50,0.45001862607194354
VGGT,60,Shared Cam,ba,0.3709,0.016902,60,0.7388815940433389
VGGT,60,,ba,0.4536,0.048901,60,0.609218375734341
VGGT,60,,voxels,0.6267,0.028956,60,0.5214440793360572
VGGT,70,Shared Cam,ba,0.2818,0.013674,70,0.8299726397670499
VGGT,70,,ba,0.397,0.04227,70,0.6261734005071034
VGGT,70,,voxels,0.4264,0.02124,70,0.6384535547469327
VGGT,80,Shared Cam,ba,0.2715,0.014484,80,0.8604527317311873
VGGT,80,,ba,0.3677,0.037511,80,0.6422149850088252
VGGT,80,,voxels,0.3472,0.018759,80,0.6860333076830109
VGGT,87,Shared Cam,ba,0.2686,0.015146,87,0.809865815205532
VGGT,87,,ba,0.2772,0.039952,87,0.8073896890466209
VGGT,87,,voxels,0.3306,0.018825,87,0.7007669033827605
