choice,dataset,num_images,image_mode,eval_rre,eval_rte,num_aligned,psnr,lpips,ssim
COLMAP,bicycle,20,farthestpose,,,2.0,9.540895462036133,0.9753441214561462,0.02645329013466835
COLMAP,bicycle,30,farthestpose,1.604614496231079,0.015486866235733032,8.0,10.8599853515625,0.8103333711624146,0.15510886907577515
COLMAP,bicycle,40,farthestpose,0.5034468173980713,0.0031330257188528776,18.0,13.763751983642578,0.684519350528717,0.243632972240448
COLMAP,bicycle,50,farthestpose,0.38692545890808105,0.003411441808566451,29.0,15.719438552856445,0.585709810256958,0.2518213987350464
COLMAP,bicycle,60,farthestpose,0.25514620542526245,0.0035350508987903595,35.0,15.947785377502441,0.547142505645752,0.2447337806224823
COLMAP,bicycle,70,farthestpose,0.23522379994392395,0.00346929207444191,40.0,16.537628173828125,0.5214819312095642,0.26178714632987976
COLMAP,bicycle,80,farthestpose,0.20063269138336182,0.0025564010720700026,48.0,17.295671463012695,0.47364091873168945,0.2938806712627411
COLMAP,bicycle,90,farthestpose,0.12587085366249084,0.0023152194917201996,90.0,21.84345245361328,0.37501060962677,0.5299972295761108
COLMAP,bicycle,100,farthestpose,0.1106053814291954,0.002470657927915454,100.0,22.163246154785156,0.3494715690612793,0.5586552619934082
VGGT,bicycle,10,farthestpose,1.7695362567901611,0.03303282707929611,10.0,13.894234657287598,0.5660611391067505,0.15039774775505066
VGGT,bicycle,10,minfarthestpose,,,10.0,,,
VGGT,bicycle,20,farthestpose,1.1133158206939697,0.02674267813563347,20.0,15.618000984191895,0.4717748165130615,0.19081109762191772
VGGT,bicycle,20,minfarthestpose,,,20.0,,,
VGGT,bicycle,30,farthestpose,0.8984349966049194,0.019486337900161743,30.0,16.09134292602539,0.4458269476890564,0.20969036221504211
VGGT,bicycle,30,minfarthestpose,,,18.0,,,
VGGT,bicycle,40,farthestpose,0.9950696229934692,0.018973028287291527,40.0,16.245380401611328,0.43395113945007324,0.21795745193958282
VGGT,bicycle,40,minfarthestpose,,,24.5,,,
VGGT,bicycle,50,farthestpose,,,50.0,,,
VGGT,bicycle,50,minfarthestpose,,,48.0,,,
VGGT,bicycle,60,farthestpose,,,60.0,,,
VGGT,bicycle,60,minfarthestpose,,,59.5,,,
VGGT,bicycle,70,farthestpose,,,70.0,,,
VGGT,bicycle,70,minfarthestpose,,,69.5,,,
VGGT,bicycle,80,farthestpose,,,80.0,,,
VGGT,bicycle,80,minfarthestpose,,,80.0,,,
VGGT,bicycle,90,farthestpose,,,90.0,,,
VGGT,bicycle,90,minfarthestpose,,,89.5,,,
VGGT,bicycle,100,farthestpose,0.4889967441558838,0.013628819026052952,100.0,17.384122848510742,0.337806761264801,0.26788055896759033
VGGT,bicycle,100,minfarthestpose,,,99.5,,,
COLMAP,garden,10,farthestpose,1.496121883392334,0.015599575825035572,3.0,12.355728149414062,0.7979275584220886,0.3093775510787964
COLMAP,garden,20,farthestpose,0.09067954868078232,0.0009397167013958097,20.0,19.309799194335938,0.41384539008140564,0.3691636919975281
COLMAP,garden,30,farthestpose,0.06420423090457916,0.0007610706379637122,30.0,20.769878387451172,0.34935519099235535,0.42895811796188354
COLMAP,garden,40,farthestpose,0.05164923146367073,0.0007186616421677172,40.0,21.58345603942871,0.3222866654396057,0.4910855293273926
COLMAP,garden,100,farthestpose,0.04868227615952492,0.0005747699178755283,100.0,22.12991714477539,0.2636813521385193,0.5120896697044373
VGGT,garden,10,farthestpose,0.4746391773223877,0.009286259301006794,10.0,15.86151123046875,0.44289296865463257,0.24762408435344696
