Choice,Num Images,Sampling Mode,Align Mode,Validation Step RRE ↓,Validation Step RTE ↓,PSNR ↑,LPIPS ↓,SSIM ↑,Composite Quality ↑
COLMAP,30,ba,Global Alignment,52.68779754638672,1.143592119216919,12.829646110534668,0.7299111485481262,0.18740421533584595,-0.19695054136986379
COLMAP,30,random,Local Alignment,52.68779754638672,1.143592119216919,12.505627632141113,0.7005643844604492,0.16835997998714447,-0.19597257682454508
COLMAP,40,ba,Global Alignment,20.915000915527344,1.1568889617919922,13.25619125366211,0.7219575047492981,0.18538504838943481,-0.18532269995579703
COLMAP,40,random,Local Alignment,20.915000915527344,1.1568889617919922,12.731620788574219,0.7158682346343994,0.183102086186409,-0.19261322473069914
COLMAP,50,ba,Global Alignment,31.913999557495117,0.6495300531387329,13.062373161315918,0.7163679599761963,0.17287631332874298,-0.19277663735153608
COLMAP,50,random,Local Alignment,31.913999557495117,0.6495300531387329,12.291804313659668,0.7251772880554199,0.16785907745361328,-0.215418343733006
COLMAP,60,ba,Global Alignment,12.727900505065918,0.7315490245819092,13.6015625,0.682054877281189,0.19357886910438538,-0.1495039765907619
COLMAP,60,random,Local Alignment,12.727900505065918,0.7315490245819092,12.258522987365723,0.6935759782791138,0.17419548332691193,-0.19282218273620147
COLMAP,70,ba,Global Alignment,32.010902404785156,0.6792899966239929,12.995728492736816,0.7280099987983704,0.17156915366649628,-0.20196166245328512
COLMAP,70,random,Local Alignment,32.010902404785156,0.6792899966239929,12.715049743652344,0.7043629288673401,0.16131740808486938,-0.19855763317316358
COLMAP,80,ba,Global Alignment,37.029598236083984,0.7417770624160767,13.339539527893066,0.7285958528518677,0.19078201055526733,-0.1847208409126583
COLMAP,80,random,Local Alignment,37.029598236083984,0.7417770624160767,12.29829216003418,0.713121771812439,0.17380006611347198,-0.20438225936238985
COLMAP,90,ba,Global Alignment,0.132999986410141,0.004443000070750713,20.130271911621094,0.2807469069957733,0.4205055236816406,0.3518246648139656
COLMAP,90,random,Local Alignment,0.132999986410141,0.004443000070750713,19.55183219909668,0.372964084148407,0.3887861669063568,0.2656393034106497
COLMAP,100,ba,Global Alignment,0.10489999502897263,0.004348000045865774,20.981658935546875,0.25976696610450745,0.4971108138561249,0.4253400872867552
COLMAP,100,random,Local Alignment,0.10489999502897263,0.004348000045865774,20.699256896972656,0.3356006145477295,0.46739593148231506,0.3559224016097864
