choice,dataset,num_images,depth_loss_mode,rre,psnr,lpips,ssim,pred_depth_absrel,depth_abs_rel
COLMAP,bicycle,20,,19.4863,9.540895462036133,0.9753441214561462,0.02645329013466835,,
COLMAP,bicycle,30,,0.5111,10.8599853515625,0.8103333711624146,0.15510886907577515,,
COLMAP,bicycle,30,points,0.5111,11.842145919799805,0.7811257839202881,0.17024844884872437,,
COLMAP,bicycle,40,,0.2627,13.763751983642578,0.684519350528717,0.243632972240448,,
COLMAP,bicycle,40,points,0.2627,14.164867401123047,0.6668745279312134,0.2403191179037094,,
VGGT,bicycle,5,,3.5379,12.059736251831055,0.6492146253585815,0.11073096841573715,,
VGGT,bicycle,5,closer,3.5379,12.089926719665527,0.6495100855827332,0.11364325881004333,,
VGGT,bicycle,5,full,3.5379,12.071630477905273,0.6454141139984131,0.11109236627817154,,
VGGT,bicycle,5,points,3.5379,12.038886070251465,0.6478686332702637,0.09951397031545639,,
VGGT,bicycle,10,,1.7481,13.894234657287598,0.5660611391067505,0.15039774775505066,,
VGGT,bicycle,10,closer,1.7481,13.562483787536621,0.5880552530288696,0.14343826472759247,,
VGGT,bicycle,10,full,1.7481,13.88463020324707,0.552331268787384,0.15546855330467224,,
VGGT,bicycle,10,points,1.7481,13.727160453796387,0.5629594922065735,0.13924013078212738,,
VGGT,bicycle,20,,1.1489,15.618000984191895,0.4717748165130615,0.19081109762191772,,
VGGT,bicycle,20,closer,1.1489,15.334067344665527,0.47888579964637756,0.18788886070251465,,
VGGT,bicycle,20,full,1.1489,15.716642379760742,0.4490553140640259,0.20456860959529877,,
VGGT,bicycle,20,points,1.1489,15.663393020629883,0.4690738618373871,0.18888433277606964,,
VGGT,bicycle,30,,0.9302,16.09134292602539,0.4458269476890564,0.20969036221504211,,
VGGT,bicycle,30,closer,0.9302,15.81289291381836,0.4507046341896057,0.20843897759914398,,
VGGT,bicycle,30,full,0.9302,16.446300506591797,0.4230666160583496,0.2287280559539795,,
VGGT,bicycle,30,points,0.9302,16.00709342956543,0.4548596143722534,0.2030530869960785,,
VGGT,bicycle,40,,0.9969,16.245380401611328,0.43395113945007324,0.21795745193958282,,
VGGT,bicycle,40,closer,0.9969,16.2347354888916,0.42275962233543396,0.22074122726917267,,
VGGT,bicycle,40,full,0.9969,16.771217346191406,0.40965735912323,0.23922385275363922,,
VGGT,bicycle,40,points,0.9969,16.10778045654297,0.4545832574367523,0.21228145062923431,,
COLMAP,garden,10,,0.1553,12.355728149414062,0.7979275584220886,0.3093775510787964,,
COLMAP,garden,10,points,0.1553,11.011634826660156,0.8347949981689453,0.2826154828071594,,
COLMAP,garden,20,,0.0713,19.309799194335938,0.41384539008140564,0.3691636919975281,,
COLMAP,garden,20,points,0.0713,19.535451889038086,0.4309374690055847,0.38436585664749146,,
COLMAP,garden,30,,0.06,20.769878387451172,0.34935519099235535,0.42895811796188354,,
COLMAP,garden,30,points,0.06,20.914737701416016,0.3641599416732788,0.4435611367225647,,
COLMAP,garden,40,,0.0553,21.58345603942871,0.3222866654396057,0.4910855293273926,,
COLMAP,garden,40,points,0.0553,21.542984008789062,0.3314819037914276,0.4866301417350769,,
VGGT,garden,5,,0.92,14.668658256530762,0.5052683353424072,0.21727868914604187,,
VGGT,garden,5,closer,0.92,13.832738876342773,0.5380220413208008,0.21789370477199554,,
VGGT,garden,5,full,0.92,14.671725273132324,0.4851909279823303,0.22594282031059265,,
VGGT,garden,5,points,0.92,14.552291870117188,0.5022169351577759,0.21546289324760437,,
VGGT,garden,10,,0.7164,15.86151123046875,0.44289296865463257,0.24762408435344696,,
VGGT,garden,10,closer,0.7164,15.71419906616211,0.42520803213119507,0.2719220817089081,,
VGGT,garden,10,full,0.7164,16.631683349609375,0.4021511673927307,0.2738850712776184,,
VGGT,garden,10,points,0.7164,16.00888442993164,0.4423298239707947,0.24631550908088684,,
VGGT,garden,20,,0.304,18.334653854370117,0.33225375413894653,0.3257960081100464,,
VGGT,garden,20,closer,0.304,18.24966049194336,0.32565873861312866,0.35001182556152344,,
VGGT,garden,20,full,0.304,18.928943634033203,0.31444495916366577,0.36046215891838074,,
VGGT,garden,20,points,0.304,18.06500244140625,0.3512769639492035,0.3118870258331299,,
VGGT,garden,30,,0.2764,19.41567611694336,0.29161977767944336,0.38543829321861267,,
VGGT,garden,30,closer,0.2764,19.450178146362305,0.2874264419078827,0.38459643721580505,,
VGGT,garden,30,full,0.2764,19.64376449584961,0.2934890389442444,0.3960878252983093,,
VGGT,garden,30,points,0.2764,19.11520004272461,0.3128010034561157,0.3569214344024658,,
VGGT,garden,40,,0.2895,19.92060089111328,0.29127728939056396,0.40400418639183044,,
VGGT,garden,40,closer,0.2895,19.074874877929688,0.3077297806739807,0.39811086654663086,,
VGGT,garden,40,full,0.2895,20.035228729248047,0.2959815263748169,0.4121337831020355,,
VGGT,garden,40,points,0.2895,19.801908493041992,0.3094792366027832,0.39848899841308594,,
COLMAP,stump,20,,0.868,12.789386749267578,0.9256043434143066,0.14929628372192383,,
COLMAP,stump,20,points,0.868,12.71629810333252,0.9243663549423218,0.16642212867736816,,
COLMAP,stump,40,,0.1699,14.787765502929688,0.6513059735298157,0.3428933024406433,,
COLMAP,stump,40,points,0.1699,14.425077438354492,0.6841177344322205,0.3601439297199249,,
VGGT,stump,5,,2.5661,14.81700325012207,0.6226592063903809,0.25292685627937317,,
VGGT,stump,5,closer,2.5661,14.759392738342285,0.6241680383682251,0.24513356387615204,,
VGGT,stump,5,full,2.5661,14.512951850891113,0.6301659345626831,0.2299746572971344,,
VGGT,stump,5,points,2.5661,14.467846870422363,0.626266360282898,0.21633335947990417,,
VGGT,stump,10,,2.3893,14.979829788208008,0.5985628366470337,0.2731395959854126,,
VGGT,stump,10,closer,2.3893,15.238975524902344,0.6000827550888062,0.28060269355773926,,
VGGT,stump,10,full,2.3893,15.26652717590332,0.6049647927284241,0.29217880964279175,,
VGGT,stump,10,points,2.3893,14.858047485351562,0.6012835502624512,0.2540063261985779,,
VGGT,stump,20,,1.5109,15.881011962890625,0.5566140413284302,0.29004812240600586,,
VGGT,stump,20,closer,1.5109,16.10002899169922,0.5441548824310303,0.2919119596481323,,
VGGT,stump,20,full,1.5109,16.15569305419922,0.5478293895721436,0.3058602809906006,,
VGGT,stump,20,points,1.5109,15.758843421936035,0.5549945831298828,0.2821250557899475,,
VGGT,stump,30,,5.3824000000000005,17.133214950561523,0.5170958042144775,0.3305170238018036,,
VGGT,stump,30,closer,1.2376,17.09425926208496,0.5157061219215393,0.333138644695282,,
VGGT,stump,30,full,1.2376,17.15066909790039,0.520605206489563,0.3420819044113159,,
VGGT,stump,30,points,1.2376,17.111251831054688,0.5171279907226562,0.3259257972240448,,
VGGT,stump,40,,0.8703,17.802413940429688,0.4980175495147705,0.359388530254364,,
VGGT,stump,40,closer,0.8703,17.833972930908203,0.4971776604652405,0.35981523990631104,,
VGGT,stump,40,full,0.8703,17.914411544799805,0.49590036273002625,0.36998218297958374,,
VGGT,stump,40,points,0.8703,17.690738677978516,0.5048968195915222,0.35438212752342224,,
