choice,dataset,num_points,sampling_mode,psnr,lpips,ssim,quality,avge
COLMAP,bonsai,80892,,28.943090438842773,0.1583382934331894,0.9078155755996704,0.8755625190287151,0.15441090147636588
VGGT,bonsai,1000,confidence,24.657079696655273,0.3457357585430145,0.7960964441299438,0.6151816767093963,0.26690488895100795
VGGT,bonsai,1000,imagefps,24.861467361450195,0.35281914472579956,0.7930788993835449,0.6128295268076747,0.2703232434359959
VGGT,bonsai,1000,random,24.852943420410156,0.34212034940719604,0.7975001335144043,0.6218613877243775,0.26513046340485613
VGGT,bonsai,1000,voxels,24.70581817626953,0.35672301054000854,0.7913042306900024,0.6064995228275994,0.2723130788262075
VGGT,bonsai,5000,confidence,25.92361831665039,0.2563040256500244,0.8382114171981812,0.7184695082101209,0.22036333194129057
VGGT,bonsai,5000,imagefps,25.907018661499023,0.2639005482196808,0.8318648934364319,0.7097614783215167,0.2255032013237467
VGGT,bonsai,5000,random,26.102811813354492,0.2530997395515442,0.8389427065849304,0.7241935152911458,0.2189574334365278
VGGT,bonsai,5000,voxels,26.158111572265625,0.25988009572029114,0.8354330658912659,0.7189797583998916,0.22265689348518275
VGGT,bonsai,10000,confidence,26.208702087402344,0.23617228865623474,0.8455073237419128,0.7404424474563127,0.2105406278684611
VGGT,bonsai,10000,imagefps,26.33704376220703,0.23963764309883118,0.8423102498054504,0.7388104035762938,0.21302121633054785
VGGT,bonsai,10000,random,26.495908737182617,0.23313719034194946,0.8478267788887024,0.7489910131154547,0.20849062779393948
VGGT,bonsai,10000,voxels,26.4061336517334,0.2381080538034439,0.8421686887741089,0.7409512526691541,0.21255852619179105
VGGT,bonsai,23220,ba,26.778026580810547,0.21374230086803436,0.8574769496917725,0.7718309463619644,0.19778814870917608
VGGT,bonsai,50000,confidence,26.259605407714844,0.2173285186290741,0.8426769971847534,0.7513618966137301,0.20544476392724997
VGGT,bonsai,50000,imagefps,26.200475692749023,0.21618327498435974,0.8418276309967041,0.7504771370404413,0.20543024833240078
VGGT,bonsai,50000,random,26.382709503173828,0.21233366429805756,0.8441528081893921,0.7575878928705342,0.20313617763576855
VGGT,bonsai,50000,voxels,26.118576049804688,0.2156837433576584,0.8385016322135925,0.7473238013137695,0.20666552345287847
VGGT,bonsai,100000,confidence,26.00676155090332,0.21237458288669586,0.8379637002944946,0.7469812740243201,0.20580662956308182
VGGT,bonsai,100000,imagefps,25.75049591064453,0.21643662452697754,0.8302592039108276,0.7352226274675019,0.21036438584084932
VGGT,bonsai,100000,random,26.098609924316406,0.21166729927062988,0.8379709124565125,0.7491229822916052,0.2055503875422825
VGGT,bonsai,100000,voxels,25.986146926879883,0.2110239714384079,0.8331863284111023,0.7446394477710079,0.20732405911751287
VGGT,bonsai,500000,confidence,24.966115951538086,0.23043519258499146,0.8137606978416443,0.7024077321121334,0.22172558576558124
VGGT,bonsai,500000,imagefps,24.478696823120117,0.22984232008457184,0.8051757216453552,0.6887269687195581,0.22493231135417235
VGGT,bonsai,500000,random,25.143333435058594,0.2200862616300583,0.8167707324028015,0.7138380204763717,0.2170662517301151
VGGT,bonsai,500000,voxels,24.892101287841797,0.22389371693134308,0.8108347058296204,0.7033639316864027,0.22068897046561511
VGGT,bonsai,1000000,confidence,24.227252960205078,0.24572362005710602,0.8013780117034912,0.6720464462928757,0.2317239998523041
VGGT,bonsai,1000000,imagefps,23.921785354614258,0.23873597383499146,0.7930815815925598,0.665851287132273,0.23255741826900866
VGGT,bonsai,1000000,random,24.525203704833984,0.22914038598537445,0.8039844036102295,0.6893248227101163,0.2251348249287485
VGGT,bonsai,1000000,voxels,24.45179557800293,0.23188529908657074,0.8030696511268616,0.6857360791780486,0.2264137950836377
COLMAP,kitchen,92853,,27.95215606689453,0.12160562723875046,0.9019156098365784,0.8764360954402869,0.14546411732701187
VGGT,kitchen,1000,confidence,23.898534774780273,0.25448134541511536,0.8064019680023193,0.6634910553209653,0.23285142882500068
