method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,run_mvs,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,depth_conf_shifted,loss_multiplier,pose_loss_multiplier,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,series_label_override,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,alignment_scale,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,inference_time,peak_memory_mb,peak_memory_reserved_mb,processing_time,sfm_file_path,input_folder,output_folder,initial_points,failed_sfm_file_path,gsplat_cfg_file_path,plot_series,num_images_jitter
colmap,40,42,,15131,,,,,0,10,minfarthestpose,40,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bonsai,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,20.848365783691406,0.23119306564331055,0.6328006386756897,1000000,0.0552397184073925,0.5092057585716248,,,0.5198606804952441,0.28179611869185256,15131,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n40_s42_default_minfarthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n40_s42_default_minfarthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,bonsai_2_n40_s42_default_minfarthestpose_sharedcam_i40_gteval_steps15000,0.5092,0.2305,40,1.075613,,,,25.5097496509552,6836,6836,0,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n40_s42_default_minfarthestpose_sharedcam/eval_results.json,bonsai_2_n40_s42_default_minfarthestpose_sharedcam,bonsai_2_n40_s42_default_minfarthestpose_sharedcam_i40_gteval_steps15000_val_step14999.json,15131,,,colmap | ,40.0
colmap,50,42,,793,,,,,0,10,minfarthestpose,50,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,ship,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,synthetic,21.458654403686523,0.20357736945152283,0.7120323777198792,881162,0.005498620215803385,0.23815003037452698,0.034165747463703156,0.0314355343580246,0.5945433979688176,0.24911689813586907,793,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n50_s42_default_mpinhole_minfarthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n50_s42_default_mpinhole_minfarthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,ship_1_n50_s42_default_mpinhole_minfarthestpose_sharedcam_i50_gteval_steps15000,0.2383,0.012988,27,0.661359,,,,9.553125619888306,6652,6652,0,/home/ojab2/work/git/vggt/colmap_outputs/ship_1_n50_s42_default_mpinhole_minfarthestpose_sharedcam/eval_results.json,ship_1_n50_s42_default_mpinhole_minfarthestpose_sharedcam,ship_1_n50_s42_default_mpinhole_minfarthestpose_sharedcam_i50_gteval_steps15000_val_step14999.json,793,,,colmap | ,50.0
colmap,50,42,,3489,,,,,0,10,minfarthestpose,50,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,19.971603393554688,0.43686988949775696,0.37685221433639526,1000000,0.0030892484355717897,0.1497589349746704,,,0.2269858964237786,0.4121108639918377,3489,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s42_default_minfarthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s42_default_minfarthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_default_minfarthestpose_sharedcam_i50_gteval_steps15000,0.1498,0.011463,46,0.97877,,,,10.574543714523315,7346,7346,0,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n50_s42_default_minfarthestpose_sharedcam/eval_results.json,bicycle_4_n50_s42_default_minfarthestpose_sharedcam,bicycle_4_n50_s42_default_minfarthestpose_sharedcam_i50_gteval_steps15000_val_step14999.json,3489,,,colmap | ,50.0
colmap,50,42,,22515,,,,,0,10,minfarthestpose,50,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bonsai,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,21.696945190429688,0.20300589501857758,0.6328594088554382,1000000,0.0033656025771051645,0.21826618909835815,,,0.5530089705194878,0.2718975855646578,22515,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n50_s42_default_minfarthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n50_s42_default_minfarthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,bonsai_2_n50_s42_default_minfarthestpose_sharedcam_i50_gteval_steps15000,0.2183,0.013971,50,1.048775,,,,46.97960114479065,7418,7418,0,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n50_s42_default_minfarthestpose_sharedcam/eval_results.json,bonsai_2_n50_s42_default_minfarthestpose_sharedcam,bonsai_2_n50_s42_default_minfarthestpose_sharedcam_i50_gteval_steps15000_val_step14999.json,22515,,,colmap | ,50.0
colmap,60,42,,1962,,,,,0,10,minfarthestpose,60,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,ship,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,synthetic,22.031282424926758,0.16121169924736023,0.7412988543510437,1000000,0.004959248472005129,0.3282996416091919,0.02898668311536312,0.030586976557970047,0.6484141674732681,0.22536757103469807,1962,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n60_s42_default_mpinhole_minfarthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n60_s42_default_mpinhole_minfarthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,ship_1_n60_s42_default_mpinhole_minfarthestpose_sharedcam_i60_gteval_steps15000,0.3285,0.016235,52,0.800742,,,,11.243252992630005,6716,6716,0,/home/ojab2/work/git/vggt/colmap_outputs/ship_1_n60_s42_default_mpinhole_minfarthestpose_sharedcam/eval_results.json,ship_1_n60_s42_default_mpinhole_minfarthestpose_sharedcam,ship_1_n60_s42_default_mpinhole_minfarthestpose_sharedcam_i60_gteval_steps15000_val_step14999.json,1962,,,colmap | ,60.0
colmap,60,42,,5439,,,,,0,10,minfarthestpose,60,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,19.752241134643555,0.40431737899780273,0.36857086420059204,1000000,0.0029093585908412933,0.13441917300224304,,,0.23817487983753186,0.40317653525129193,5439,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,bicycle_4_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000,0.1344,0.010799,59,1.02818,,,,14.349272727966309,7410,7410,0,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n60_s42_default_minfarthestpose_sharedcam/eval_results.json,bicycle_4_n60_s42_default_minfarthestpose_sharedcam,bicycle_4_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000_val_step14999.json,5439,,,colmap | ,60.0
colmap,60,42,,31847,,,,,0,10,minfarthestpose,60,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bonsai,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,22.168672561645508,0.18957126140594482,0.6651806831359863,1000000,0.003669938538223505,0.21906505525112152,,,0.5889389762791664,0.2580920723767357,31847,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,bonsai_2_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000,0.2191,0.015311,60,1.047943,,,,65.64310216903687,7482,7482,0,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n60_s42_default_minfarthestpose_sharedcam/eval_results.json,bonsai_2_n60_s42_default_minfarthestpose_sharedcam,bonsai_2_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000_val_step14999.json,31847,,,colmap | ,60.0
colmap,70,42,,2748,,,,,0,10,minfarthestpose,70,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,ship,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,synthetic,22.920597076416016,0.1465238332748413,0.7628100514411926,1000000,0.004077303223311901,0.2112027108669281,0.02801118791103363,0.02891070395708084,0.6865291886704551,0.212883229585469,2748,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n70_s42_default_mpinhole_minfarthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n70_s42_default_mpinhole_minfarthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,ship_1_n70_s42_default_mpinhole_minfarthestpose_sharedcam_i70_gteval_steps15000,0.2115,0.013257,63,0.814222,,,,14.959670066833496,6776,6776,0,/home/ojab2/work/git/vggt/colmap_outputs/ship_1_n70_s42_default_mpinhole_minfarthestpose_sharedcam/eval_results.json,ship_1_n70_s42_default_mpinhole_minfarthestpose_sharedcam,ship_1_n70_s42_default_mpinhole_minfarthestpose_sharedcam_i70_gteval_steps15000_val_step14999.json,2748,,,colmap | ,70.0
colmap,70,42,,8521,,,,,0,10,minfarthestpose,70,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,19.710527420043945,0.3646119236946106,0.37013497948646545,1000000,0.0026197393890470266,0.11995593458414078,,,0.26282663125353556,0.3896471779847298,8521,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,bicycle_4_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000,0.12,0.009717,69,1.016821,,,,20.831656455993652,7470,7470,0,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n70_s42_default_minfarthestpose_sharedcam/eval_results.json,bicycle_4_n70_s42_default_minfarthestpose_sharedcam,bicycle_4_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000_val_step14999.json,8521,,,colmap | ,70.0
colmap,70,42,,42091,,,,,0,10,minfarthestpose,70,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bonsai,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,28.404136657714844,0.1480536311864853,0.8946173787117004,1000000,0.001268189400434494,0.05289151147007942,,,0.8642122066005473,0.1580415301133877,42091,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,bonsai_2_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000,0.0529,0.005207,70,1.026511,,,,75.30614638328552,7542,7542,0,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n70_s42_default_minfarthestpose_sharedcam/eval_results.json,bonsai_2_n70_s42_default_minfarthestpose_sharedcam,bonsai_2_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000_val_step14999.json,42091,,,colmap | ,70.0
