choice,dataset,real_num_points,random_init,pose_opt,use_ba,eval_rre,eval_rte,num_aligned,quality
COLMAP,bicycle,17352,Random Init,,,0.09855562448501587,0.0017129764892160892,100,0.2516425151651443
VGGT,bicycle,17352,Random Init,,Use BA,0.5899049639701843,0.008761337026953697,100,0.06571426857904317
VGGT,bicycle,17352,Random Init,,,0.716057538986206,0.015081527642905712,100,0.05796051590840804
COLMAP,bonsai,80892,Random Init,,,0.1581190675497055,0.003077009692788124,100,0.5676936917370058
VGGT,bonsai,80892,Random Init,,Use BA,0.5792253613471985,0.008138061501085758,100,0.38402045226236525
VGGT,bonsai,80892,Random Init,,,0.7215033769607544,0.024335382506251335,100,0.29469125916850963
COLMAP,lego,10069,Random Init,,,10.430866241455078,0.11273074895143509,87,0.8333928984740556
VGGT,lego,10069,Random Init,,Use BA,0.26798683404922485,0.00442137848585844,87,0.7712747520580161
VGGT,lego,10069,Random Init,,,0.29696112871170044,0.00519891083240509,87,0.6755651274019436
