choice,depth_loss_mode,rre,psnr,lpips,ssim
COLMAP,,0.0595,25.54378890991211,0.14396746456623077,0.7954827547073364
COLMAP,points,0.0595,26.080398559570312,0.1451456993818283,0.8146301507949829
VGGT,,0.7308,18.46109962463379,0.33550846576690674,0.5824333429336548
VGGT,closer,0.7308,18.42446517944336,0.33315834403038025,0.5823222994804382
VGGT,full,0.7308,18.286258697509766,0.34664618968963623,0.579465925693512
VGGT,points,0.7308,18.555391311645508,0.3458675742149353,0.5859049558639526
