choice,num_images,shared_camera,sampling_mode,rre,rte,num_aligned,quality
VGGT,10,Shared Cam,ba,2.0518,0.131584,10,
VGGT,10,,ba,2.6331,0.287147,10,
VGGT,10,,voxels,1.2025,0.110639,10,0.10868186165250067
VGGT,20,Shared Cam,ba,1.0643,0.054252,20,
VGGT,20,,ba,2.7429,0.345529,20,
VGGT,20,,voxels,0.8645,0.10407,20,0.25140199171714456
VGGT,30,Shared Cam,ba,1.2472,0.069051,30,
VGGT,30,,ba,2.0635,0.245715,30,
VGGT,30,,voxels,0.9727,0.110438,30,0.2524369107662199
VGGT,40,Shared Cam,ba,0.8741,0.047269,40,
VGGT,40,,ba,1.4524,0.230192,40,
VGGT,40,,voxels,0.8565,0.104349,40,0.2649213657741658
VGGT,50,Shared Cam,ba,0.7787,0.051156,50,
VGGT,50,,ba,1.1422,0.110254,50,
VGGT,50,,voxels,0.8013,0.103039,50,0.2705771162031222
VGGT,60,Shared Cam,ba,0.7591,0.046576,60,
VGGT,60,,ba,1.0455,0.096399,60,
VGGT,60,,voxels,0.8024,0.105191,60,0.27161871631707835
VGGT,70,Shared Cam,ba,0.7861,0.049258,70,
VGGT,70,,ba,1.0812,0.112487,70,
VGGT,70,,voxels,0.9067,0.112128,70,0.2803357678469781
VGGT,80,Shared Cam,ba,0.9745,0.04996,80,
VGGT,80,,ba,2.1741,0.34777,80,
VGGT,80,,voxels,0.8804,0.113074,80,0.2970970739707922
VGGT,90,Shared Cam,ba,0.7329,0.040137,90,
VGGT,90,,ba,1.3975,0.142527,90,
VGGT,90,,voxels,0.8434,0.110305,90,0.2958304086546374
VGGT,100,Shared Cam,ba,0.7099,0.037375,100,
VGGT,100,,ba,1.3871,0.140105,100,
VGGT,100,,voxels,0.7897,0.107121,100,0.30645595524820746
