Choice,Num Points,RRE ↓,RTE ↓,PSNR ↑,LPIPS ↓,SSIM ↑,Final Gaussian Count ↓
VGGT,1000,0.857,0.067143,17.851036071777344,0.7115545272827148,0.3261961042881012,1000000
VGGT,5000,0.857,0.067143,17.51272964477539,0.5924565196037292,0.30299580097198486,1000000
VGGT,10000,0.857,0.067143,17.401622772216797,0.5528735518455505,0.29297301173210144,1000000
COLMAP,16627,0.1049,0.017545,21.084463119506836,0.3635961413383484,0.49296194314956665,1000000
VGGT,20000,0.857,0.067143,17.337535858154297,0.5294540524482727,0.2870464026927948,1000000
VGGT,30000,0.857,0.067143,17.328948974609375,0.5154411792755127,0.28275877237319946,1000000
VGGT,50000,0.857,0.067143,17.269521713256836,0.5007368326187134,0.2775876820087433,1000000
VGGT,75000,0.857,0.067143,17.276411056518555,0.48919475078582764,0.2732672393321991,1000000
VGGT,100000,0.857,0.067143,17.259553909301758,0.48186835646629333,0.2706991136074066,1000000
VGGT,250000,0.857,0.067143,17.258148193359375,0.4767986238002777,0.26389122009277344,1000000
VGGT,500000,0.857,0.067143,17.16722869873047,0.4594174921512604,0.25168082118034363,1000000
VGGT,1000000,0.857,0.067143,17.245317459106445,0.4660671055316925,0.24548964202404022,1302835
VGGT,2500000,0.857,0.067143,17.057292938232422,0.4280112385749817,0.22326210141181946,1844215
VGGT,5000000,0.857,0.067143,17.057104110717773,0.42732465267181396,0.22261832654476166,1866207
