choice,dataset,real_num_points,random_init,use_ba,eval_rre,eval_rte,quality
COLMAP,ship,5138,Random Init,,0.29631656408309937,0.00478435680270195,0.5838666599318918
VGGT,ship,5138,Random Init,Use BA,0.4286913275718689,0.00786924734711647,0.48790653736425577
VGGT,ship,5138,Random Init,,0.48668715357780457,0.008744901046156883,0.5891232302120708
COLMAP,garden,70656,Random Init,,0.06278770416975021,0.0006200820789672434,0.3696505804972806
VGGT,garden,70656,Random Init,Use BA,0.32922714948654175,0.0032176030799746513,0.17458306708995833
VGGT,garden,70656,Random Init,,0.373338520526886,0.005971261765807867,0.14216859964986686
COLMAP,bicycle,17352,Random Init,,0.09855562448501587,0.0017129764892160892,0.2516425151651443
VGGT,bicycle,17352,Random Init,Use BA,0.5899049639701843,0.008761337026953697,0.06571426857904317
VGGT,bicycle,17352,Random Init,,0.716057538986206,0.015081527642905712,0.05796051590840804
VGGT,drums,3866,Random Init,Use BA,0.2348719835281372,0.003188657807186246,0.6527734141097277
VGGT,drums,3866,Random Init,,0.17242297530174255,0.0029657548293471336,0.683176907163072
VGGT,drums,,,,,,
COLMAP,kitchen,92853,Random Init,,0.10734093934297562,0.0010659509571269155,0.4603781336270965
VGGT,kitchen,92853,Random Init,Use BA,0.453612357378006,0.005105174612253904,0.3738583342218802
VGGT,kitchen,92853,Random Init,,0.3392021059989929,0.006767608691006899,0.3859395525763761
COLMAP,counter,60980,Random Init,,0.029024872928857803,0.00048380106454715133,0.6762551906590649
VGGT,counter,60980,Random Init,Use BA,0.4211226999759674,0.003921193070709705,0.3708371460399045
VGGT,counter,60980,Random Init,,0.3432445824146271,0.007584553211927414,0.4375759920878717
COLMAP,stump,19683,Random Init,,0.02191883511841297,0.0005273927235975862,0.5037020743861454
VGGT,stump,19683,Random Init,Use BA,0.6949854493141174,0.010673359967768192,0.16824983295641455
VGGT,stump,19683,Random Init,,0.855804443359375,0.04037195071578026,0.14338850982782514
COLMAP,bonsai,80892,Random Init,,0.1581190675497055,0.003077009692788124,0.5676936917370058
VGGT,bonsai,80892,Random Init,Use BA,0.5792253613471985,0.008138061501085758,0.38402045226236525
VGGT,bonsai,80892,Random Init,,0.7215033769607544,0.024335382506251335,0.29469125916850963
COLMAP,lego,10069,Random Init,,10.430866241455078,0.11273074895143509,0.8333928984740556
VGGT,lego,10069,Random Init,Use BA,0.26798683404922485,0.00442137848585844,0.7712747520580161
VGGT,lego,10069,Random Init,,0.29696112871170044,0.00519891083240509,0.6755651274019436
