method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,quality,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_images_jitter
vggt,20,42,,,ba,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,radial,,,,,MCMC,,,,,,,,Use BA,50,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n20_s42_mradial_ba_farthestpose_useba_maxba50/eval_results.json,,bonsai_2_n20_s42_mradial_ba_farthestpose_useba_maxba50,2.7429,0.345529,20,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n20_s42_mradial_ba_farthestpose_useba_maxba50/eval_results.json,bonsai_2_n20_s42_mradial_ba_farthestpose_useba_maxba50,,,vggt |  | ba,20.0
vggt,30,42,,,ba,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,radial,,,,,MCMC,,,,,,,,Use BA,50,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n30_s42_mradial_ba_farthestpose_useba_maxba50/eval_results.json,,bonsai_2_n30_s42_mradial_ba_farthestpose_useba_maxba50,2.0635,0.245715,30,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n30_s42_mradial_ba_farthestpose_useba_maxba50/eval_results.json,bonsai_2_n30_s42_mradial_ba_farthestpose_useba_maxba50,,,vggt |  | ba,30.0
vggt,40,42,,,ba,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,radial,,,,,MCMC,,,,,,,,Use BA,50,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n40_s42_mradial_ba_farthestpose_useba_maxba50/eval_results.json,,bonsai_2_n40_s42_mradial_ba_farthestpose_useba_maxba50,1.4524,0.230192,40,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n40_s42_mradial_ba_farthestpose_useba_maxba50/eval_results.json,bonsai_2_n40_s42_mradial_ba_farthestpose_useba_maxba50,,,vggt |  | ba,40.0
vggt,50,42,,,ba,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,radial,,,,,MCMC,,,,,,,,Use BA,50,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n50_s42_mradial_ba_farthestpose_useba_maxba50/eval_results.json,,bonsai_2_n50_s42_mradial_ba_farthestpose_useba_maxba50,1.1422,0.110254,50,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n50_s42_mradial_ba_farthestpose_useba_maxba50/eval_results.json,bonsai_2_n50_s42_mradial_ba_farthestpose_useba_maxba50,,,vggt |  | ba,50.0
vggt,60,42,,,ba,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,radial,,,,,MCMC,,,,,,,,Use BA,50,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n60_s42_mradial_ba_farthestpose_useba_maxba50/eval_results.json,,bonsai_2_n60_s42_mradial_ba_farthestpose_useba_maxba50,1.0455,0.096399,60,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n60_s42_mradial_ba_farthestpose_useba_maxba50/eval_results.json,bonsai_2_n60_s42_mradial_ba_farthestpose_useba_maxba50,,,vggt |  | ba,60.0
vggt,70,42,,,ba,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,radial,,,,,MCMC,,,,,,,,Use BA,50,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n70_s42_mradial_ba_farthestpose_useba_maxba50/eval_results.json,,bonsai_2_n70_s42_mradial_ba_farthestpose_useba_maxba50,1.0812,0.112487,70,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n70_s42_mradial_ba_farthestpose_useba_maxba50/eval_results.json,bonsai_2_n70_s42_mradial_ba_farthestpose_useba_maxba50,,,vggt |  | ba,70.0
vggt,80,42,,,ba,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,radial,,,,,MCMC,,,,,,,,Use BA,50,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n80_s42_mradial_ba_farthestpose_useba_maxba50/eval_results.json,,bonsai_2_n80_s42_mradial_ba_farthestpose_useba_maxba50,2.1741,0.34777,80,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n80_s42_mradial_ba_farthestpose_useba_maxba50/eval_results.json,bonsai_2_n80_s42_mradial_ba_farthestpose_useba_maxba50,,,vggt |  | ba,80.0
vggt,90,42,,,ba,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,radial,,,,,MCMC,,,,,,,,Use BA,50,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n90_s42_mradial_ba_farthestpose_useba_maxba50/eval_results.json,,bonsai_2_n90_s42_mradial_ba_farthestpose_useba_maxba50,1.3975,0.142527,90,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n90_s42_mradial_ba_farthestpose_useba_maxba50/eval_results.json,bonsai_2_n90_s42_mradial_ba_farthestpose_useba_maxba50,,,vggt |  | ba,90.0
vggt,100,42,,,ba,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,radial,,,,,MCMC,,,,,,,,Use BA,50,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_mradial_ba_farthestpose_useba_maxba50/eval_results.json,,bonsai_2_n100_s42_mradial_ba_farthestpose_useba_maxba50,1.3871,0.140105,100,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_mradial_ba_farthestpose_useba_maxba50/eval_results.json,bonsai_2_n100_s42_mradial_ba_farthestpose_useba_maxba50,,,vggt |  | ba,100.0
vggt,10,42,0.0,11000,voxels,,,,0,10,farthestpose,10,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,14.590754508972168,0.5341152548789978,0.4475937485694885,1000000,0.022690916433930397,1.0958099365234375,,0.10868186165250067,10529,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n10_s42_c0.0_p11000_voxels_farthestpose_i10_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n10_s42_c0.0_p11000_voxels_farthestpose_i10_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n10_s42_c0.0_p11000_voxels_farthestpose_i10_gteval_poseopt_steps15000,1.2025,0.110639,10,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n10_s42_c0.0_p11000_voxels_farthestpose/eval_results.json,bonsai_2_n10_s42_c0.0_p11000_voxels_farthestpose,bonsai_2_n10_s42_c0.0_p11000_voxels_farthestpose_i10_gteval_poseopt_steps15000_val_step14999.json,10529,vggt |  | voxels,10.0
vggt,20,42,0.0,22000,voxels,,,,0,10,farthestpose,20,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,16.577478408813477,0.4324212074279785,0.5213885307312012,1000000,0.017292149364948273,0.7532901763916016,,0.25140199171714456,21097,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_poseopt_steps15000,0.8645,0.10407,20,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n20_s42_c0.0_p22000_voxels_farthestpose/eval_results.json,bonsai_2_n20_s42_c0.0_p22000_voxels_farthestpose,bonsai_2_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_poseopt_steps15000_val_step14999.json,21097,vggt |  | voxels,20.0
vggt,30,42,0.0,33000,voxels,,,,0,10,farthestpose,30,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,16.59636116027832,0.43545228242874146,0.525759756565094,1000000,0.019024649634957314,0.8496993184089661,,0.2524369107662199,31771,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_steps15000,0.9727,0.110438,30,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n30_s42_c0.0_p33000_voxels_farthestpose/eval_results.json,bonsai_2_n30_s42_c0.0_p33000_voxels_farthestpose,bonsai_2_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_poseopt_steps15000_val_step14999.json,31771,vggt |  | voxels,30.0
vggt,40,42,0.0,44000,voxels,,,,0,10,farthestpose,40,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,16.780014038085938,0.429752379655838,0.535275936126709,1000000,0.01980789750814438,0.7225885391235352,,0.2649213657741658,42269,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_poseopt_steps15000,0.8565,0.104349,40,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n40_s42_c0.0_p44000_voxels_farthestpose/eval_results.json,bonsai_2_n40_s42_c0.0_p44000_voxels_farthestpose,bonsai_2_n40_s42_c0.0_p44000_voxels_farthestpose_i40_gteval_poseopt_steps15000_val_step14999.json,42269,vggt |  | voxels,40.0
vggt,50,42,0.0,55000,voxels,,,,0,10,farthestpose,50,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,16.852333068847656,0.42593666911125183,0.5386294722557068,1000000,0.019402991980314255,0.6843412518501282,,0.2705771162031222,52978,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n50_s42_c0.0_p55000_voxels_farthestpose_i50_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n50_s42_c0.0_p55000_voxels_farthestpose_i50_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n50_s42_c0.0_p55000_voxels_farthestpose_i50_gteval_poseopt_steps15000,0.8013,0.103039,50,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n50_s42_c0.0_p55000_voxels_farthestpose/eval_results.json,bonsai_2_n50_s42_c0.0_p55000_voxels_farthestpose,bonsai_2_n50_s42_c0.0_p55000_voxels_farthestpose_i50_gteval_poseopt_steps15000_val_step14999.json,52978,vggt |  | voxels,50.0
vggt,60,42,0.0,66000,voxels,,,,0,10,farthestpose,60,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,16.837718963623047,0.42674490809440613,0.5417265295982361,1000000,0.021366139873862267,0.74419105052948,,0.27161871631707835,64293,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n60_s42_c0.0_p66000_voxels_farthestpose_i60_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n60_s42_c0.0_p66000_voxels_farthestpose_i60_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n60_s42_c0.0_p66000_voxels_farthestpose_i60_gteval_poseopt_steps15000,0.8024,0.105191,60,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n60_s42_c0.0_p66000_voxels_farthestpose/eval_results.json,bonsai_2_n60_s42_c0.0_p66000_voxels_farthestpose,bonsai_2_n60_s42_c0.0_p66000_voxels_farthestpose_i60_gteval_poseopt_steps15000_val_step14999.json,64293,vggt |  | voxels,60.0
vggt,70,42,0.0,77000,voxels,,,,0,10,farthestpose,70,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,17.022727966308594,0.4226239323616028,0.546424150466919,1000000,0.023435203358530998,0.7994996309280396,,0.2803357678469781,74202,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n70_s42_c0.0_p77000_voxels_farthestpose_i70_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n70_s42_c0.0_p77000_voxels_farthestpose_i70_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n70_s42_c0.0_p77000_voxels_farthestpose_i70_gteval_poseopt_steps15000,0.9067,0.112128,70,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n70_s42_c0.0_p77000_voxels_farthestpose/eval_results.json,bonsai_2_n70_s42_c0.0_p77000_voxels_farthestpose,bonsai_2_n70_s42_c0.0_p77000_voxels_farthestpose_i70_gteval_poseopt_steps15000_val_step14999.json,74202,vggt |  | voxels,70.0
vggt,80,42,0.0,88000,voxels,,,,0,10,farthestpose,80,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,17.293642044067383,0.4115947484970093,0.5548651218414307,1000000,0.024444060400128365,0.8355211019515991,,0.2970970739707922,85367,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n80_s42_c0.0_p88000_voxels_farthestpose_i80_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n80_s42_c0.0_p88000_voxels_farthestpose_i80_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n80_s42_c0.0_p88000_voxels_farthestpose_i80_gteval_poseopt_steps15000,0.8804,0.113074,80,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n80_s42_c0.0_p88000_voxels_farthestpose/eval_results.json,bonsai_2_n80_s42_c0.0_p88000_voxels_farthestpose,bonsai_2_n80_s42_c0.0_p88000_voxels_farthestpose_i80_gteval_poseopt_steps15000_val_step14999.json,85367,vggt |  | voxels,80.0
vggt,90,42,0.0,99000,voxels,,,,0,10,farthestpose,90,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,17.267969131469727,0.4128778576850891,0.5548664927482605,1000000,0.023252375423908234,0.8265124559402466,,0.2958304086546374,94025,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n90_s42_c0.0_p99000_voxels_farthestpose_i90_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n90_s42_c0.0_p99000_voxels_farthestpose_i90_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n90_s42_c0.0_p99000_voxels_farthestpose_i90_gteval_poseopt_steps15000,0.8434,0.110305,90,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n90_s42_c0.0_p99000_voxels_farthestpose/eval_results.json,bonsai_2_n90_s42_c0.0_p99000_voxels_farthestpose,bonsai_2_n90_s42_c0.0_p99000_voxels_farthestpose_i90_gteval_poseopt_steps15000_val_step14999.json,94025,vggt |  | voxels,90.0
vggt,100,42,0.0,110000,voxels,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,17.365093231201172,0.40374141931533813,0.5603165626525879,1000000,0.022537514567375183,0.7863857746124268,,0.30645595524820746,107522,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_poseopt_steps15000,0.7897,0.107121,100,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_voxels_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p110000_voxels_farthestpose,bonsai_2_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_poseopt_steps15000_val_step14999.json,107522,vggt |  | voxels,100.0
