choice,random_init,pose_opt,use_ba,eval_rre,eval_rte,num_aligned,real_num_points,quality
COLMAP,Random Init,,,10.430866241455078,0.11273074895143509,87,55034.5,0.8375089196675857
COLMAP,Random Init,Pose Opt,,10.514455795288086,0.11363307759165764,87,55034.5,0.7235913204926032
VGGT,Random Init,,Use BA,0.2679849863052368,0.0044213777873665094,87,55034.5,0.7718998562251693
VGGT,Random Init,,,0.29695892333984375,0.00519891083240509,87,55034.5,0.6774353956279621
VGGT,Random Init,Pose Opt,Use BA,0.20250289142131805,0.003251511021517217,87,55034.5,0.8268018452338076
VGGT,Random Init,Pose Opt,,0.28797248005867004,0.006065721390768886,87,55034.5,0.6636458083048046
