Choice,Num Images,Num Points,RRE ↓,RTE ↓,PSNR ↑,LPIPS ↓,SSIM ↑,Final Gaussian Count ↓
COLMAP,50,33432,0.9244,0.12704,17.314516067504883,0.42014098167419434,0.5491011738777161,1000000
COLMAP,50,36535,0.5257,0.081737,18.347726821899414,0.3547690808773041,0.5755265951156616,1000000
VGGT,50,55000,0.8013,0.103039,16.606491088867188,0.4628184735774994,0.5345847010612488,1000000
VGGT,50,55000,0.8013,0.103039,16.616880416870117,0.46287062764167786,0.5347773432731628,1000000
VGGT,50,55000,0.8217,0.108441,16.460050582885742,0.46816718578338623,0.5322009921073914,1000000
COLMAP,100,79141,0.4887,0.052377,18.633634567260742,0.31010448932647705,0.5858246088027954,1000000
COLMAP,100,80705,0.5629,0.063833,18.469179153442383,0.32536494731903076,0.5786079168319702,1000000
COLMAP,100,80830,0.4864,0.053874,18.83687400817871,0.3060200810432434,0.5905328989028931,1000000
VGGT,100,110000,0.7897,0.107121,17.5345401763916,0.4374907314777374,0.5742523074150085,1000000
VGGT,100,110000,0.7897,0.107121,17.552377700805664,0.43710771203041077,0.5750956535339355,1000000
VGGT,100,110000,0.7897,0.107121,17.539352416992188,0.4376832842826843,0.5747129917144775,1000000
