method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series,real_num_points_jitter
vggt,87,42,0.0,3866,random,,,,0,10,farthestpose,87,GT Eval,,,,,,,,,0.0,,vggt,drums,pinhole,,15000,15000,,MCMC,,,,,Shared Cam,,Random Init,Use BA,aliked+sp,250,gsplat,synthetic,18.609399795532227,0.12247894704341888,0.8162282109260559,1000000,0.003188657807186246,0.2348719835281372,0.08063479512929916,0.01813683472573757,0.6527734141097277,0.18831302157437016,3866,/home/ojab2/work/git/gsplat/results/vggt_outputs/drums_1_n87_s42_mpinhole_aliked-sp_c0.0_p3866_random_farthestpose_useba_maxba250_sharedcam_i87_gteval_randinit3866_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/drums_1_n87_s42_mpinhole_aliked-sp_c0.0_p3866_random_farthestpose_useba_maxba250_sharedcam_i87_gteval_randinit3866_steps15000/stats/val_step14999.json,drums_1_n87_s42_mpinhole_aliked-sp_c0.0_p3866_random_farthestpose_useba_maxba250_sharedcam_i87_gteval_randinit3866_steps15000,0.2352,0.010833,87,,,,/home/ojab2/work/git/vggt/vggt_outputs/drums_1_n87_s42_mpinhole_aliked-sp_c0.0_p3866_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,drums_1_n87_s42_mpinhole_aliked-sp_c0.0_p3866_random_farthestpose_useba_maxba250_sharedcam,drums_1_n87_s42_mpinhole_aliked-sp_c0.0_p3866_random_farthestpose_useba_maxba250_sharedcam_i87_gteval_randinit3866_steps15000_val_step14999.json,3866,vggt | Random Init | Use BA,3866.0
vggt,87,42,0.0,5138,random,,,,0,10,farthestpose,87,GT Eval,,,,,,,,,0.0,,vggt,ship,pinhole,,15000,15000,,MCMC,,,,,Shared Cam,,Random Init,Use BA,aliked+sp,250,gsplat,synthetic,19.154937744140625,0.2778691351413727,0.6810534596443176,1000000,0.00786924734711647,0.4286913275718689,0.4346051812171936,0.07898624986410141,0.48790653736425577,0.2849235657532938,5138,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_mpinhole_aliked-sp_c0.0_p5138_random_farthestpose_useba_maxba250_sharedcam_i87_gteval_randinit5138_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/ship_1_n87_s42_mpinhole_aliked-sp_c0.0_p5138_random_farthestpose_useba_maxba250_sharedcam_i87_gteval_randinit5138_steps15000/stats/val_step14999.json,ship_1_n87_s42_mpinhole_aliked-sp_c0.0_p5138_random_farthestpose_useba_maxba250_sharedcam_i87_gteval_randinit5138_steps15000,0.429,0.025089,87,0.1645,0.0436,0.2731,/home/ojab2/work/git/vggt/vggt_outputs/ship_1_n87_s42_mpinhole_aliked-sp_c0.0_p5138_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,ship_1_n87_s42_mpinhole_aliked-sp_c0.0_p5138_random_farthestpose_useba_maxba250_sharedcam,ship_1_n87_s42_mpinhole_aliked-sp_c0.0_p5138_random_farthestpose_useba_maxba250_sharedcam_i87_gteval_randinit5138_steps15000_val_step14999.json,5138,vggt | Random Init | Use BA,5138.0
vggt,87,42,0.0,10069,random,,,,0,10,farthestpose,87,GT Eval,,,,,,,,,0.0,,vggt,lego,pinhole,,15000,15000,,MCMC,,,,,Shared Cam,,Random Init,Use BA,aliked+sp,250,gsplat,synthetic,22.936649322509766,0.07985085994005203,0.8368396162986755,1000000,0.00442137848585844,0.26798683404922485,0.08931750804185867,0.02097604051232338,0.7712747520580161,0.1629558461742895,10069,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_mpinhole_aliked-sp_c0.0_p10069_random_farthestpose_useba_maxba250_sharedcam_i87_gteval_randinit10069_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_mpinhole_aliked-sp_c0.0_p10069_random_farthestpose_useba_maxba250_sharedcam_i87_gteval_randinit10069_steps15000/stats/val_step14999.json,lego_1_n87_s42_mpinhole_aliked-sp_c0.0_p10069_random_farthestpose_useba_maxba250_sharedcam_i87_gteval_randinit10069_steps15000,0.2685,0.015949,87,0.0438,0.0124,0.1148,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_mpinhole_aliked-sp_c0.0_p10069_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,lego_1_n87_s42_mpinhole_aliked-sp_c0.0_p10069_random_farthestpose_useba_maxba250_sharedcam,lego_1_n87_s42_mpinhole_aliked-sp_c0.0_p10069_random_farthestpose_useba_maxba250_sharedcam_i87_gteval_randinit10069_steps15000_val_step14999.json,10069,vggt | Random Init | Use BA,10069.0
vggt,100,42,0.0,17352,random,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,bicycle,radial,,15000,15000,,MCMC,,,,,Shared Cam,,Random Init,Use BA,aliked+sp,250,gsplat,outdoor,17.713621139526367,0.56191086769104,0.30456820130348206,1000000,0.008761337026953697,0.5899049639701843,,,0.06571426857904317,0.47092188656273964,17352,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_mradial_aliked-sp_c0.0_p17352_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit17352_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_mradial_aliked-sp_c0.0_p17352_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit17352_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_mradial_aliked-sp_c0.0_p17352_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit17352_steps15000,0.5899,0.03799,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_mradial_aliked-sp_c0.0_p17352_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,bicycle_4_n100_s42_mradial_aliked-sp_c0.0_p17352_random_farthestpose_useba_maxba250_sharedcam,bicycle_4_n100_s42_mradial_aliked-sp_c0.0_p17352_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit17352_steps15000_val_step14999.json,17352,vggt | Random Init | Use BA,17352.0
vggt,100,42,0.0,19683,random,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,stump,radial,,15000,15000,,MCMC,,,,,Shared Cam,,Random Init,Use BA,aliked+sp,250,gsplat,outdoor,19.11687469482422,0.5691958665847778,0.4431573748588562,1000000,0.010673359967768192,0.6949854493141174,,,0.16824983295641455,0.4425565766582027,19683,/home/ojab2/work/git/gsplat/results/vggt_outputs/stump_2_n100_s42_mradial_aliked-sp_c0.0_p19683_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit19683_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/stump_2_n100_s42_mradial_aliked-sp_c0.0_p19683_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit19683_steps15000/stats/val_step14999.json,stump_2_n100_s42_mradial_aliked-sp_c0.0_p19683_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit19683_steps15000,0.695,0.043247,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/stump_2_n100_s42_mradial_aliked-sp_c0.0_p19683_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,stump_2_n100_s42_mradial_aliked-sp_c0.0_p19683_random_farthestpose_useba_maxba250_sharedcam,stump_2_n100_s42_mradial_aliked-sp_c0.0_p19683_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit19683_steps15000_val_step14999.json,19683,vggt | Random Init | Use BA,19683.0
vggt,100,42,0.0,60980,random,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,counter,radial,,15000,15000,,MCMC,,,,,Shared Cam,,Random Init,Use BA,aliked+sp,250,gsplat,indoor,18.80560874938965,0.3805466592311859,0.6003087162971497,1000000,0.003921193070709705,0.4211226999759674,,,0.3708371460399045,0.34197454535963967,60980,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n100_s42_mradial_aliked-sp_c0.0_p60980_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit60980_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n100_s42_mradial_aliked-sp_c0.0_p60980_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit60980_steps15000/stats/val_step14999.json,counter_2_n100_s42_mradial_aliked-sp_c0.0_p60980_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit60980_steps15000,0.4211,0.016951,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/counter_2_n100_s42_mradial_aliked-sp_c0.0_p60980_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,counter_2_n100_s42_mradial_aliked-sp_c0.0_p60980_random_farthestpose_useba_maxba250_sharedcam,counter_2_n100_s42_mradial_aliked-sp_c0.0_p60980_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit60980_steps15000_val_step14999.json,60980,vggt | Random Init | Use BA,60980.0
vggt,100,42,0.0,70656,random,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,garden,radial,,15000,15000,,MCMC,,,,,Shared Cam,,Random Init,Use BA,aliked+sp,250,gsplat,outdoor,18.521589279174805,0.46003612875938416,0.357613742351532,1000000,0.0032176030799746513,0.32922714948654175,,,0.17458306708995833,0.4251938276682754,70656,/home/ojab2/work/git/gsplat/results/vggt_outputs/garden_2_n100_s42_mradial_aliked-sp_c0.0_p70656_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit70656_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/garden_2_n100_s42_mradial_aliked-sp_c0.0_p70656_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit70656_steps15000/stats/val_step14999.json,garden_2_n100_s42_mradial_aliked-sp_c0.0_p70656_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit70656_steps15000,0.3292,0.014488,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/garden_2_n100_s42_mradial_aliked-sp_c0.0_p70656_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,garden_2_n100_s42_mradial_aliked-sp_c0.0_p70656_random_farthestpose_useba_maxba250_sharedcam,garden_2_n100_s42_mradial_aliked-sp_c0.0_p70656_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit70656_steps15000_val_step14999.json,70656,vggt | Random Init | Use BA,70656.0
vggt,100,42,0.0,80892,random,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,bonsai,radial,,15000,15000,,MCMC,,,,,Shared Cam,,Random Init,Use BA,aliked+sp,250,gsplat,indoor,18.94931983947754,0.3593359887599945,0.5959122776985168,1000000,0.008138061501085758,0.5792253613471985,,,0.38402045226236525,0.33591732004224256,80892,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p80892_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit80892_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p80892_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit80892_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p80892_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit80892_steps15000,0.5792,0.034349,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p80892_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p80892_random_farthestpose_useba_maxba250_sharedcam,bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p80892_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit80892_steps15000_val_step14999.json,80892,vggt | Random Init | Use BA,80892.0
vggt,100,42,0.0,92853,random,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,kitchen,radial,,15000,15000,,MCMC,,,,,Shared Cam,,Random Init,Use BA,aliked+sp,250,gsplat,indoor,19.33570671081543,0.2556728422641754,0.4568772614002228,1000000,0.005105174612253904,0.453612357378006,,,0.3738583342218802,0.33476474359982245,92853,/home/ojab2/work/git/gsplat/results/vggt_outputs/kitchen_2_n100_s42_mradial_aliked-sp_c0.0_p92853_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit92853_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/kitchen_2_n100_s42_mradial_aliked-sp_c0.0_p92853_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit92853_steps15000/stats/val_step14999.json,kitchen_2_n100_s42_mradial_aliked-sp_c0.0_p92853_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit92853_steps15000,0.4536,0.023341,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/kitchen_2_n100_s42_mradial_aliked-sp_c0.0_p92853_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,kitchen_2_n100_s42_mradial_aliked-sp_c0.0_p92853_random_farthestpose_useba_maxba250_sharedcam,kitchen_2_n100_s42_mradial_aliked-sp_c0.0_p92853_random_farthestpose_useba_maxba250_sharedcam_i100_gteval_randinit92853_steps15000_val_step14999.json,92853,vggt | Random Init | Use BA,92853.0
colmap,87,42,,5138,,,,,0,10,farthestpose,87,GT Eval,,,,,,,,,0.0,,colmap,ship,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,Random Init,,,,gsplat,synthetic,21.28383445739746,0.23693576455116272,0.7345227599143982,1000000,0.00478435680270195,0.29631656408309937,0.0422155037522316,0.04545905068516731,0.5838666599318918,0.2532071156399238,5138,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_randinit5138_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_randinit5138_steps15000/stats/val_step14999.json,ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_randinit5138_steps15000,0.2774,0.015084,81,,,,/home/ojab2/work/git/vggt/colmap_outputs/ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam,ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_randinit5138_steps15000_val_step14999.json,5138,colmap | Random Init | ,5138.0
colmap,87,42,,10069,,,,,0,10,farthestpose,87,GT Eval,,,,,,,,,0.0,,colmap,lego,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,Random Init,,,,gsplat,synthetic,24.25707244873047,0.06756699085235596,0.8882819414138794,1000000,0.11273074895143509,10.430866241455078,0.04714833199977875,0.049427859485149384,0.8333928984740556,0.13518725467527481,10069,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_randinit10069_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_randinit10069_steps15000/stats/val_step14999.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_randinit10069_steps15000,10.4269,0.396164,87,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_randinit10069_steps15000_val_step14999.json,10069,colmap | Random Init | ,10069.0
