method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss,error_opa,depth_lambda,depth_conf,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,quality,real_num_points,file_path,rre,rte,plot_series
colmap,100,43,,206613,,farthestpose,100,GT Eval,,,GT Points,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.837196350097656,0.30108967423439026,0.5883479118347168,1000000,0.012391000054776669,0.4864000976085663,0.4134750007188808,206613,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s43_default_farthestpose_i100_gteval_gtpcd_steps15000/stats/val_step14999.json,0.4864,0.053874,colmap |  |  | GT Points
colmap,100,43,,206613,,farthestpose,100,GT Eval,,GT Intrinsics,GT Points,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.687744140625,0.30488285422325134,0.5835806727409363,1000000,0.012391000054776669,0.4864000976085663,0.40557803896203143,206613,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s43_default_farthestpose_i100_gteval_gtint_gtpcd_steps15000/stats/val_step14999.json,0.4864,0.053874,colmap |  | GT Intrinsics | GT Points
colmap,100,43,,206613,,farthestpose,100,GT Eval,GT Extrinsics,,GT Points,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,22.60122299194336,0.20960400998592377,0.7016687393188477,1000000,0.0,0.0,0.605921319799039,206613,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s43_default_farthestpose_i100_gteval_gtext_gtpcd_steps15000/stats/val_step14999.json,0.4864,0.053874,colmap | GT Extrinsics |  | GT Points
colmap,100,43,,206613,,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,GT Points,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,28.908599853515625,0.14511124789714813,0.9140363335609436,1000000,0.0,0.0,0.8867265175618932,206613,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s43_default_farthestpose_i100_gteval_gtext_gtint_gtpcd_steps15000/stats/val_step14999.json,0.4864,0.053874,colmap | GT Extrinsics | GT Intrinsics | GT Points
colmap,100,44,,79141,,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.633634567260742,0.31010448932647705,0.5858246088027954,1000000,0.012052997946739197,0.4887000024318695,0.402665021591484,79141,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s44_default_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.4887,0.052377,colmap |  |  | 
colmap,100,44,,79141,,farthestpose,100,GT Eval,,GT Intrinsics,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.66762351989746,0.3184695541858673,0.5860196948051453,1000000,0.012052997946739197,0.4887000024318695,0.398244911738229,79141,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s44_default_farthestpose_i100_gteval_gtint_steps15000/stats/val_step14999.json,0.4887,0.052377,colmap |  | GT Intrinsics | 
colmap,100,44,,79141,,farthestpose,100,GT Eval,GT Extrinsics,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,23.073287963867188,0.21747270226478577,0.7070258259773254,1000000,0.0,0.0,0.6129388454829507,79141,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s44_default_farthestpose_i100_gteval_gtext_steps15000/stats/val_step14999.json,0.4887,0.052377,colmap | GT Extrinsics |  | 
colmap,100,44,,79141,,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,28.59927749633789,0.1667715162038803,0.889987051486969,1000000,0.0,0.0,0.8535638821248963,79141,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s44_default_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,0.4887,0.052377,colmap | GT Extrinsics | GT Intrinsics | 
colmap,100,44,,206613,,farthestpose,100,GT Eval,,,GT Points,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.69533348083496,0.3043802082538605,0.5869513750076294,1000000,0.012052997946739197,0.4887000024318695,0.40800002850519523,206613,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s44_default_farthestpose_i100_gteval_gtpcd_steps15000/stats/val_step14999.json,0.4887,0.052377,colmap |  |  | GT Points
colmap,100,44,,206613,,farthestpose,100,GT Eval,,GT Intrinsics,GT Points,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,18.64946174621582,0.30409085750579834,0.5831913948059082,1000000,0.012052997946739197,0.4887000024318695,0.405130344679636,206613,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s44_default_farthestpose_i100_gteval_gtint_gtpcd_steps15000/stats/val_step14999.json,0.4887,0.052377,colmap |  | GT Intrinsics | GT Points
colmap,100,44,,206613,,farthestpose,100,GT Eval,GT Extrinsics,,GT Points,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,23.15287971496582,0.20641107857227325,0.7090471386909485,1000000,0.0,0.0,0.6224229837912411,206613,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s44_default_farthestpose_i100_gteval_gtext_gtpcd_steps15000/stats/val_step14999.json,0.4887,0.052377,colmap | GT Extrinsics |  | GT Points
colmap,100,44,,206613,,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,GT Points,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,29.008710861206055,0.14447258412837982,0.9139493107795715,1000000,0.0,0.0,0.8889237714905952,206613,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s44_default_farthestpose_i100_gteval_gtext_gtint_gtpcd_steps15000/stats/val_step14999.json,0.4887,0.052377,colmap | GT Extrinsics | GT Intrinsics | GT Points
gt,292,42,,206613,,,292,,,,,,,No Depth Loss,,0.0,No Depth Confidence,gt,,,15000,15000,,MCMC,gsplat,31.67754364013672,0.11663784831762314,0.9476247429847717,1000000,,,0.9752217716234235,206613,/home/ojab2/work/git/gsplat/results/gt_outputs/bonsai_2_n292_s42_i292_steps15000/stats/val_step14999.json,,,gt |  |  | 
gt,292,43,,206613,,,292,,,,,,,No Depth Loss,,0.0,No Depth Confidence,gt,,,15000,15000,,MCMC,gsplat,31.688077926635742,0.11680378764867783,0.9475792646408081,1000000,,,0.9752878237944131,206613,/home/ojab2/work/git/gsplat/results/gt_outputs/bonsai_2_n292_s43_i292_steps15000/stats/val_step14999.json,,,gt |  |  | 
gt,292,44,,206613,,,292,,,,,,,No Depth Loss,,0.0,No Depth Confidence,gt,,,15000,15000,,MCMC,gsplat,31.668506622314453,0.11652393639087677,0.9475945234298706,1000000,,,0.9751070631913661,206613,/home/ojab2/work/git/gsplat/results/gt_outputs/bonsai_2_n292_s44_i292_steps15000/stats/val_step14999.json,,,gt |  |  | 
vggt,100,42,0.0,110000,voxels,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,17.5345401763916,0.4374907314777374,0.5742523074150085,1000000,,,0.2969105112389979,110277,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.7897,0.107121,vggt |  |  | 
vggt,100,42,0.0,110000,voxels,farthestpose,100,GT Eval,,,GT Points,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,17.620174407958984,0.4253682494163513,0.5739321708679199,1000000,0.024634001776576042,0.7897000312805176,0.3057921296052146,206613,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_gtpcd_steps15000/stats/val_step14999.json,0.7897,0.107121,vggt |  |  | GT Points
vggt,100,42,0.0,110000,voxels,farthestpose,100,GT Eval,,GT Intrinsics,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,18.643909454345703,0.4014790654182434,0.6063070893287659,1000000,0.024634001776576042,0.7897000312805176,0.35842929674945456,110277,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_gtint_steps15000/stats/val_step14999.json,0.7897,0.107121,vggt |  | GT Intrinsics | 
vggt,100,42,0.0,110000,voxels,farthestpose,100,GT Eval,,GT Intrinsics,GT Points,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,18.761425018310547,0.3739173710346222,0.6067492365837097,1000000,0.024634001776576042,0.7897000312805176,0.37787746813794554,206613,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_gtint_gtpcd_steps15000/stats/val_step14999.json,0.7897,0.107121,vggt |  | GT Intrinsics | GT Points
vggt,100,42,0.0,110000,voxels,farthestpose,100,GT Eval,GT Extrinsics,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,18.52985191345215,0.3686796724796295,0.5861056447029114,1000000,0.0,0.0,0.36474994860971954,110277,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_gtext_steps15000/stats/val_step14999.json,0.7897,0.107121,vggt | GT Extrinsics |  | 
vggt,100,42,0.0,110000,voxels,farthestpose,100,GT Eval,GT Extrinsics,,GT Points,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,18.68036460876465,0.356584757566452,0.5882220268249512,1000000,0.0,0.0,0.3762408679688883,206613,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_gtext_gtpcd_steps15000/stats/val_step14999.json,0.7897,0.107121,vggt | GT Extrinsics |  | GT Points
vggt,100,42,0.0,110000,voxels,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,25.96111488342285,0.2112802416086197,0.8320702314376831,1000000,0.0,0.0,0.7433650116590496,110277,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,0.7897,0.107121,vggt | GT Extrinsics | GT Intrinsics | 
