method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_points_jitter
vggt,100,42,0.0,10000,confidence,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,stump,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,outdoor,18.72205352783203,0.6080173254013062,0.4445118308067322,1000000,0.04037195071578026,0.855804443359375,,,0.13776654589865567,0.45558313811213424,10000,/home/ojab2/work/git/gsplat/results/vggt_outputs/stump_2_n100_s42_c0.0_p10000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/stump_2_n100_s42_c0.0_p10000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,stump_2_n100_s42_c0.0_p10000_confidence_farthestpose_i100_gteval_steps15000,0.8558,0.162829,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/stump_2_n100_s42_c0.0_p10000_confidence_farthestpose/eval_results.json,stump_2_n100_s42_c0.0_p10000_confidence_farthestpose,stump_2_n100_s42_c0.0_p10000_confidence_farthestpose_i100_gteval_steps15000_val_step14999.json,10000,vggt | confidence,9250.0
vggt,100,42,0.0,50000,confidence,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,outdoor,17.645341873168945,0.48337990045547485,0.2811870276927948,1000000,0.015081527642905712,0.7160581946372986,,,0.09925254247961612,0.4494686020524449,50000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p50000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p50000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p50000_confidence_farthestpose_i100_gteval_steps15000,0.857,0.067143,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p50000_confidence_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p50000_confidence_farthestpose,bicycle_4_n100_s42_c0.0_p50000_confidence_farthestpose_i100_gteval_steps15000_val_step14999.json,50000,vggt | confidence,46250.0
vggt,100,42,0.0,50000,confidence,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,garden,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,outdoor,18.806325912475586,0.5237365961074829,0.36581891775131226,1000000,0.005971261765807867,0.37333908677101135,,,0.14533303975284373,0.44441828262119,50000,/home/ojab2/work/git/gsplat/results/vggt_outputs/garden_2_n100_s42_c0.0_p50000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/garden_2_n100_s42_c0.0_p50000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,garden_2_n100_s42_c0.0_p50000_confidence_farthestpose_i100_gteval_steps15000,0.3733,0.026869,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/garden_2_n100_s42_c0.0_p50000_confidence_farthestpose/eval_results.json,garden_2_n100_s42_c0.0_p50000_confidence_farthestpose,garden_2_n100_s42_c0.0_p50000_confidence_farthestpose_i100_gteval_steps15000_val_step14999.json,50000,vggt | confidence,46250.0
vggt,100,42,0.0,50000,confidence,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,stump,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,outdoor,18.731998443603516,0.5610343217849731,0.42118361592292786,1000000,0.04037195071578026,0.8558046221733093,,,0.15331033416348988,0.4450749190819857,50000,/home/ojab2/work/git/gsplat/results/vggt_outputs/stump_2_n100_s42_c0.0_p50000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/stump_2_n100_s42_c0.0_p50000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,stump_2_n100_s42_c0.0_p50000_confidence_farthestpose_i100_gteval_steps15000,0.8558,0.162829,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/stump_2_n100_s42_c0.0_p50000_confidence_farthestpose/eval_results.json,stump_2_n100_s42_c0.0_p50000_confidence_farthestpose,stump_2_n100_s42_c0.0_p50000_confidence_farthestpose_i100_gteval_steps15000_val_step14999.json,50000,vggt | confidence,46250.0
vggt,100,42,0.0,100000,confidence,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,outdoor,17.63112449645996,0.47884395718574524,0.2726677358150482,1000000,0.015081527642905712,0.7160580158233643,,,0.09680718067329071,0.4496452131258174,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p100000_confidence_farthestpose_i100_gteval_steps15000,0.857,0.067143,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_confidence_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p100000_confidence_farthestpose,bicycle_4_n100_s42_c0.0_p100000_confidence_farthestpose_i100_gteval_steps15000_val_step14999.json,100000,vggt | confidence,92500.0
vggt,100,42,0.0,100000,confidence,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,garden,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,outdoor,18.731151580810547,0.5131998062133789,0.36053428053855896,1000000,0.005971261765807867,0.37333914637565613,,,0.14735468267387503,0.44208634206588837,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/garden_2_n100_s42_c0.0_p100000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/garden_2_n100_s42_c0.0_p100000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,garden_2_n100_s42_c0.0_p100000_confidence_farthestpose_i100_gteval_steps15000,0.3733,0.026869,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/garden_2_n100_s42_c0.0_p100000_confidence_farthestpose/eval_results.json,garden_2_n100_s42_c0.0_p100000_confidence_farthestpose,garden_2_n100_s42_c0.0_p100000_confidence_farthestpose_i100_gteval_steps15000_val_step14999.json,100000,vggt | confidence,92500.0
vggt,100,42,0.0,100000,confidence,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,stump,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,outdoor,18.674068450927734,0.5564473867416382,0.41202977299690247,1000000,0.04037195071578026,0.8558046221733093,,,0.14971587338797687,0.4456033231021375,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/stump_2_n100_s42_c0.0_p100000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/stump_2_n100_s42_c0.0_p100000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,stump_2_n100_s42_c0.0_p100000_confidence_farthestpose_i100_gteval_steps15000,0.8558,0.162829,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/stump_2_n100_s42_c0.0_p100000_confidence_farthestpose/eval_results.json,stump_2_n100_s42_c0.0_p100000_confidence_farthestpose,stump_2_n100_s42_c0.0_p100000_confidence_farthestpose_i100_gteval_steps15000_val_step14999.json,100000,vggt | confidence,92500.0
vggt,100,42,0.0,500000,confidence,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,outdoor,17.478744506835938,0.48836278915405273,0.2627239525318146,1000000,0.015081527642905712,0.7160580158233643,,,0.08229442886751615,0.4549602106435314,500000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p500000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p500000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p500000_confidence_farthestpose_i100_gteval_steps15000,0.857,0.067143,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p500000_confidence_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p500000_confidence_farthestpose,bicycle_4_n100_s42_c0.0_p500000_confidence_farthestpose_i100_gteval_steps15000_val_step14999.json,500000,vggt | confidence,462500.0
vggt,100,42,0.0,500000,confidence,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,garden,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,outdoor,18.604413986206055,0.4967137277126312,0.3518092632293701,1000000,0.005971261765807867,0.37333911657333374,,,0.15008193254470828,0.4385354944512936,500000,/home/ojab2/work/git/gsplat/results/vggt_outputs/garden_2_n100_s42_c0.0_p500000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/garden_2_n100_s42_c0.0_p500000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,garden_2_n100_s42_c0.0_p500000_confidence_farthestpose_i100_gteval_steps15000,0.3733,0.026869,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/garden_2_n100_s42_c0.0_p500000_confidence_farthestpose/eval_results.json,garden_2_n100_s42_c0.0_p500000_confidence_farthestpose,garden_2_n100_s42_c0.0_p500000_confidence_farthestpose_i100_gteval_steps15000_val_step14999.json,500000,vggt | confidence,462500.0
vggt,100,42,0.0,500000,confidence,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,stump,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,outdoor,18.56013298034668,0.5542895793914795,0.3987616300582886,1000000,0.04037195071578026,0.8558046221733093,,,0.14117878919456434,0.44787211413651784,500000,/home/ojab2/work/git/gsplat/results/vggt_outputs/stump_2_n100_s42_c0.0_p500000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/stump_2_n100_s42_c0.0_p500000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,stump_2_n100_s42_c0.0_p500000_confidence_farthestpose_i100_gteval_steps15000,0.8558,0.162829,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/stump_2_n100_s42_c0.0_p500000_confidence_farthestpose/eval_results.json,stump_2_n100_s42_c0.0_p500000_confidence_farthestpose,stump_2_n100_s42_c0.0_p500000_confidence_farthestpose_i100_gteval_steps15000_val_step14999.json,500000,vggt | confidence,462500.0
