choice,num_images,rre,rte,psnr,lpips,ssim,num_aligned
COLMAP,10,0.1484,0.006143,12.353164672851562,0.7327916622161865,0.44888290762901306,5
COLMAP,20,0.1213,0.004206,16.78005599975586,0.5113248825073242,0.5714883208274841,13
COLMAP,30,0.0278,0.001854,22.41564178466797,0.29226407408714294,0.7693297266960144,30
COLMAP,40,0.0233,0.001168,24.299144744873047,0.23028264939785004,0.8186064958572388,40
COLMAP,50,0.0263,0.001254,25.204635620117188,0.2012728750705719,0.8427934646606445,50
COLMAP,60,0.0199,0.000942,26.158340454101562,0.1889503002166748,0.8658013939857483,60
COLMAP,70,0.0189,0.000872,26.725461959838867,0.18234191834926605,0.8777703046798706,70
COLMAP,80,0.0163,0.000772,27.375858306884766,0.1690811663866043,0.8878010511398315,80
COLMAP,90,0.0186,0.00076,27.590927124023438,0.16619718074798584,0.8896318674087524,90
COLMAP,100,0.0156,0.000691,27.93535614013672,0.16450491547584534,0.8961127400398254,100
VGGT,10,0.6747,0.046283,15.224120140075684,0.46982941031455994,0.4588468670845032,10
VGGT,20,0.3814,0.043451,17.897125244140625,0.3656599223613739,0.5332370400428772,20
VGGT,30,0.3487,0.036323,18.8387508392334,0.3141652047634125,0.5609233975410461,30
VGGT,40,0.3803,0.032005,19.15398406982422,0.2938864827156067,0.5738909244537354,40
VGGT,50,0.3927,0.03126,19.03731346130371,0.3023765981197357,0.5784945487976074,50
VGGT,60,0.3795,0.030852,19.74547004699707,0.2845265567302704,0.5979784727096558,60
VGGT,70,0.356,0.031055,20.209012985229492,0.2791377604007721,0.6161238551139832,70
VGGT,80,0.3586,0.029914,20.53877830505371,0.27467066049575806,0.6277803778648376,80
VGGT,90,0.3956,0.030141,19.927597045898438,0.2940928339958191,0.6140936017036438,90
VGGT,100,0.3873,0.030482,20.050086975097656,0.291461318731308,0.6177743673324585,100
