choice,num_images,rre,rte,psnr,lpips,ssim,num_GS
COLMAP,20,111.3582,0.022895,10.803343772888184,0.5147349238395691,0.6727261543273926,90482
COLMAP,30,85.9851,3.013466,10.694755554199219,0.5482433438301086,0.5935630202293396,1000000
COLMAP,40,176.2496,3.722113,10.939840316772461,0.5101408958435059,0.6750603914260864,1000000
COLMAP,50,158.6122,3.616413,10.864677429199219,0.5358357429504395,0.6451521515846252,1000000
COLMAP,60,151.2284,3.589798,10.812164306640625,0.5437000393867493,0.6288586854934692,1000000
COLMAP,70,0.1844,0.010395,22.98185920715332,0.06102456524968147,0.8613326549530029,1000000
COLMAP,80,14.3444,0.883651,9.91300106048584,0.5404939651489258,0.5149642825126648,1000000
COLMAP,87,12.9097,0.789921,10.16973876953125,0.5301704406738281,0.5224648714065552,1000000
VGGT,10,2.5925,0.160213,13.738570213317871,0.3629388213157654,0.592481255531311,943923
VGGT,20,2.2981,0.141203,14.302730560302734,0.4106657803058624,0.6033727526664734,16198
VGGT,30,2.2345,0.136023,14.280621528625488,0.3641490638256073,0.6420012712478638,144124
VGGT,40,1.3219,0.069077,14.670816421508789,0.2834952771663666,0.6439815163612366,1000000
VGGT,50,0.8706,0.041593,15.393909454345703,0.23414680361747742,0.6717016100883484,1000000
VGGT,60,0.6267,0.028956,16.666370391845703,0.1834859699010849,0.7047938108444214,1000000
VGGT,70,0.4264,0.02124,18.712488174438477,0.1245839074254036,0.7447917461395264,1000000
VGGT,80,0.3472,0.018759,20.04801368713379,0.10563252866268158,0.7606816291809082,1000000
VGGT,87,0.3306,0.018825,20.573179244995117,0.09590783715248108,0.7737959027290344,1000000
