Choice,Camera Type,RRE ↓,RTE ↓,PSNR ↑,LPIPS ↓,SSIM ↑,Final Gaussian Count ↓
VGGT,pinhole,0.7207,0.043102,17.15853500366211,0.5055208206176758,0.27977272868156433,1000000
VGGT,radial,0.6572,0.045158,17.236957550048828,0.5168664455413818,0.28157839179039,1000000
COLMAP,,0.2044,0.018299,17.195592880249023,0.4858524203300476,0.3001985251903534,1000000
