choice,num_images,depth_loss_mode,rre,psnr,lpips,ssim,pred_depth_absrel,depth_abs_rel
COLMAP,20,,111.3893,10.803365707397461,0.5119888782501221,0.6752678751945496,,0.9999488592147827
COLMAP,20,points,111.3893,10.803866386413574,0.5112189650535583,0.6763719320297241,,1.0094637870788574
COLMAP,30,,132.5397,10.754478454589844,0.5123314261436462,0.6750339269638062,,2.6555168628692627
COLMAP,30,points,132.5397,10.754472732543945,0.5123341083526611,0.6750344634056091,,1.0921005010604858
COLMAP,40,,173.622,10.940168380737305,0.5102077126502991,0.6744393110275269,,12.878990173339844
COLMAP,40,points,173.622,10.938373565673828,0.5116029977798462,0.67444908618927,,2.22857928276062
COLMAP,87,,13.9256,10.16772747039795,0.5302260518074036,0.5212879180908203,,0.49537378549575806
COLMAP,87,points,13.9256,10.148531913757324,0.5306199193000793,0.5202350616455078,,0.5058304071426392
VGGT,10,,2.5925,13.136817932128906,0.3578621745109558,0.6011791229248047,0.0232,0.0959400162100792
VGGT,10,closer,2.5925,13.3407621383667,0.34871387481689453,0.6125175952911377,0.0232,0.08998994529247284
VGGT,10,full,2.5925,13.341325759887695,0.3436380624771118,0.6114291548728943,0.0232,0.09488306939601898
VGGT,10,points,2.5925,13.160614013671875,0.3600538969039917,0.5983443260192871,0.0232,0.09735500812530518
VGGT,20,,2.2981,13.40362548828125,0.3248805105686188,0.6204947829246521,0.0194,0.04792708903551102
VGGT,20,closer,2.2981,13.5496826171875,0.3168582320213318,0.6283676624298096,0.0194,0.05160810798406601
VGGT,20,full,2.2981,13.496034622192383,0.31412622332572937,0.6278795003890991,0.0194,0.049325451254844666
VGGT,20,points,2.2981,13.40925121307373,0.3270282447338104,0.6161248087882996,0.0194,0.04785497486591339
VGGT,30,,2.2345,13.655960083007812,0.31146693229675293,0.6312119364738464,0.0179,0.04707029089331627
VGGT,30,closer,2.2345,13.788276672363281,0.3045942485332489,0.6374582648277283,0.0179,0.05009471997618675
VGGT,30,full,2.2345,13.751492500305176,0.303554505109787,0.6372378468513489,0.0179,0.049156304448843
VGGT,30,points,2.2345,13.67370319366455,0.3131324350833893,0.6273573637008667,0.0179,0.046832241117954254
VGGT,40,,1.3219,14.343804359436035,0.2634490430355072,0.6643169522285461,0.0154,0.07028230279684067
VGGT,40,closer,1.3219,14.391762733459473,0.26131072640419006,0.6664155125617981,0.0154,0.07065123319625854
VGGT,40,full,1.3219,14.345011711120605,0.26284679770469666,0.6655183434486389,0.0154,0.072667695581913
VGGT,40,points,1.3219,14.336201667785645,0.2642892897129059,0.6629886627197266,0.0154,0.07013607770204544
VGGT,87,,0.3306,20.479135513305664,0.0743449404835701,0.7770639657974243,0.0133,0.10465787351131439
VGGT,87,closer,0.3306,20.51809310913086,0.07721809297800064,0.7779227495193481,0.0133,2.964843511581421
VGGT,87,full,0.3306,21.883258819580078,0.06967034935951233,0.8106804490089417,0.0133,2.9832072257995605
VGGT,87,points,0.3306,21.787866592407227,0.06609415262937546,0.8077610731124878,0.0133,2.9852700233459473
