choice,num_points,sampling_mode,psnr,lpips,ssim,quality
COLMAP,17352,,22.997255325317383,0.34948840737342834,0.6103905439376831,0.4735277968230691
VGGT,1000,confidence,21.560304641723633,0.5726260542869568,0.48618635535240173,0.23654428234806774
VGGT,1000,imagefps,21.603092193603516,0.6011430025100708,0.47043555974960327,0.21052259838062115
VGGT,1000,random,21.656288146972656,0.5766024589538574,0.48278936743736267,0.2338806412450829
VGGT,1000,voxels,21.50248908996582,0.5986209511756897,0.47078466415405273,0.2104205543767175
VGGT,5000,confidence,22.662302017211914,0.41931387782096863,0.5746358633041382,0.4033136455713735
VGGT,5000,imagefps,22.19515609741211,0.4545867443084717,0.5378414988517761,0.35137224863534466
VGGT,5000,random,22.492956161499023,0.42037561535835266,0.5662214756011963,0.3946015231016009
VGGT,5000,voxels,22.131181716918945,0.4756084680557251,0.5280373096466064,0.3314777212223502
VGGT,10000,confidence,22.80124855041504,0.3771035671234131,0.5984290242195129,0.4458566060540271
VGGT,10000,imagefps,22.48737335205078,0.4037669897079468,0.5665748715400696,0.40495704008899314
VGGT,10000,random,22.74217414855957,0.36722230911254883,0.5959244966506958,0.449397541626155
VGGT,10000,voxels,22.318387985229492,0.4283887445926666,0.5500414371490479,0.37696039223531536
VGGT,20000,confidence,22.759145736694336,0.34814712405204773,0.612034797668457,0.4709078645535767
VGGT,20000,imagefps,22.60029411315918,0.3450068533420563,0.5987507104873657,0.46213613449558955
VGGT,20000,random,22.847230911254883,0.31998029351234436,0.6195282340049744,0.494308130434382
VGGT,20000,voxels,22.463274002075195,0.38290002942085266,0.5754925012588501,0.42260658365321513
VGGT,23814,ba,22.958209991455078,0.36893218755722046,0.5999897122383118,0.4547200439191624
VGGT,30000,confidence,22.705331802368164,0.3319249749183655,0.6178131103515625,0.48330411274298357
VGGT,30000,imagefps,22.658992767333984,0.3163291811943054,0.6114766597747803,0.48836748897448384
VGGT,30000,random,22.836034774780273,0.2951236367225647,0.6265453100204468,0.5135479631014966
VGGT,30000,voxels,22.52105712890625,0.3532434403896332,0.5888164639472961,0.4497749690423932
VGGT,50000,confidence,22.63270378112793,0.3215659558773041,0.6213787198066711,0.49043875731300274
VGGT,50000,imagefps,22.61829948425293,0.2901829183101654,0.6199639439582825,0.5087169021890874
VGGT,50000,random,22.829973220825195,0.2726561725139618,0.6339620351791382,0.5316417833440408
VGGT,50000,voxels,22.5551700592041,0.3333786725997925,0.5948579907417297,0.4662019489181747
VGGT,75000,confidence,22.7520694732666,0.3127621114253998,0.6224396824836731,0.4987041509871827
VGGT,75000,imagefps,22.646352767944336,0.27050161361694336,0.6242066621780396,0.5238664827229064
VGGT,75000,random,22.72933578491211,0.2576987147331238,0.6338861584663391,0.5389667534069088
VGGT,75000,voxels,22.524587631225586,0.3151114284992218,0.6000445485115051,0.47994475898377065
VGGT,100000,confidence,22.78083038330078,0.30550122261047363,0.6233962774276733,0.5042782028128838
VGGT,100000,imagefps,22.64336395263672,0.25978609919548035,0.62409508228302,0.5303603979656648
VGGT,100000,random,22.770076751708984,0.2482174187898636,0.6338316798210144,0.5455420087149113
VGGT,100000,voxels,22.526376724243164,0.3095274269580841,0.6012303233146667,0.484118240424919
VGGT,250000,confidence,22.44685173034668,0.30386003851890564,0.6151331663131714,0.4942742608211659
VGGT,250000,imagefps,22.33940315246582,0.2520558536052704,0.6104289293289185,0.5215113484836228
VGGT,250000,random,22.521469116210938,0.23187872767448425,0.6222234964370728,0.5442353640770741
VGGT,250000,voxels,22.387348175048828,0.29755914211273193,0.5967239737510681,0.48629617567105754
VGGT,500000,confidence,22.257572174072266,0.3076338768005371,0.6048211455345154,0.4824091325416589
VGGT,500000,imagefps,22.114038467407227,0.26357370615005493,0.5861067175865173,0.4960046272296422
VGGT,500000,random,22.33084487915039,0.23270238935947418,0.6052718758583069,0.5302836240654722
VGGT,500000,voxels,22.182968139648438,0.304720401763916,0.5825092196464539,0.46977810785319607
VGGT,1000000,confidence,22.040361404418945,0.32456934452056885,0.5923680067062378,0.46065018113516154
VGGT,1000000,imagefps,21.670106887817383,0.29908084869384766,0.5486647486686707,0.44396979457143837
VGGT,1000000,random,22.0590763092041,0.24282602965831757,0.5852311849594116,0.5072820098118165
VGGT,1000000,voxels,21.900760650634766,0.3206726014614105,0.5552679896354675,0.43877446252545266
