Choice,Num Points,Sampling Mode,PSNR ↑,LPIPS ↓,SSIM ↑
VGGT,1000,confidence,24.561962127685547,0.3493092954158783,0.7951180338859558
VGGT,1000,random,24.758255004882812,0.33959314227104187,0.7978488206863403
VGGT,1000,voxels,24.95529556274414,0.3382152318954468,0.7991769909858704
VGGT,5000,confidence,25.689634323120117,0.25520554184913635,0.8386071920394897
VGGT,5000,random,26.13888931274414,0.2518365979194641,0.8392205834388733
VGGT,5000,voxels,26.149904251098633,0.25856834650039673,0.8347803354263306
VGGT,10000,confidence,26.06028938293457,0.23804304003715515,0.8454871773719788
VGGT,10000,random,26.37805938720703,0.2327328771352768,0.8456176519393921
VGGT,10000,voxels,26.337398529052734,0.24007050693035126,0.8409222364425659
VGGT,20000,confidence,26.354297637939453,0.22335292398929596,0.8483413457870483
VGGT,20000,random,26.56064224243164,0.22144955396652222,0.8469085097312927
VGGT,20000,voxels,26.444026947021484,0.22403372824192047,0.8440263271331787
VGGT,30000,confidence,26.44820213317871,0.21767739951610565,0.8487464785575867
VGGT,30000,random,26.547100067138672,0.21504229307174683,0.8472418189048767
VGGT,30000,voxels,26.392324447631836,0.21774140000343323,0.8421019315719604
VGGT,31171,ba,26.315811157226562,0.22065044939517975,0.8543270826339722
VGGT,50000,confidence,26.42399787902832,0.21547916531562805,0.8453701734542847
VGGT,50000,random,26.454864501953125,0.21139591932296753,0.8452841639518738
VGGT,50000,voxels,26.274227142333984,0.21334928274154663,0.8401584029197693
VGGT,75000,confidence,26.1372127532959,0.21420176327228546,0.8410829305648804
VGGT,75000,random,26.183027267456055,0.20972232520580292,0.8410125970840454
VGGT,75000,voxels,26.089815139770508,0.21395224332809448,0.8369758725166321
COLMAP,80705,,28.503082275390625,0.16526290774345398,0.8899495005607605
VGGT,100000,confidence,25.989450454711914,0.21349337697029114,0.8363205790519714
VGGT,100000,random,26.19381332397461,0.20998051762580872,0.8396381139755249
VGGT,100000,voxels,25.943937301635742,0.21284642815589905,0.8328789472579956
VGGT,250000,confidence,25.581388473510742,0.21907582879066467,0.826631486415863
VGGT,250000,random,25.650545120239258,0.2130161076784134,0.8276110291481018
VGGT,250000,voxels,25.36636734008789,0.2154272049665451,0.8208987712860107
VGGT,500000,confidence,25.099363327026367,0.22688964009284973,0.8162293434143066
VGGT,500000,random,25.137725830078125,0.21847261488437653,0.817075788974762
VGGT,500000,voxels,25.05202293395996,0.22031062841415405,0.8135907053947449
VGGT,1000000,confidence,24.317590713500977,0.24274942278862,0.8033922910690308
VGGT,1000000,random,24.544116973876953,0.22705253958702087,0.8049572110176086
VGGT,1000000,voxels,24.63071060180664,0.2289888560771942,0.8065596222877502
VGGT,2500000,confidence,24.506380081176758,0.22991567850112915,0.8018784523010254
VGGT,2500000,random,24.39700698852539,0.21753796935081482,0.7971795797348022
VGGT,2500000,voxels,24.535947799682617,0.22073762118816376,0.8019474148750305
VGGT,5000000,confidence,24.569334030151367,0.2208332121372223,0.8007586598396301
VGGT,5000000,random,24.141284942626953,0.2152913361787796,0.7918552756309509
VGGT,5000000,voxels,24.46000862121582,0.22211606800556183,0.8006256818771362
