method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,run_mvs,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,depth_conf_shifted,loss_multiplier,pose_loss_multiplier,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,series_label_override,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,alignment_scale,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,inference_time,peak_memory_mb,peak_memory_reserved_mb,processing_time,sfm_file_path,input_folder,output_folder,initial_points,failed_sfm_file_path,gsplat_cfg_file_path,plot_series,num_images_jitter
colmap,40,42,,16038,,,,,0,10,minfarthestpose,40,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,garden,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,20.569843292236328,0.3247353732585907,0.42285704612731934,1000000,0.0008048277231864631,0.07946791499853134,,,0.3341866606547509,0.364401650059608,16038,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n40_s42_default_minfarthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n40_s42_default_minfarthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,garden_2_n40_s42_default_minfarthestpose_sharedcam_i40_gteval_steps15000,0.0795,0.003271,40,1.029936,,,,27.414010047912598,9210,9210,0,/home/ojab2/work/git/vggt/colmap_outputs/garden_2_n40_s42_default_minfarthestpose_sharedcam/eval_results.json,garden_2_n40_s42_default_minfarthestpose_sharedcam,garden_2_n40_s42_default_minfarthestpose_sharedcam_i40_gteval_steps15000_val_step14999.json,16038,,,colmap | ,40.0
colmap,50,42,,3489,,,,,0,10,minfarthestpose,50,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,19.971603393554688,0.43686988949775696,0.37685221433639526,1000000,0.0030892484355717897,0.1497589349746704,,,0.2269858964237786,0.4121108639918377,3489,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s42_default_minfarthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s42_default_minfarthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_default_minfarthestpose_sharedcam_i50_gteval_steps15000,0.1498,0.011463,46,0.97877,,,,10.574543714523315,7346,7346,0,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n50_s42_default_minfarthestpose_sharedcam/eval_results.json,bicycle_4_n50_s42_default_minfarthestpose_sharedcam,bicycle_4_n50_s42_default_minfarthestpose_sharedcam_i50_gteval_steps15000_val_step14999.json,3489,,,colmap | ,50.0
colmap,50,42,,3584,,,,,0,10,minfarthestpose,50,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,stump,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,19.90422248840332,0.4939579367637634,0.5229108929634094,1000000,0.0017587877810001373,0.08486564457416534,,,0.27591299848017403,0.3982990982554842,3584,/home/ojab2/work/git/gsplat/results/colmap_outputs/stump_2_n50_s42_default_minfarthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/stump_2_n50_s42_default_minfarthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,stump_2_n50_s42_default_minfarthestpose_sharedcam_i50_gteval_steps15000,0.0849,0.005529,31,0.829807,,,,15.191178798675537,9528,9528,0,/home/ojab2/work/git/vggt/colmap_outputs/stump_2_n50_s42_default_minfarthestpose_sharedcam/eval_results.json,stump_2_n50_s42_default_minfarthestpose_sharedcam,stump_2_n50_s42_default_minfarthestpose_sharedcam_i50_gteval_steps15000_val_step14999.json,3584,,,colmap | ,50.0
colmap,50,42,,25421,,,,,0,10,minfarthestpose,50,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,garden,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,20.968908309936523,0.3062770366668701,0.4411541819572449,1000000,0.000735376204829663,0.07241864502429962,,,0.3636708679409907,0.3539457664513222,25421,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n50_s42_default_minfarthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n50_s42_default_minfarthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,garden_2_n50_s42_default_minfarthestpose_sharedcam_i50_gteval_steps15000,0.0724,0.003021,50,1.021916,,,,31.005630254745483,9792,9792,0,/home/ojab2/work/git/vggt/colmap_outputs/garden_2_n50_s42_default_minfarthestpose_sharedcam/eval_results.json,garden_2_n50_s42_default_minfarthestpose_sharedcam,garden_2_n50_s42_default_minfarthestpose_sharedcam_i50_gteval_steps15000_val_step14999.json,25421,,,colmap | ,50.0
colmap,60,42,,5439,,,,,0,10,minfarthestpose,60,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,19.752241134643555,0.40431737899780273,0.36857086420059204,1000000,0.0029093585908412933,0.13441917300224304,,,0.23817487983753186,0.40317653525129193,5439,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,bicycle_4_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000,0.1344,0.010799,59,1.02818,,,,14.349272727966309,7410,7410,0,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n60_s42_default_minfarthestpose_sharedcam/eval_results.json,bicycle_4_n60_s42_default_minfarthestpose_sharedcam,bicycle_4_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000_val_step14999.json,5439,,,colmap | ,60.0
colmap,60,42,,7456,,,,,0,10,minfarthestpose,60,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,stump,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,22.481861114501953,0.4334394335746765,0.6201140880584717,1000000,0.0017187476623803377,0.05464011803269386,,,0.41784812158543694,0.35181174619674216,7456,/home/ojab2/work/git/gsplat/results/colmap_outputs/stump_2_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/stump_2_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,stump_2_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000,0.0546,0.006326,60,1.007535,,,,21.20139789581299,9592,9592,0,/home/ojab2/work/git/vggt/colmap_outputs/stump_2_n60_s42_default_minfarthestpose_sharedcam/eval_results.json,stump_2_n60_s42_default_minfarthestpose_sharedcam,stump_2_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000_val_step14999.json,7456,,,colmap | ,60.0
colmap,60,42,,34210,,,,,0,10,minfarthestpose,60,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,garden,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,21.483154296875,0.29751619696617126,0.47562894225120544,1000000,0.0007055920432321727,0.06019479036331177,,,0.3987625460488367,0.34291928808949035,34210,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,garden_2_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000,0.0602,0.002877,60,1.016844,,,,48.06957793235779,9856,9856,0,/home/ojab2/work/git/vggt/colmap_outputs/garden_2_n60_s42_default_minfarthestpose_sharedcam/eval_results.json,garden_2_n60_s42_default_minfarthestpose_sharedcam,garden_2_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000_val_step14999.json,34210,,,colmap | ,60.0
colmap,70,42,,8521,,,,,0,10,minfarthestpose,70,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,19.710527420043945,0.3646119236946106,0.37013497948646545,1000000,0.0026197393890470266,0.11995593458414078,,,0.26282663125353556,0.3896471779847298,8521,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,bicycle_4_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000,0.12,0.009717,69,1.016821,,,,20.831656455993652,7470,7470,0,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n70_s42_default_minfarthestpose_sharedcam/eval_results.json,bicycle_4_n70_s42_default_minfarthestpose_sharedcam,bicycle_4_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000_val_step14999.json,8521,,,colmap | ,70.0
colmap,70,42,,10379,,,,,0,10,minfarthestpose,70,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,stump,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,23.05914306640625,0.4161098003387451,0.642978310585022,1000000,0.0013794626574963331,0.043135255575180054,,,0.4526067229352113,0.3395222675110053,10379,/home/ojab2/work/git/gsplat/results/colmap_outputs/stump_2_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/stump_2_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,stump_2_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000,0.0431,0.005018,70,0.985276,,,,28.946945190429688,9652,9652,0,/home/ojab2/work/git/vggt/colmap_outputs/stump_2_n70_s42_default_minfarthestpose_sharedcam/eval_results.json,stump_2_n70_s42_default_minfarthestpose_sharedcam,stump_2_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000_val_step14999.json,10379,,,colmap | ,70.0
colmap,70,42,,43941,,,,,0,10,minfarthestpose,70,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,garden,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,21.485448837280273,0.2839418649673462,0.46950864791870117,1000000,0.0007179754902608693,0.06462907791137695,,,0.40360513532835607,0.33979781842250706,43941,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,garden_2_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000,0.0646,0.002954,70,1.033049,,,,59.864672899246216,9916,9916,0,/home/ojab2/work/git/vggt/colmap_outputs/garden_2_n70_s42_default_minfarthestpose_sharedcam/eval_results.json,garden_2_n70_s42_default_minfarthestpose_sharedcam,garden_2_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000_val_step14999.json,43941,,,colmap | ,70.0
