method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,quality,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_images_jitter
colmap,75,42,,,,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,pinhole,,,,default,MCMC,,,,,Shared Cam,,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n75_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,,lego_1_n75_s42_default_mpinhole_farthestpose_sharedcam,96.5446,3.183331,75,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n75_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n75_s42_default_mpinhole_farthestpose_sharedcam,,,colmap | default | ,75.0
combined,25,42,0.0,25000,random,,,,0,10,farthestpose,25,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,relaxed,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,,,gsplat,11.262699127197266,0.557759165763855,0.5716209411621094,1000000,1.0452749729156494,127.60753631591797,,0.10498672169938812,31881,/home/ojab2/work/git/gsplat/results/combined_outputs/lego_1_n25_s42_combined_colmapcams_bothpcd_amglobal_relaxed_c0.0_p25000_random_farthestpose_sharedcam_i25_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/lego_1_n25_s42_combined_colmapcams_bothpcd_amglobal_relaxed_c0.0_p25000_random_farthestpose_sharedcam_i25_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n25_s42_combined_colmapcams_bothpcd_amglobal_relaxed_c0.0_p25000_random_farthestpose_sharedcam_i25_gteval_poseopt_steps15000,129.0421,3.833276,25,/home/ojab2/work/git/vggt/combined_outputs/lego_1_n25_s42_combined_colmapcams_bothpcd_amglobal_relaxed_c0.0_p25000_random_farthestpose_sharedcam/eval_results.json,lego_1_n25_s42_combined_colmapcams_bothpcd_amglobal_relaxed_c0.0_p25000_random_farthestpose_sharedcam,lego_1_n25_s42_combined_colmapcams_bothpcd_amglobal_relaxed_c0.0_p25000_random_farthestpose_sharedcam_i25_gteval_poseopt_steps15000_val_step14999.json,31881,combined | relaxed | bothpcd,25.0
combined,50,42,0.0,50000,random,,,,0,10,farthestpose,50,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,relaxed,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,,,gsplat,11.360930442810059,0.5088019371032715,0.6731137037277222,1000000,1.0056281089782715,118.79893493652344,,0.1963788243839693,67629,/home/ojab2/work/git/gsplat/results/combined_outputs/lego_1_n50_s42_combined_colmapcams_bothpcd_amglobal_relaxed_c0.0_p50000_random_farthestpose_sharedcam_i50_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/lego_1_n50_s42_combined_colmapcams_bothpcd_amglobal_relaxed_c0.0_p50000_random_farthestpose_sharedcam_i50_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n50_s42_combined_colmapcams_bothpcd_amglobal_relaxed_c0.0_p50000_random_farthestpose_sharedcam_i50_gteval_poseopt_steps15000,114.6231,3.606327,50,/home/ojab2/work/git/vggt/combined_outputs/lego_1_n50_s42_combined_colmapcams_bothpcd_amglobal_relaxed_c0.0_p50000_random_farthestpose_sharedcam/eval_results.json,lego_1_n50_s42_combined_colmapcams_bothpcd_amglobal_relaxed_c0.0_p50000_random_farthestpose_sharedcam,lego_1_n50_s42_combined_colmapcams_bothpcd_amglobal_relaxed_c0.0_p50000_random_farthestpose_sharedcam_i50_gteval_poseopt_steps15000_val_step14999.json,67629,combined | relaxed | bothpcd,50.0
combined,75,42,0.0,75000,random,,,,0,10,farthestpose,75,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,relaxed,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,,,gsplat,15.417341232299805,0.24394036829471588,0.6938148140907288,1000000,0.0349784679710865,0.22092430293560028,,0.4470982507616766,104195,/home/ojab2/work/git/gsplat/results/combined_outputs/lego_1_n75_s42_combined_colmapcams_bothpcd_amglobal_relaxed_c0.0_p75000_random_farthestpose_sharedcam_i75_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/lego_1_n75_s42_combined_colmapcams_bothpcd_amglobal_relaxed_c0.0_p75000_random_farthestpose_sharedcam_i75_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n75_s42_combined_colmapcams_bothpcd_amglobal_relaxed_c0.0_p75000_random_farthestpose_sharedcam_i75_gteval_poseopt_steps15000,2.5941,0.201191,75,/home/ojab2/work/git/vggt/combined_outputs/lego_1_n75_s42_combined_colmapcams_bothpcd_amglobal_relaxed_c0.0_p75000_random_farthestpose_sharedcam/eval_results.json,lego_1_n75_s42_combined_colmapcams_bothpcd_amglobal_relaxed_c0.0_p75000_random_farthestpose_sharedcam,lego_1_n75_s42_combined_colmapcams_bothpcd_amglobal_relaxed_c0.0_p75000_random_farthestpose_sharedcam_i75_gteval_poseopt_steps15000_val_step14999.json,104195,combined | relaxed | bothpcd,75.0
combined,87,42,0.0,87000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,relaxed,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/lego_1_n87_s42_combined_colmapcams_bothpcd_amglobal_relaxed_c0.0_p87000_random_farthestpose_sharedcam/eval_results.json,,lego_1_n87_s42_combined_colmapcams_bothpcd_amglobal_relaxed_c0.0_p87000_random_farthestpose_sharedcam,0.1352,0.007215,87,/home/ojab2/work/git/vggt/combined_outputs/lego_1_n87_s42_combined_colmapcams_bothpcd_amglobal_relaxed_c0.0_p87000_random_farthestpose_sharedcam/eval_results.json,lego_1_n87_s42_combined_colmapcams_bothpcd_amglobal_relaxed_c0.0_p87000_random_farthestpose_sharedcam,,,combined | relaxed | bothpcd,87.0
combined,25,42,0.0,25000,random,,,,0,10,farthestpose,25,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,relaxed,MCMC,colmapcams,vggtpcd,Global Alignment,,Shared Cam,,,,,gsplat,11.36161994934082,0.508847713470459,0.6731384992599487,1000000,0.9369590282440186,129.13990783691406,,0.19637783631788908,25000,/home/ojab2/work/git/gsplat/results/combined_outputs/lego_1_n25_s42_combined_colmapcams_vggtpcd_amglobal_relaxed_c0.0_p25000_random_farthestpose_sharedcam_i25_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/lego_1_n25_s42_combined_colmapcams_vggtpcd_amglobal_relaxed_c0.0_p25000_random_farthestpose_sharedcam_i25_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n25_s42_combined_colmapcams_vggtpcd_amglobal_relaxed_c0.0_p25000_random_farthestpose_sharedcam_i25_gteval_poseopt_steps15000,129.0421,3.833276,25,/home/ojab2/work/git/vggt/combined_outputs/lego_1_n25_s42_combined_colmapcams_vggtpcd_amglobal_relaxed_c0.0_p25000_random_farthestpose_sharedcam/eval_results.json,lego_1_n25_s42_combined_colmapcams_vggtpcd_amglobal_relaxed_c0.0_p25000_random_farthestpose_sharedcam,lego_1_n25_s42_combined_colmapcams_vggtpcd_amglobal_relaxed_c0.0_p25000_random_farthestpose_sharedcam_i25_gteval_poseopt_steps15000_val_step14999.json,25000,combined | relaxed | vggtpcd,25.0
combined,75,42,0.0,75000,random,,,,0,10,farthestpose,75,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,,,15000,15000,relaxed,MCMC,colmapcams,vggtpcd,Global Alignment,,Shared Cam,,,,,gsplat,15.482964515686035,0.24271349608898163,0.6963315010070801,1000000,0.03496018797159195,0.23876714706420898,,0.4505425720070769,75000,/home/ojab2/work/git/gsplat/results/combined_outputs/lego_1_n75_s42_combined_colmapcams_vggtpcd_amglobal_relaxed_c0.0_p75000_random_farthestpose_sharedcam_i75_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/lego_1_n75_s42_combined_colmapcams_vggtpcd_amglobal_relaxed_c0.0_p75000_random_farthestpose_sharedcam_i75_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n75_s42_combined_colmapcams_vggtpcd_amglobal_relaxed_c0.0_p75000_random_farthestpose_sharedcam_i75_gteval_poseopt_steps15000,2.5941,0.201191,75,/home/ojab2/work/git/vggt/combined_outputs/lego_1_n75_s42_combined_colmapcams_vggtpcd_amglobal_relaxed_c0.0_p75000_random_farthestpose_sharedcam/eval_results.json,lego_1_n75_s42_combined_colmapcams_vggtpcd_amglobal_relaxed_c0.0_p75000_random_farthestpose_sharedcam,lego_1_n75_s42_combined_colmapcams_vggtpcd_amglobal_relaxed_c0.0_p75000_random_farthestpose_sharedcam_i75_gteval_poseopt_steps15000_val_step14999.json,75000,combined | relaxed | vggtpcd,75.0
combined,50,42,0.0,50000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,relaxed,MCMC,colmapcams,vggtpcd,Global Alignment,,Shared Cam,,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/lego_1_n50_s42_combined_colmapcams_vggtpcd_amglobal_relaxed_c0.0_p50000_random_farthestpose_sharedcam/eval_results.json,,lego_1_n50_s42_combined_colmapcams_vggtpcd_amglobal_relaxed_c0.0_p50000_random_farthestpose_sharedcam,114.6231,3.606327,50,/home/ojab2/work/git/vggt/combined_outputs/lego_1_n50_s42_combined_colmapcams_vggtpcd_amglobal_relaxed_c0.0_p50000_random_farthestpose_sharedcam/eval_results.json,lego_1_n50_s42_combined_colmapcams_vggtpcd_amglobal_relaxed_c0.0_p50000_random_farthestpose_sharedcam,,,combined | relaxed | vggtpcd,50.0
combined,87,42,0.0,87000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,relaxed,MCMC,colmapcams,vggtpcd,Global Alignment,,Shared Cam,,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/lego_1_n87_s42_combined_colmapcams_vggtpcd_amglobal_relaxed_c0.0_p87000_random_farthestpose_sharedcam/eval_results.json,,lego_1_n87_s42_combined_colmapcams_vggtpcd_amglobal_relaxed_c0.0_p87000_random_farthestpose_sharedcam,0.1352,0.007215,87,/home/ojab2/work/git/vggt/combined_outputs/lego_1_n87_s42_combined_colmapcams_vggtpcd_amglobal_relaxed_c0.0_p87000_random_farthestpose_sharedcam/eval_results.json,lego_1_n87_s42_combined_colmapcams_vggtpcd_amglobal_relaxed_c0.0_p87000_random_farthestpose_sharedcam,,,combined | relaxed | vggtpcd,87.0
colmap,25,42,,,,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,pinhole,,,,relaxed,MCMC,,,,,Shared Cam,,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n25_s42_relaxed_mpinhole_farthestpose_sharedcam/eval_results.json,,lego_1_n25_s42_relaxed_mpinhole_farthestpose_sharedcam,121.9612,3.830271,25,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n25_s42_relaxed_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n25_s42_relaxed_mpinhole_farthestpose_sharedcam,,,colmap | relaxed | ,25.0
