Choice,Num Images,Colmap Mode,RRE ↓,RTE ↓,PSNR ↑,LPIPS ↓,SSIM ↑,Final Gaussian Count ↓
COLMAP,10,relaxed,,,9.008575439453125,0.908355712890625,0.0352599136531353,550663.0
COLMAP,20,default,,,9.281769752502441,0.8951457142829895,0.1444433331489563,37114.0
COLMAP,20,relaxed,14.9207,0.820213,9.1713285446167,0.7996325492858887,0.1454133838415146,1000000.0
COLMAP,30,default,1.9728,0.022973,12.421894073486328,0.7531695365905762,0.19865600764751434,799971.0
COLMAP,30,relaxed,11.3038,0.564051,12.429044723510742,0.7019224166870117,0.16868434846401215,1000000.0
COLMAP,40,default,0.6204,0.04371,13.766525268554688,0.6604799032211304,0.20866277813911438,1000000.0
COLMAP,40,relaxed,19.6811,0.811476,13.00643253326416,0.6928660273551941,0.17719997465610504,1000000.0
COLMAP,50,default,0.383,0.024467,15.879034996032715,0.6041828989982605,0.26500794291496277,1000000.0
COLMAP,50,relaxed,5.8846,0.500275,15.05355167388916,0.5360285043716431,0.22604788839817047,1000000.0
COLMAP,60,default,0.233,0.02279,16.046512603759766,0.5614190697669983,0.2658894956111908,1000000.0
COLMAP,60,relaxed,1.4461,0.121232,15.834385871887207,0.5135416984558105,0.23786887526512146,1000000.0
COLMAP,70,default,0.1019,0.017934,17.885038375854492,0.5156506299972534,0.361318975687027,1000000.0
COLMAP,70,relaxed,0.144,0.034517,19.167940139770508,0.34619635343551636,0.3460267186164856,1000000.0
COLMAP,80,default,0.2044,0.018299,17.195592880249023,0.4858524203300476,0.3001985251903534,1000000.0
COLMAP,80,relaxed,3.6103,0.54901,15.086955070495605,0.5639063119888306,0.22285884618759155,1000000.0
COLMAP,90,default,0.133,0.018113,20.26517105102539,0.3983192443847656,0.4295969307422638,1000000.0
COLMAP,90,relaxed,0.1545,0.024797,20.368572235107422,0.2966923713684082,0.4509013593196869,1000000.0
COLMAP,100,default,0.1049,0.017545,21.084463119506836,0.3635961413383484,0.49296194314956665,1000000.0
COLMAP,100,relaxed,0.099,0.017792,21.861061096191406,0.26650169491767883,0.556559681892395,1000000.0
