Choice,Camera Type,Pose Opt,Eval Opt,Sampling Mode,Num Images,RRE ↓ ↓,RTE ↓ ↓,PSNR ↑ ↑,LPIPS ↓ ↓,SSIM ↑ ↑,Final Gaussian Count ↓
VGGT,pinhole,,,ba,100,0.8210333333333333,0.08420033333333332,17.016734441121418,0.5335773030916849,0.2826615770657857,1000000.0
VGGT,pinhole,Pose Opt,,ba,100,0.8210333333333333,0.08420033333333332,16.72503598531087,0.49741528431574505,0.2728928526242574,1000000.0
VGGT,radial,,,ba,100,0.7548666666666666,0.08034000000000001,17.262156804402668,0.542412797609965,0.2883274753888448,1000000.0
VGGT,radial,Pose Opt,,ba,100,0.7548666666666666,0.08034000000000001,16.981424967447918,0.509796659151713,0.27769986788431805,1000000.0
