method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,run_mvs,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,depth_conf_shifted,loss_multiplier,pose_loss_multiplier,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,series_label_override,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,alignment_scale,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,used_cache,cache_load_time,inference_time,processing_time,peak_memory_mb,peak_memory_reserved_mb,processing_peak_memory_mb,processing_peak_memory_reserved_mb,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_points_jitter
vggt,100,42,,24311,ba,,,,0,10,minfarthestpose,,,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bonsai,radial,,,,,MCMC,,,,,Shared Cam,,,Use BA,aliked+sp,250,sfm,,indoor,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_mradial_aliked-sp_ba_timing_minfarthestpose_useba_maxba250_sharedcam/eval_results.json,,bonsai_2_n100_s42_mradial_aliked-sp_ba_timing_minfarthestpose_useba_maxba250_sharedcam,0.5013,0.026257,100,8.297729,,,,1,1.6575181484222412,0.0,144.79748582839966,0,0,20381.5166015625,21414,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_mradial_aliked-sp_ba_timing_minfarthestpose_useba_maxba250_sharedcam/eval_results.json,bonsai_2_n100_s42_mradial_aliked-sp_ba_timing_minfarthestpose_useba_maxba250_sharedcam,,,vggt | ba,21879.9
vggt,100,42,0.0,1000,confidence,,,,0,10,minfarthestpose,,,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bonsai,,,,,,MCMC,,,,,,,,,,,sfm,,indoor,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p1000_confidence_timing_minfarthestpose/eval_results.json,,bonsai_2_n100_s42_c0.0_p1000_confidence_timing_minfarthestpose,0.7308,0.098078,100,7.817163,,,,1,1.144089937210083,0.0,2.636456251144409,0,0,308.0,-1902,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p1000_confidence_timing_minfarthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p1000_confidence_timing_minfarthestpose,,,vggt | confidence,950.0
vggt,100,42,0.0,5000,confidence,,,,0,10,minfarthestpose,,,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bonsai,,,,,,MCMC,,,,,,,,,,,sfm,,indoor,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p5000_confidence_timing_minfarthestpose/eval_results.json,,bonsai_2_n100_s42_c0.0_p5000_confidence_timing_minfarthestpose,0.7308,0.098078,100,7.817163,,,,1,0.931074857711792,2.384185791015625e-07,2.502199411392212,0,0,308.0,0,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p5000_confidence_timing_minfarthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p5000_confidence_timing_minfarthestpose,,,vggt | confidence,4750.0
vggt,100,42,0.0,10000,confidence,,,,0,10,minfarthestpose,,,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bonsai,,,,,,MCMC,,,,,,,,,,,sfm,,indoor,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p10000_confidence_timing_minfarthestpose/eval_results.json,,bonsai_2_n100_s42_c0.0_p10000_confidence_timing_minfarthestpose,0.7308,0.098078,100,7.817163,,,,1,0.7844638824462891,4.76837158203125e-07,2.577115058898926,0,0,308.0,0,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p10000_confidence_timing_minfarthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p10000_confidence_timing_minfarthestpose,,,vggt | confidence,9500.0
vggt,100,42,0.0,50000,confidence,,,,0,10,minfarthestpose,,,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bonsai,,,,,,MCMC,,,,,,,,,,,sfm,,indoor,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p50000_confidence_timing_minfarthestpose/eval_results.json,,bonsai_2_n100_s42_c0.0_p50000_confidence_timing_minfarthestpose,0.7308,0.098078,100,7.817163,,,,1,0.8203380107879639,2.384185791015625e-07,3.0985090732574463,0,0,308.0,0,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p50000_confidence_timing_minfarthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p50000_confidence_timing_minfarthestpose,,,vggt | confidence,47500.0
vggt,100,42,0.0,100000,confidence,,,,0,10,minfarthestpose,,,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bonsai,,,,,,MCMC,,,,,,,,,,,sfm,,indoor,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_confidence_timing_minfarthestpose/eval_results.json,,bonsai_2_n100_s42_c0.0_p100000_confidence_timing_minfarthestpose,0.7308,0.098078,100,7.817163,,,,1,0.7769527435302734,0.0,3.2040529251098633,0,0,308.0,0,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_confidence_timing_minfarthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p100000_confidence_timing_minfarthestpose,,,vggt | confidence,95000.0
vggt,100,42,0.0,1000,imagefps,,,,0,10,minfarthestpose,,,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bonsai,,,,,,MCMC,,,,,,,,,,,sfm,,indoor,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p1000_imagefps_timing_minfarthestpose/eval_results.json,,bonsai_2_n100_s42_c0.0_p1000_imagefps_timing_minfarthestpose,0.7308,0.098078,100,7.817163,,,,1,1.8380358219146729,0.0,2.6206483840942383,0,0,308.0,308,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p1000_imagefps_timing_minfarthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p1000_imagefps_timing_minfarthestpose,,,vggt | imagefps,1000.0
vggt,100,42,0.0,5000,imagefps,,,,0,10,minfarthestpose,,,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bonsai,,,,,,MCMC,,,,,,,,,,,sfm,,indoor,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p5000_imagefps_timing_minfarthestpose/eval_results.json,,bonsai_2_n100_s42_c0.0_p5000_imagefps_timing_minfarthestpose,0.7308,0.098078,100,7.817163,,,,1,0.7643735408782959,2.384185791015625e-07,3.6506519317626953,0,0,308.0,0,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p5000_imagefps_timing_minfarthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p5000_imagefps_timing_minfarthestpose,,,vggt | imagefps,5000.0
vggt,100,42,0.0,10000,imagefps,,,,0,10,minfarthestpose,,,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bonsai,,,,,,MCMC,,,,,,,,,,,sfm,,indoor,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p10000_imagefps_timing_minfarthestpose/eval_results.json,,bonsai_2_n100_s42_c0.0_p10000_imagefps_timing_minfarthestpose,0.7308,0.098078,100,7.817163,,,,1,0.7691202163696289,2.384185791015625e-07,4.698857307434082,0,0,308.0,0,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p10000_imagefps_timing_minfarthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p10000_imagefps_timing_minfarthestpose,,,vggt | imagefps,10000.0
vggt,100,42,0.0,50000,imagefps,,,,0,10,minfarthestpose,,,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bonsai,,,,,,MCMC,,,,,,,,,,,sfm,,indoor,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p50000_imagefps_timing_minfarthestpose/eval_results.json,,bonsai_2_n100_s42_c0.0_p50000_imagefps_timing_minfarthestpose,0.7308,0.098078,100,7.817163,,,,1,0.770993709564209,2.384185791015625e-07,14.158731937408447,0,0,308.0,0,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p50000_imagefps_timing_minfarthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p50000_imagefps_timing_minfarthestpose,,,vggt | imagefps,50000.0
vggt,100,42,0.0,100000,imagefps,,,,0,10,minfarthestpose,,,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bonsai,,,,,,MCMC,,,,,,,,,,,sfm,,indoor,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_imagefps_timing_minfarthestpose/eval_results.json,,bonsai_2_n100_s42_c0.0_p100000_imagefps_timing_minfarthestpose,0.7308,0.098078,100,7.817163,,,,1,0.7918834686279297,0.0,26.12078595161438,0,0,308.0,0,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_imagefps_timing_minfarthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p100000_imagefps_timing_minfarthestpose,,,vggt | imagefps,100000.0
