choice,reconstruct_pose_opt,pose_opt,rre,rte,num_aligned,eval_rre,eval_rte,quality
COLMAP,,,0.1069,0.008457,100,0.10689998418092728,0.0021039999555796385,0.3448348745965122
COLMAP,,Pose Opt,0.1069,0.008457,100,0.09790000319480896,0.0024700001813471317,0.44320724481417806
VGGT,,,0.857,0.067143,100,0.8569999933242798,0.015425998717546463,0.10419683928145769
VGGT,,Pose Opt,0.857,0.067143,100,0.7236999273300171,0.014096999540925026,0.16499779532682285
VGGT,Rec Pose Opt,,0.907,0.181602,100,1.3186777830123901,0.10294337570667267,-0.03267518613460847
VGGT,Rec Pose Opt,Pose Opt,0.907,0.181602,100,1.2940647602081299,0.10177149623632431,-0.032655623766258926
