choice,num_images,shared_camera,rre,rte,num_aligned,quality
COLMAP,10,Shared Cam,12.0827,0.17584,4,-0.269747650220535
COLMAP,10,,14.2489,0.037351,3,-0.28608418789058626
COLMAP,20,Shared Cam,3.1093,0.003574,3,-0.24525464944362324
COLMAP,20,,1.2151,0.030745,9,-0.06358891040028643
COLMAP,30,Shared Cam,49.7519,1.662998,15,-0.24737961025808125
COLMAP,30,,11.5504,0.739977,15,-0.14117755395704612
COLMAP,40,Shared Cam,3.7929,0.22965,34,0.05892436538445948
COLMAP,40,,7.0633,0.673837,26,0.06277246193269237
COLMAP,50,Shared Cam,0.3632,0.039699,50,0.4386282741365067
COLMAP,50,,0.3617,0.062367,50,0.3637774679628265
COLMAP,60,Shared Cam,0.4211,0.015492,60,0.41217568874978794
COLMAP,60,,0.6586,0.114543,60,0.3726442478321217
COLMAP,70,Shared Cam,0.3248,0.010464,70,0.46925768025747133
COLMAP,70,,0.3842,0.05902,70,0.36025842747338177
COLMAP,80,Shared Cam,0.2951,0.011576,80,0.4970893488254076
COLMAP,80,,10.7974,1.673232,80,0.3534465370587206
COLMAP,90,Shared Cam,0.2621,0.012323,90,0.5255083450254796
COLMAP,90,,0.518,0.074572,90,0.431740543298554
COLMAP,100,Shared Cam,0.1993,0.012003,100,0.5794510377197004
COLMAP,100,,0.8696,0.092502,100,0.38597922746510843
