choice,num_points,sampling_mode,psnr,lpips,ssim,quality
COLMAP,10069,,33.13930130004883,0.033728212118148804,0.979638934135437,1.0721918949064608
VGGT,870,confidence,31.848735809326172,0.04916917905211449,0.9691230058670044,1.032611407242749
VGGT,870,imagefps,31.568538665771484,0.052308376878499985,0.9673473238945007,1.0244463843047193
VGGT,870,random,31.891454696655273,0.04857086017727852,0.9696176648139954,1.0340611046256378
VGGT,870,voxels,31.82427215576172,0.050039615482091904,0.9685857892036438,1.0313069083914885
VGGT,4350,confidence,32.95027542114258,0.03549760952591896,0.9784616231918335,1.066910709113444
VGGT,4350,imagefps,32.98505401611328,0.03705174848437309,0.9785605072975159,1.0666532390947616
VGGT,4350,random,32.95500564575195,0.03507247939705849,0.9786287546157837,1.0673584695457636
VGGT,4350,voxels,32.92671585083008,0.035861704498529434,0.9783462882041931,1.0661822234300375
VGGT,8700,confidence,33.116058349609375,0.03349922224879265,0.9797607064247131,1.071974033534604
VGGT,8700,imagefps,33.112789154052734,0.03449389338493347,0.9796452522277832,1.0712319812734379
VGGT,8700,random,33.12849426269531,0.03347594663500786,0.979841411113739,1.0722658916087875
VGGT,8700,voxels,33.17536544799805,0.033319223672151566,0.980102002620697,1.073383011785593
VGGT,17400,confidence,33.229736328125,0.032384127378463745,0.9805001616477966,1.0751999414067828
VGGT,17400,imagefps,33.25203323364258,0.03303895145654678,0.9804746508598328,1.0751937160811849
VGGT,17400,random,33.231773376464844,0.032543428242206573,0.9804955124855042,1.075136611849321
VGGT,17400,voxels,33.24738693237305,0.03246595337986946,0.9805025458335876,1.0754776888316988
VGGT,26100,confidence,33.25611877441406,0.03211825340986252,0.9806762337684631,1.0759555911130918
VGGT,26100,imagefps,33.301876068115234,0.03254763409495354,0.980707049369812,1.0765559194177448
VGGT,26100,random,33.27073669433594,0.03220921754837036,0.9806287288665771,1.0761423619867068
VGGT,26100,voxels,33.2789421081543,0.032019708305597305,0.9806818962097168,1.0764423871220434
VGGT,27774,ba,33.29441452026367,0.032145991921424866,0.9806444048881531,1.0766290356734884
VGGT,43500,confidence,33.26716995239258,0.031915076076984406,0.9807745218276978,1.0763431390610663
VGGT,43500,imagefps,33.308807373046875,0.03222883492708206,0.9806724190711975,1.0768608148896592
VGGT,43500,random,33.27335739135742,0.032117944210767746,0.980728030204773,1.0763053059374612
VGGT,43500,voxels,33.25270080566406,0.03216036409139633,0.9806255102157593,1.0758366382513205
VGGT,65250,confidence,33.303157806396484,0.03171507641673088,0.9808160662651062,1.0771573323749193
VGGT,65250,imagefps,33.2451171875,0.03213374316692352,0.9804198741912842,1.0755923785622665
VGGT,65250,random,33.30424118041992,0.03199765458703041,0.9807713031768799,1.0769767866429374
VGGT,65250,voxels,33.29922866821289,0.03184325248003006,0.980814516544342,1.0770045432605242
VGGT,87000,confidence,33.303985595703125,0.03174300119280815,0.9808568358421326,1.0771792661483368
VGGT,87000,imagefps,33.29658889770508,0.03176582604646683,0.9804548621177673,1.0767931284902155
VGGT,87000,random,33.30177307128906,0.031975213438272476,0.9807279109954834,1.0769195579345774
VGGT,87000,voxels,33.301055908203125,0.03182912990450859,0.9807707071304321,1.0770214791370334
VGGT,217500,confidence,33.290000915527344,0.03139986842870712,0.9804180264472961,1.0768754872565458
VGGT,217500,imagefps,33.25316619873047,0.0317467637360096,0.9799433946609497,1.0757016675175204
VGGT,217500,random,33.2996940612793,0.03160301223397255,0.9803375005722046,1.0768825013899739
VGGT,217500,voxels,33.27100372314453,0.03173467144370079,0.980404257774353,1.0763089670143087
VGGT,435000,confidence,33.26312255859375,0.03115025907754898,0.9802699685096741,1.076445236163065
VGGT,435000,imagefps,33.22806930541992,0.031531769782304764,0.9795960187911987,1.0751664787676134
VGGT,435000,random,33.262264251708984,0.03138595446944237,0.9800705909729004,1.0761672555577297
VGGT,435000,voxels,33.24080276489258,0.03137151524424553,0.9801467657089233,1.0758232803479117
VGGT,870000,confidence,33.202056884765625,0.030985035002231598,0.9799816012382507,1.0752477446901403
VGGT,870000,imagefps,33.21091079711914,0.031014584004878998,0.9794365167617798,1.0750747030531917
VGGT,870000,random,33.191314697265625,0.031180404126644135,0.9797248244285583,1.0747780551900328
VGGT,870000,voxels,33.287899017333984,0.031024016439914703,0.9803515672683716,1.0770297055995022
