choice,near_filtering_strength,near_filtering_quorum,num_aligned
VGGT,0.5,1,100
VGGT,0.5,2,100
VGGT,0.5,10,100
VGGT,0.9,1,100
VGGT,0.9,2,100
VGGT,0.9,10,100
VGGT,1.0,1,100
VGGT,1.0,2,100
VGGT,1.0,10,100
VGGT,,,100
