choice,num_images,shared_camera,rre,rte,num_aligned,quality
COLMAP,20,Shared Cam,114.8832,0.023191,3,0.1958631596989721
COLMAP,20,,109.0818,0.025144,3,0.19623562250143523
COLMAP,30,Shared Cam,75.8732,2.952918,18,0.13818516686336027
COLMAP,30,,154.682,3.691055,18,0.19185193093122022
COLMAP,40,Shared Cam,154.9139,3.71729,35,0.1960283472136757
COLMAP,40,,93.7877,3.678433,34,0.1932001364858527
COLMAP,50,Shared Cam,170.7687,3.636532,43,0.19638284643878404
COLMAP,50,,171.557,3.631801,43,0.19615009421261198
COLMAP,60,Shared Cam,90.7994,3.439075,56,0.18438041744641165
COLMAP,60,,138.5876,3.592912,51,0.19638324922520747
COLMAP,70,Shared Cam,76.4292,3.071785,70,0.16844290243177307
COLMAP,70,,78.8947,3.143143,70,0.15229252493946946
COLMAP,80,Shared Cam,13.712,0.865246,80,0.08509330566708653
COLMAP,80,,13.8591,0.770779,80,0.10456541198038916
COLMAP,87,Shared Cam,12.7941,0.784629,87,0.09547652231554773
COLMAP,87,,0.3261,0.034241,87,0.6675313988082048
