choice,num_images,rre,rte,psnr,lpips,ssim,num_GS
COLMAP,20,,,9.327774047851562,0.9867873787879944,0.011039652861654758,38969
COLMAP,30,0.5918,0.009894,12.014815330505371,0.7400323152542114,0.19129426777362823,811220
COLMAP,40,0.3116,0.017061,13.919034004211426,0.6599552631378174,0.229066863656044,1000000
COLMAP,50,0.1891,0.008857,16.712671279907227,0.5908353328704834,0.30026674270629883,1000000
COLMAP,60,0.1177,0.009469,17.369449615478516,0.5414649248123169,0.3308431804180145,1000000
COLMAP,70,0.1038,0.008064,18.045116424560547,0.5140060186386108,0.3602995276451111,1000000
COLMAP,80,0.1453,0.00542,18.049240112304688,0.47952064871788025,0.3430018424987793,1000000
COLMAP,90,0.1147,0.009408,20.386302947998047,0.4009569585323334,0.4223898947238922,1000000
COLMAP,100,0.1069,0.008457,21.16598129272461,0.37304171919822693,0.47317782044410706,1000000
VGGT,10,1.569,0.141985,13.906999588012695,0.565511167049408,0.153211310505867,1000000
VGGT,20,1.3446,0.119326,15.341623306274414,0.5082657337188721,0.1940384805202484,1000000
VGGT,30,0.9795,0.090795,15.792119026184082,0.4975822865962982,0.208042174577713,1000000
VGGT,40,0.8856,0.086546,16.266023635864258,0.4987545609474182,0.22263917326927185,1000000
VGGT,50,0.9199,0.086453,16.66164207458496,0.4851391017436981,0.2340240180492401,1000000
VGGT,60,0.8369,0.071063,16.847820281982422,0.4806765615940094,0.24579152464866638,1000000
VGGT,70,0.9155,0.07769,16.922019958496094,0.4876060485839844,0.25135573744773865,1000000
VGGT,80,0.873,0.073069,17.09878158569336,0.47723662853240967,0.2604268491268158,1000000
VGGT,90,0.8907,0.071127,17.16674041748047,0.48454931378364563,0.2642480134963989,1000000
VGGT,100,0.857,0.067143,17.263822555541992,0.4823884963989258,0.2708178758621216,1000000
