choice,num_images,image_mode,eval_rre,eval_rte,num_aligned,psnr,lpips,ssim
COLMAP,20,farthestpose,5.302027702331543,0.04122573882341385,3.0,6.573758602142334,0.8610514402389526,0.0944964587688446
COLMAP,30,farthestpose,1.031067132949829,0.010904939845204353,4.0,11.87600326538086,0.5139749050140381,0.40454837679862976
COLMAP,40,farthestpose,0.7317674160003662,0.004789901897311211,5.0,12.676614761352539,0.40889972448349,0.5027180910110474
COLMAP,87,farthestpose,0.09517744928598404,0.0019269566982984543,79.0,22.8007869720459,0.08921363204717636,0.906125545501709
VGGT,10,farthestpose,1.1331332921981812,0.020867060869932175,10.0,12.552970886230469,0.41816696524620056,0.6033636331558228
VGGT,10,minfarthestpose,,,10.0,,,
VGGT,20,farthestpose,0.8252199292182922,0.013671020977199078,20.0,13.024746894836426,0.35147058963775635,0.6518818736076355
VGGT,20,minfarthestpose,,,20.0,,,
VGGT,30,farthestpose,0.6450808048248291,0.01179701741784811,30.0,13.856667518615723,0.28722187876701355,0.6922610998153687
VGGT,30,minfarthestpose,,,30.0,,,
VGGT,40,farthestpose,0.24928505718708038,0.006328662391752005,40.0,17.644712448120117,0.11200924217700958,0.7947654128074646
VGGT,40,minfarthestpose,,,27.5,,,
VGGT,50,farthestpose,,,34.0,,,
VGGT,60,farthestpose,,,41.0,,,
VGGT,70,farthestpose,,,47.5,,,
VGGT,80,farthestpose,,,76.0,,,
VGGT,87,farthestpose,0.11593722552061081,0.0031003891490399837,87.0,20.899389266967773,0.08484406024217606,0.8690087795257568
VGGT,87,minfarthestpose,,,84.0,,,
