method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss,error_opa,depth_lambda,depth_conf,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,real_num_points,file_path,rre,rte,plot_series,num_images_jitter
colmap,40,42,,2130,,farthestpose,40,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,13.717443466186523,0.6693093180656433,0.20952056348323822,1000000,0.007963000796735287,0.887999951839447,2130,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s42_default_farthestpose_i40_gteval_poseopt_steps15000/stats/val_step14999.json,0.6204,0.04371,colmap |  | Pose Opt,40.0
colmap,40,43,,1912,,farthestpose,40,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,13.724109649658203,0.6658753156661987,0.22277893126010895,1000000,0.011543000116944313,0.7186000347137451,1912,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s43_default_farthestpose_i40_gteval_steps15000/stats/val_step14999.json,0.7186,0.037769,colmap |  | ,40.0
colmap,40,43,,1912,,farthestpose,40,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,13.845949172973633,0.6689655780792236,0.22602729499340057,1000000,0.008961999788880348,1.0739001035690308,1912,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s43_default_farthestpose_i40_gteval_poseopt_steps15000/stats/val_step14999.json,0.7186,0.037769,colmap |  | Pose Opt,40.0
colmap,40,44,,2183,,farthestpose,40,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,13.793793678283691,0.6871212124824524,0.2364737093448639,1000000,0.009813000448048115,0.7027999758720398,2183,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s44_default_farthestpose_i40_gteval_steps15000/stats/val_step14999.json,0.7028,0.031865,colmap |  | ,40.0
colmap,40,44,,2183,,farthestpose,40,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,13.454635620117188,0.6864660382270813,0.23512829840183258,1000000,0.008585999719798565,0.968299925327301,2183,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s44_default_farthestpose_i40_gteval_poseopt_steps15000/stats/val_step14999.json,0.7028,0.031865,colmap |  | Pose Opt,40.0
colmap,50,42,,3105,,farthestpose,50,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,15.879034996032715,0.6041828989982605,0.26500794291496277,1000000,0.007553999312222004,0.382999986410141,3105,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s42_default_farthestpose_i50_gteval_steps15000/stats/val_step14999.json,0.383,0.024467,colmap |  | ,50.0
colmap,50,42,,3105,,farthestpose,50,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,15.483935356140137,0.5973308682441711,0.25559866428375244,1000000,0.005520000588148832,0.529699981212616,3105,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s42_default_farthestpose_i50_gteval_poseopt_steps15000/stats/val_step14999.json,0.383,0.024467,colmap |  | Pose Opt,50.0
colmap,50,44,,3107,,farthestpose,50,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,15.908113479614258,0.6026934385299683,0.2665945887565613,1000000,0.00786499958485365,0.43730002641677856,3107,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s44_default_farthestpose_i50_gteval_steps15000/stats/val_step14999.json,0.4373,0.025516,colmap |  | ,50.0
colmap,50,44,,3107,,farthestpose,50,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,15.763622283935547,0.6069671511650085,0.26395365595817566,1000000,0.0061149997636675835,0.5702000260353088,3107,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s44_default_farthestpose_i50_gteval_poseopt_steps15000/stats/val_step14999.json,0.4373,0.025516,colmap |  | Pose Opt,50.0
colmap,60,42,,4146,,farthestpose,60,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,16.046512603759766,0.5614190697669983,0.2658894956111908,1000000,0.007407000288367271,0.2329999804496765,4146,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n60_s42_default_farthestpose_i60_gteval_steps15000/stats/val_step14999.json,0.233,0.02279,colmap |  | ,60.0
