method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss,error_opa,depth_lambda,depth_conf,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,real_num_points,file_path,rre,rte,plot_series,num_images_jitter
colmap,80,42,,7124.0,,farthestpose,80.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999.0,15000.0,default,MCMC,gsplat,17.195592880249023,0.4858524203300476,0.3001985251903534,1000000.0,0.005818000063300133,0.20440000295639038,7124.0,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n80_s42_default_farthestpose_i80_gteval_steps15000/stats/val_step14999.json,0.2044,0.018299,colmap | ,80.0
colmap,80,43,,,,farthestpose,,,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,,,default,MCMC,sfm,,,,,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n80_s43_default_farthestpose/eval_results.json,0.1376,0.0176,colmap | ,80.0
colmap,80,44,,,,farthestpose,,,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,,,default,MCMC,sfm,,,,,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n80_s44_default_farthestpose/eval_results.json,0.2714,0.021599,colmap | ,80.0
colmap,90,42,,13386.0,,farthestpose,90.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999.0,15000.0,default,MCMC,gsplat,20.26517105102539,0.3983192443847656,0.4295969307422638,1000000.0,0.004443000070750713,0.132999986410141,13386.0,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n90_s42_default_farthestpose_i90_gteval_steps15000/stats/val_step14999.json,0.133,0.018113,colmap | ,90.0
colmap,90,43,,,,farthestpose,,,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,,,default,MCMC,sfm,,,,,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n90_s43_default_farthestpose/eval_results.json,0.137,0.017387,colmap | ,90.0
colmap,90,44,,,,farthestpose,,,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,,,default,MCMC,sfm,,,,,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n90_s44_default_farthestpose/eval_results.json,0.1334,0.017752,colmap | ,90.0
colmap,100,42,,16627.0,,farthestpose,100.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999.0,15000.0,default,MCMC,gsplat,21.084463119506836,0.3635961413383484,0.49296194314956665,1000000.0,0.004348000045865774,0.10489999502897263,16627.0,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.1049,0.017545,colmap | ,100.0
colmap,100,43,,16447.0,,farthestpose,100.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999.0,15000.0,default,MCMC,gsplat,21.233394622802734,0.3732696771621704,0.4943369925022125,1000000.0,0.004261999856680632,0.09889999032020569,16447.0,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s43_default_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.0989,0.017192,colmap | ,100.0
colmap,100,44,,16589.0,,farthestpose,100.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999.0,15000.0,default,MCMC,gsplat,20.920557022094727,0.3674790859222412,0.4831123948097229,1000000.0,0.004349999595433474,0.10239998996257782,16589.0,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s44_default_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.1024,0.017495,colmap | ,100.0
vggt,10,42,0.0,11000.0,voxels,farthestpose,10.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,13.776254653930664,0.604614794254303,0.17614418268203735,1000000.0,0.030797002837061882,1.569100022315979,10431.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n10_s42_c0.0_p11000_voxels_farthestpose_i10_gteval_steps15000/stats/val_step14999.json,1.569,0.141985,vggt | voxels,10.0
vggt,10,43,0.0,11000.0,voxels,farthestpose,,,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,,,,MCMC,sfm,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n10_s43_c0.0_p11000_voxels_farthestpose/eval_results.json,1.5015,0.136115,vggt | voxels,10.0
vggt,10,44,0.0,11000.0,voxels,farthestpose,,,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,,,,MCMC,sfm,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n10_s44_c0.0_p11000_voxels_farthestpose/eval_results.json,1.4469,0.147162,vggt | voxels,10.0
vggt,20,42,0.0,22000.0,voxels,farthestpose,20.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,15.335905075073242,0.5429176688194275,0.21507953107357025,1000000.0,0.025717996060848236,1.3446000814437866,22628.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n20_s42_c0.0_p22000_voxels_farthestpose_i20_gteval_steps15000/stats/val_step14999.json,1.3446,0.119326,vggt | voxels,20.0
vggt,20,43,0.0,22000.0,voxels,farthestpose,,,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,,,,MCMC,sfm,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n20_s43_c0.0_p22000_voxels_farthestpose/eval_results.json,1.1844,0.095293,vggt | voxels,20.0
vggt,20,44,0.0,22000.0,voxels,farthestpose,,,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,,,,MCMC,sfm,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n20_s44_c0.0_p22000_voxels_farthestpose/eval_results.json,1.2005,0.097247,vggt | voxels,20.0
vggt,30,42,0.0,33000.0,voxels,farthestpose,30.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,15.923541069030762,0.5183902382850647,0.22487258911132812,1000000.0,0.019523000344634056,0.9797000288963318,33886.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n30_s42_c0.0_p33000_voxels_farthestpose_i30_gteval_steps15000/stats/val_step14999.json,0.9795,0.090795,vggt | voxels,30.0
vggt,30,43,0.0,33000.0,voxels,farthestpose,,,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,,,,MCMC,sfm,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n30_s43_c0.0_p33000_voxels_farthestpose/eval_results.json,0.999,0.094576,vggt | voxels,30.0
vggt,30,44,0.0,33000.0,voxels,farthestpose,,,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,,,,MCMC,sfm,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n30_s44_c0.0_p33000_voxels_farthestpose/eval_results.json,1.2305,0.102001,vggt | voxels,30.0
