choice,num_images,val_step,psnr,lpips,ssim
VGGT,10,7000,14.535531044006348,0.5644859075546265,0.4615851938724518
VGGT,10,15000,14.622958183288574,0.5443130135536194,0.44418221712112427
VGGT,10,30000,14.637279510498047,0.5465616583824158,0.44065311551094055
VGGT,10,,,,
VGGT,20,7000,16.383310317993164,0.4962613880634308,0.5311443209648132
VGGT,20,15000,16.04345703125,0.4767458140850067,0.49916598200798035
VGGT,20,30000,15.963120460510254,0.48231542110443115,0.4906468987464905
VGGT,20,,,,
VGGT,30,7000,16.53177261352539,0.5038682818412781,0.543559730052948
VGGT,30,15000,16.07735252380371,0.48086950182914734,0.5049464106559753
VGGT,30,30000,15.849701881408691,0.48869138956069946,0.49071359634399414
VGGT,30,,,,
VGGT,40,7000,16.816869735717773,0.49381178617477417,0.5574458241462708
VGGT,40,15000,16.40254783630371,0.4658665657043457,0.5224699378013611
VGGT,40,30000,16.20106315612793,0.4708758294582367,0.5082848072052002
VGGT,40,,,,
VGGT,50,7000,16.94482421875,0.4972819983959198,0.5651388764381409
VGGT,50,15000,16.646717071533203,0.4598025977611542,0.531779408454895
VGGT,50,30000,16.412574768066406,0.46380555629730225,0.5159528255462646
VGGT,50,,,,
VGGT,60,7000,17.01957130432129,0.49597400426864624,0.5711988806724548
VGGT,60,15000,16.7344970703125,0.45484286546707153,0.541236400604248
VGGT,60,30000,16.54922103881836,0.4550133943557739,0.5268348455429077
VGGT,60,,,,
VGGT,70,7000,17.250158309936523,0.49668875336647034,0.5781480073928833
VGGT,70,15000,16.966371536254883,0.45003819465637207,0.5483199954032898
VGGT,70,30000,16.780717849731445,0.4477904736995697,0.5338778495788574
VGGT,70,,,,
VGGT,80,7000,17.524011611938477,0.4923912286758423,0.5863444209098816
VGGT,80,15000,17.298561096191406,0.43819475173950195,0.561548113822937
VGGT,80,30000,17.136837005615234,0.4328007102012634,0.5483163595199585
VGGT,80,,,,
VGGT,90,7000,17.605390548706055,0.5004686117172241,0.5904421806335449
VGGT,90,15000,17.394853591918945,0.44085457921028137,0.5671625137329102
VGGT,90,30000,17.235626220703125,0.43230339884757996,0.5536694526672363
VGGT,90,,,,
VGGT,100,7000,17.732257843017578,0.4946395456790924,0.5937147736549377
VGGT,100,15000,17.55377769470215,0.43354201316833496,0.5734871625900269
VGGT,100,30000,17.424726486206055,0.421805739402771,0.5610955953598022
VGGT,100,,,,
