choice,dataset,random_init,use_ba,eval_rre,eval_rte,quality
COLMAP,bicycle,Random Init,,0.09855562448501587,0.0017129764892160892,0.2516425151651443
VGGT,bicycle,Random Init,Use BA,0.5899049639701843,0.008761337026953697,0.06571426857904317
VGGT,bicycle,Random Init,,0.716057538986206,0.015081527642905712,0.05796051590840804
COLMAP,garden,Random Init,,0.06278770416975021,0.0006200820789672434,0.3696505804972806
VGGT,garden,Random Init,Use BA,0.32922714948654175,0.0032176030799746513,0.17458306708995833
VGGT,garden,Random Init,,0.373338520526886,0.005971261765807867,0.14216859964986686
COLMAP,stump,Random Init,,0.02191883511841297,0.0005273927235975862,0.5037020743861454
VGGT,stump,Random Init,Use BA,0.6949854493141174,0.010673359967768192,0.16824983295641455
VGGT,stump,Random Init,,0.855804443359375,0.04037195071578026,0.14338850982782514
