choice,depth_loss_mode,rre,rte,psnr,lpips,ssim,quality
COLMAP,,10.4269,0.396164,25.237646102905273,0.05288347229361534,0.9056525826454163,0.8707738399186097
COLMAP,points,10.4269,0.396164,25.142532348632812,0.056012604385614395,0.9011270999908447,0.864434429994452
VGGT,,0.3347,0.019021,20.279659271240234,0.07529760897159576,0.7724337577819824,0.6872176365894185
VGGT,closer,0.3347,0.019021,20.273447036743164,0.07833631336688995,0.773818850517273,0.6860368475075895
VGGT,full,0.3347,0.019021,21.83794593811035,0.06964277476072311,0.8098139762878418,0.7414252123927976
VGGT,points,0.3347,0.019021,21.714982986450195,0.06643830984830856,0.8063398599624634,0.7390945384822315
