choice,dataset,num_points,sampling_mode,psnr,lpips,ssim,quality,avge
COLMAP,lego,10069,,33.13930130004883,0.033728212118148804,0.979638934135437,1.0721918949064608,0.05896859514646655
VGGT,lego,870,confidence,31.848735809326172,0.04916917905211449,0.9691230058670044,1.032611407242749,0.0751803359927136
VGGT,lego,870,imagefps,31.568538665771484,0.052308376878499985,0.9673473238945007,1.0244463843047193,0.07790191759751662
VGGT,lego,870,random,31.891454696655273,0.04857086017727852,0.9696176648139954,1.0340611046256378,0.07450769303900537
VGGT,lego,870,voxels,31.82427215576172,0.050039615482091904,0.9685857892036438,1.0313069083914885,0.07597905723732054
VGGT,lego,4350,confidence,32.95027542114258,0.03549760952591896,0.9784616231918335,1.066910709113444,0.06092138551793614
VGGT,lego,4350,imagefps,32.98505401611328,0.03705174848437309,0.9785605072975159,1.0666532390947616,0.06132565764587475
VGGT,lego,4350,random,32.95500564575195,0.03507247939705849,0.9786287546157837,1.0673584695457636,0.060589320060475044
VGGT,lego,4350,voxels,32.92671585083008,0.035861704498529434,0.9783462882041931,1.0661822234300375,0.06117447434119587
VGGT,lego,8700,confidence,33.116058349609375,0.03349922224879265,0.9797607064247131,1.071974033534604,0.05875068820397942
VGGT,lego,8700,imagefps,33.112789154052734,0.03449389338493347,0.9796452522277832,1.0712319812734379,0.059217432719647384
VGGT,lego,8700,random,33.12849426269531,0.03347594663500786,0.979841411113739,1.0722658916087875,0.05864782267192982
VGGT,lego,8700,voxels,33.17536544799805,0.033319223672151566,0.980102002620697,1.073383011785593,0.05828694597900642
VGGT,lego,27774,ba,33.29441452026367,0.032145991921424866,0.9806444048881531,1.0766290356734884,0.05724623873297536
VGGT,lego,43500,confidence,33.26716995239258,0.031915076076984406,0.9807745218276978,1.0763431390610663,0.05701411032452851
VGGT,lego,43500,imagefps,33.308807373046875,0.03222883492708206,0.9806724190711975,1.0768608148896592,0.05723976428861236
VGGT,lego,43500,random,33.27335739135742,0.032117944210767746,0.980728030204773,1.0763053059374612,0.05713735930156089
VGGT,lego,43500,voxels,33.25270080566406,0.03216036409139633,0.9806255102157593,1.0758366382513205,0.05727516583548374
VGGT,lego,87000,confidence,33.303985595703125,0.03174300119280815,0.9808568358421326,1.0771792661483368,0.05685637706906866
VGGT,lego,87000,imagefps,33.29658889770508,0.03176582604646683,0.9804548621177673,1.0767931284902155,0.05734595175668539
VGGT,lego,87000,random,33.30177307128906,0.031975213438272476,0.9807279109954834,1.0769195579345774,0.05708890244596826
