choice,num_images,rre,rte,psnr,lpips,ssim,num_GS
COLMAP,30,75.8732,2.952918,11.432000160217285,0.5109090209007263,0.5735761523246765,1000000
VGGT,30,2.2345,0.136023,14.072977066040039,0.3293474018573761,0.6147036552429199,1000000
