choice,dataset,num_points,sampling_mode,pcd_src,eval_rre,eval_rte,psnr,lpips,ssim,quality
COLMAP,bicycle,1000,confidence,Both Pcds,0.10746901482343674,0.0025237789377570152,22.28526496887207,0.3328595757484436,0.5697954297065735,0.4468676682181603
COLMAP,bicycle,5000,confidence,Both Pcds,0.10823880136013031,0.0024945680052042007,22.217044830322266,0.3153914213180542,0.5676057934761047,0.45510665467220757
COLMAP,bicycle,10000,confidence,Both Pcds,0.10681691765785217,0.0024781825486570597,22.29121971130371,0.30420100688934326,0.5730538964271545,0.4665739519244436
COLMAP,bicycle,50000,confidence,Both Pcds,0.10339613258838654,0.0023474276531487703,22.225372314453125,0.26828786730766296,0.5713846683502197,0.48654700359638214
COLMAP,bicycle,100000,confidence,Both Pcds,0.10074357688426971,0.002315578516572714,22.227602005004883,0.25709494948387146,0.5663310885429382,0.4905421928665404
COLMAP,bicycle,250000,confidence,Both Pcds,0.09919433295726776,0.0023070694878697395,22.058500289916992,0.252429336309433,0.555836021900177,0.4841532218835817
COLMAP,garden,1000,confidence,Both Pcds,0.05253727361559868,0.0005795254255644977,22.03058624267578,0.264110267162323,0.5025511384010315,0.4452650933547636
COLMAP,garden,5000,confidence,Both Pcds,0.0508294552564621,0.0005764917586930096,22.05976104736328,0.2612186372280121,0.5075125694274902,0.45049174591811775
COLMAP,garden,10000,confidence,Both Pcds,0.04980792477726936,0.0005775844911113381,22.08565330505371,0.25840234756469727,0.5096625089645386,0.453966957164167
COLMAP,garden,50000,confidence,Both Pcds,0.05083589628338814,0.0005766122485511005,22.067180633544922,0.2504947781562805,0.5082681179046631,0.45769065297060463
COLMAP,garden,100000,confidence,Both Pcds,0.049484290182590485,0.0005706340889446437,22.1619930267334,0.24636688828468323,0.5178869962692261,0.467619593264299
COLMAP,garden,250000,confidence,Both Pcds,0.05381853133440018,0.0005800013896077871,21.926177978515625,0.24401430785655975,0.5005941390991211,0.4545920760969282
COLMAP,stump,1000,confidence,Both Pcds,0.031866077333688736,0.0010930408025160432,25.007598876953125,0.3279426097869873,0.7005523443222046,0.5767824552212542
COLMAP,stump,5000,confidence,Both Pcds,0.030145378783345222,0.0010087259579449892,25.309988021850586,0.3150480389595032,0.7135341167449951,0.5979335456021502
COLMAP,stump,10000,confidence,Both Pcds,0.030642183497548103,0.0009942319011315703,25.58319091796875,0.3045938313007355,0.7238709926605225,0.615491029773152
COLMAP,stump,50000,confidence,Both Pcds,0.025376884266734123,0.0009311020257882774,25.882648468017578,0.27551963925361633,0.7398881912231445,0.6483503548722518
COLMAP,stump,100000,confidence,Both Pcds,0.02749263122677803,0.0009110494866035879,25.997045516967773,0.26498061418533325,0.7452086806297302,0.660085787085297
COLMAP,stump,250000,confidence,Both Pcds,0.025331610813736916,0.0009155925363302231,26.014358520507812,0.25944945216178894,0.7429721355438232,0.6625127747044927
