method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_images_jitter
vggt,25,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,bicycle,,,,,,MCMC,,,,,,,,,,,sfm,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n25_s42_c0.0_p100000_random_farthestpose/eval_results.json,,bicycle_4_n25_s42_c0.0_p100000_random_farthestpose,0.9039,0.090655,25,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n25_s42_c0.0_p100000_random_farthestpose/eval_results.json,bicycle_4_n25_s42_c0.0_p100000_random_farthestpose,,,vggt | 100000,25.0
vggt,25,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,lego,,,,,,MCMC,,,,,,,,,,,sfm,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n25_s42_c0.0_p100000_random_farthestpose/eval_results.json,,lego_1_n25_s42_c0.0_p100000_random_farthestpose,2.0902,0.125194,25,0.0679,0.0194,0.1009,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n25_s42_c0.0_p100000_random_farthestpose/eval_results.json,lego_1_n25_s42_c0.0_p100000_random_farthestpose,,,vggt | 100000,25.0
vggt,50,42,0.0,100000,random,,,,0,10,farthestpose,50,GT Eval,,,,,,,,,0.0,,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,16.56155014038086,0.45917990803718567,0.528039813041687,1000000,0.022979047149419785,0.8634902238845825,,,0.23847894613583265,0.3894152204987498,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n50_s42_c0.0_p100000_random_farthestpose_i50_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n50_s42_c0.0_p100000_random_farthestpose_i50_gteval_steps15000/stats/val_step14999.json,bonsai_2_n50_s42_c0.0_p100000_random_farthestpose_i50_gteval_steps15000,0.8635,0.099994,50,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n50_s42_c0.0_p100000_random_farthestpose/eval_results.json,bonsai_2_n50_s42_c0.0_p100000_random_farthestpose,bonsai_2_n50_s42_c0.0_p100000_random_farthestpose_i50_gteval_steps15000_val_step14999.json,100000,vggt | 100000,50.0
vggt,50,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,bicycle,,,,,,MCMC,,,,,,,,,,,sfm,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n50_s42_c0.0_p100000_random_farthestpose/eval_results.json,,bicycle_4_n50_s42_c0.0_p100000_random_farthestpose,0.8722,0.087304,50,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n50_s42_c0.0_p100000_random_farthestpose/eval_results.json,bicycle_4_n50_s42_c0.0_p100000_random_farthestpose,,,vggt | 100000,50.0
vggt,50,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,lego,,,,,,MCMC,,,,,,,,,,,sfm,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n50_s42_c0.0_p100000_random_farthestpose/eval_results.json,,lego_1_n50_s42_c0.0_p100000_random_farthestpose,0.901,0.041792,50,0.0485,0.0135,0.0946,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n50_s42_c0.0_p100000_random_farthestpose/eval_results.json,lego_1_n50_s42_c0.0_p100000_random_farthestpose,,,vggt | 100000,50.0
vggt,75,42,0.0,100000,random,,,,0,10,farthestpose,75,GT Eval,,,,,,,,,0.0,,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,17.070791244506836,0.44415944814682007,0.5509544014930725,1000000,0.025345774367451668,0.8830412030220032,,,0.2705815698978109,0.3779660403242451,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n75_s42_c0.0_p100000_random_farthestpose_i75_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n75_s42_c0.0_p100000_random_farthestpose_i75_gteval_steps15000/stats/val_step14999.json,bonsai_2_n75_s42_c0.0_p100000_random_farthestpose_i75_gteval_steps15000,0.8831,0.110619,75,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n75_s42_c0.0_p100000_random_farthestpose/eval_results.json,bonsai_2_n75_s42_c0.0_p100000_random_farthestpose,bonsai_2_n75_s42_c0.0_p100000_random_farthestpose_i75_gteval_steps15000_val_step14999.json,100000,vggt | 100000,75.0
vggt,75,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,bicycle,,,,,,MCMC,,,,,,,,,,,sfm,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n75_s42_c0.0_p100000_random_farthestpose/eval_results.json,,bicycle_4_n75_s42_c0.0_p100000_random_farthestpose,0.6268,0.074345,75,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n75_s42_c0.0_p100000_random_farthestpose/eval_results.json,bicycle_4_n75_s42_c0.0_p100000_random_farthestpose,,,vggt | 100000,75.0
vggt,75,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,lego,,,,,,MCMC,,,,,,,,,,,sfm,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n75_s42_c0.0_p100000_random_farthestpose/eval_results.json,,lego_1_n75_s42_c0.0_p100000_random_farthestpose,0.3556,0.019225,75,0.0435,0.0122,0.1077,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n75_s42_c0.0_p100000_random_farthestpose/eval_results.json,lego_1_n75_s42_c0.0_p100000_random_farthestpose,,,vggt | 100000,75.0
vggt,87,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,lego,,,,,,MCMC,,,,,,,,,,,sfm,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p100000_random_farthestpose/eval_results.json,,lego_1_n87_s42_c0.0_p100000_random_farthestpose,0.2976,0.018838,87,0.0478,0.0135,0.118,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p100000_random_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p100000_random_farthestpose,,,vggt | 100000,87.0
vggt,100,42,0.0,100000,random,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,17.17383575439453,0.44064733386039734,0.25722789764404297,1000000,0.015425998717546463,0.8569999933242798,,,0.10288788805231015,0.44055311836517685,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_steps15000,0.7161,0.065623,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_farthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p100000_random_farthestpose,bicycle_4_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_steps15000_val_step14999.json,100000,vggt | 100000,100.0
vggt,100,42,0.0,100000,random,,,,0,10,farthestpose,100,GT Eval,,,,,,,,,0.0,,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,17.731338500976562,0.4183982312679291,0.5749688744544983,1000000,0.024335382506251335,0.7215033769607544,,,0.31275946366624285,0.3624008922107585,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_steps15000,0.7897,0.107121,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_random_farthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose,bonsai_2_n100_s42_c0.0_p100000_random_farthestpose_i100_gteval_steps15000_val_step14999.json,100000,vggt | 100000,100.0
