choice,val_step,sampling_mode,psnr,lpips,ssim,quality
COLMAP,1,ba,10.383096694946289,0.7863146662712097,0.09243480116128922,-0.33261166738565273
COLMAP,1,confidence,10.828900337219238,0.7605190873146057,0.09413599967956543,-0.307437994559141
COLMAP,1,imagefps,11.924811363220215,0.8028779625892639,0.16157595813274384,-0.27385222760789796
COLMAP,1,random,11.242109298706055,0.7605131268501282,0.12376133352518082,-0.28245754081990665
COLMAP,1,voxels,10.745649337768555,0.7912319302558899,0.10004729777574539,-0.3244813252881875
COLMAP,1,,10.223444938659668,0.7998106479644775,0.0856042429804802,-0.3478935127563488
COLMAP,3000,ba,21.00501823425293,0.6252427101135254,0.46282586455345154,0.18012067782096547
COLMAP,3000,confidence,21.245704650878906,0.5816536545753479,0.4798872768878937,0.22146209220440072
COLMAP,3000,imagefps,20.975109100341797,0.5956775546073914,0.46592891216278076,0.199631548686954
COLMAP,3000,random,21.11082649230957,0.5767345428466797,0.4759998917579651,0.21972751261120582
COLMAP,3000,voxels,21.0366153717041,0.5958195328712463,0.47159039974212646,0.2039937242584774
COLMAP,3000,,20.928993225097656,0.6548857688903809,0.4504952132701874,0.15320371566769989
COLMAP,7000,ba,22.10528564453125,0.41912662982940674,0.5549511313438416,0.3816025735806768
COLMAP,7000,confidence,22.523855209350586,0.3822084367275238,0.5867996215820312,0.4307677179981626
COLMAP,7000,imagefps,22.104095458984375,0.38174450397491455,0.5605643391609192,0.4079384971083256
COLMAP,7000,random,22.424076080322266,0.3750430941581726,0.573304295539856,0.42545100378478945
COLMAP,7000,voxels,22.42168426513672,0.3842753469944,0.5697723031044006,0.4176422967548259
COLMAP,7000,,21.886348724365234,0.4555995762348175,0.5287488698959351,0.3397110618113542
COLMAP,10000,ba,22.933847427368164,0.3020494878292084,0.6084082126617432,0.5004776021038424
COLMAP,10000,confidence,22.971704483032227,0.28427740931510925,0.6306714415550232,0.525168509627411
COLMAP,10000,imagefps,22.375213623046875,0.28673842549324036,0.5814713835716248,0.4838312730686939
COLMAP,10000,random,22.54567527770996,0.28318682312965393,0.5934381484985352,0.49617842565967785
COLMAP,10000,voxels,22.659975051879883,0.2881333529949188,0.6016413569450378,0.5000388725691604
COLMAP,10000,,22.38627815246582,0.3160869777202606,0.564391016960144,0.45593126301179854
COLMAP,15000,ba,22.97422981262207,0.23888172209262848,0.6252395510673523,0.5500607599950286
COLMAP,15000,confidence,22.970609664916992,0.2297152429819107,0.6339183449745178,0.5607273587357928
COLMAP,15000,imagefps,22.626190185546875,0.23248149454593658,0.6035449504852295,0.5348794385355118
COLMAP,15000,random,22.715248107910156,0.2290300875902176,0.6139585971832275,0.5447490093110054
COLMAP,15000,voxels,22.631454467773438,0.23457299172878265,0.6075344085693359,0.536018894023133
COLMAP,15000,,22.37678337097168,0.2370406836271286,0.5704647898674011,0.5081013564051863
COLMAP,20000,ba,22.93885612487793,0.2227921187877655,0.6253618001937866,0.5594090363125741
COLMAP,20000,confidence,22.945547103881836,0.21468578279018402,0.6319445371627808,0.5683864082238208
COLMAP,20000,imagefps,22.589487075805664,0.21733231842517853,0.6021910905838013,0.5427593636659929
COLMAP,20000,random,22.717802047729492,0.21401140093803406,0.6114395260810852,0.552593957727183
COLMAP,20000,voxels,22.711822509765625,0.2195066660642624,0.610144853591919,0.5483339681611423
COLMAP,20000,,22.0729923248291,0.21764513850212097,0.5540239214897156,0.5048336120996482
COLMAP,25000,ba,22.886884689331055,0.2162753790616989,0.6235660314559937,0.5614191240076123
COLMAP,25000,confidence,22.92062759399414,0.2088748812675476,0.6300526857376099,0.570405566204361
COLMAP,25000,imagefps,22.535146713256836,0.21183907985687256,0.6006821990013123,0.5442615559226588
COLMAP,25000,random,22.711254119873047,0.20801608264446259,0.6119599342346191,0.556477845818908
COLMAP,25000,voxels,22.661970138549805,0.2134007215499878,0.6085318922996521,0.5502366254359115
COLMAP,25000,,22.082332611083984,0.20899969339370728,0.5533932447433472,0.5099744580642522
COLMAP,30000,ba,22.866498947143555,0.213014617562294,0.6220229864120483,0.5621520604809978
COLMAP,30000,confidence,22.877704620361328,0.20598529279232025,0.628488302230835,0.5704795487559098
COLMAP,30000,imagefps,22.48805046081543,0.20921021699905396,0.5994447469711304,0.5442885017921739
COLMAP,30000,random,22.671228408813477,0.2053968608379364,0.6101080775260925,0.5562704753922207
COLMAP,30000,voxels,22.64423942565918,0.209921196103096,0.6067538857460022,0.5510163642006156
COLMAP,30000,,22.06641387939453,0.20389731228351593,0.5531122088432312,0.5126649362263236
