choice,dataset,num_points,sampling_mode,pcd_src,eval_rre,eval_rte,psnr,lpips,ssim,quality
COLMAP,bonsai,1000,confidence,Both Pcds,0.07719441503286362,0.0010520603973418474,25.590709686279297,0.14327412843704224,0.7969069480895996,0.7579214147656981
COLMAP,bonsai,5000,confidence,Both Pcds,0.07930776476860046,0.0010373002151027322,25.433433532714844,0.14220461249351501,0.7910679578781128,0.7522544742714978
COLMAP,bonsai,10000,confidence,Both Pcds,0.07772573828697205,0.0010402355110272765,25.5356388092041,0.14025059342384338,0.7952836155891418,0.7578186460947973
COLMAP,bonsai,50000,confidence,Both Pcds,0.07824072241783142,0.0010366067290306091,25.481138229370117,0.13615377247333527,0.7916592955589294,0.7572187925213881
COLMAP,bonsai,100000,confidence,Both Pcds,0.0797601193189621,0.0010190802859142423,25.39617156982422,0.13465535640716553,0.788544774055481,0.7547489264477686
COLMAP,bonsai,250000,confidence,Both Pcds,0.07945988327264786,0.0010383410844951868,25.378259658813477,0.13365179300308228,0.7886423468589783,0.7550937680937857
COLMAP,kitchen,1000,confidence,Both Pcds,0.08685855567455292,0.0008738467586226761,22.101835250854492,0.12965576350688934,0.5264455676078796,0.5435544770402208
COLMAP,kitchen,5000,confidence,Both Pcds,0.09195008128881454,0.0009513163822703063,22.232921600341797,0.12855763733386993,0.5350537896156311,0.5516939056508334
COLMAP,kitchen,10000,confidence,Both Pcds,0.08364410698413849,0.0008686831570230424,22.23274040222168,0.12796172499656677,0.5375469923019409,0.5535164105187305
COLMAP,kitchen,50000,confidence,Both Pcds,0.08261232078075409,0.0009683729731477797,22.535846710205078,0.12644238770008087,0.5568169951438904,0.5713363603348078
COLMAP,kitchen,100000,confidence,Both Pcds,0.07397471368312836,0.0008649858646094799,22.612037658691406,0.12492873519659042,0.5724918842315674,0.5828482590281707
COLMAP,kitchen,250000,confidence,Both Pcds,0.06649540364742279,0.0008529573678970337,22.97644805908203,0.12476751953363419,0.6011247634887695,0.6064404894520974
COLMAP,counter,1000,confidence,Both Pcds,0.020536161959171295,0.00020833805319853127,27.54906463623047,0.16397100687026978,0.883682906627655,0.832157570871151
COLMAP,counter,5000,confidence,Both Pcds,0.020668398588895798,0.0002123483136529103,27.764019012451172,0.15833143889904022,0.8908790946006775,0.8438277193251331
COLMAP,counter,10000,confidence,Both Pcds,0.01772363856434822,0.00018863979494199157,27.89374542236328,0.15644413232803345,0.8921743035316467,0.8481524964289823
COLMAP,counter,50000,confidence,Both Pcds,0.01643463224172592,0.00019789139332715422,27.875415802001953,0.15211042761802673,0.8926966786384583,0.8507936678976884
COLMAP,counter,100000,confidence,Both Pcds,0.0145331509411335,0.00020236543787177652,27.870466232299805,0.1494976133108139,0.8943262100219727,0.8532677998668269
COLMAP,counter,250000,confidence,Both Pcds,0.01854380965232849,0.00021554551494773477,27.783737182617188,0.14628799259662628,0.8904262185096741,0.8513622569178048
