choice,depth_loss_mode,depth_lambda,real_num_points,eval_rre,eval_rte,psnr,ssim,lpips,quality
COLMAP,,0.0,16763,0.1064949780702591,0.0024649810511618853,22.22454833984375,0.5545215606689453,0.3508310317993164,0.42571770765318195
COLMAP,,0.0,116763,0.09525962173938751,0.0022379732690751553,21.907724380493164,0.542457640171051,0.24226100742816925,0.4798142065894999
COLMAP,closer,0.1,116763,0.09236175566911697,0.002186515834182501,21.467432022094727,0.5259585380554199,0.251097172498703,0.45655762378545145
COLMAP,closer,1.0,116763,0.09412625432014465,0.002301866188645363,21.116893768310547,0.4754725396633148,0.24424098432064056,0.4247744138981321
COLMAP,full,0.1,116763,0.09169204533100128,0.0022765854373574257,21.3626708984375,0.5190195441246033,0.2559911906719208,0.44753871291701564
COLMAP,full,1.0,116763,0.13448213040828705,0.0036946344189345837,20.34109115600586,0.44306784868240356,0.2977587878704071,0.35842190596714973
COLMAP,points,0.1,16763,0.09415773302316666,0.0023569108452647924,22.320688247680664,0.5354774594306946,0.37321868538856506,0.4025416357552874
COLMAP,points,0.1,116763,0.09000160545110703,0.0022499433252960443,21.592041015625,0.5175758004188538,0.24970011413097382,0.4548253936958127
COLMAP,points,1.0,16763,0.0936790183186531,0.0021877363324165344,21.745277404785156,0.5059899687767029,0.39463111758232117,0.3614241820872024
COLMAP,points,1.0,116763,0.08920692652463913,0.002215220592916012,21.379194259643555,0.5197494626045227,0.28037506341934204,0.4332197806988543
VGGT,,0.0,100000,0.4889967441558838,0.013628819026052952,17.384122848510742,0.26788055896759033,0.337806761264801,0.17649355493945842
VGGT,closer,0.1,100000,0.48309627175331116,0.013208584859967232,17.522985458374023,0.26960763335227966,0.32962119579315186,0.1851278879644036
VGGT,closer,1.0,100000,0.5028144121170044,0.012776991352438927,17.499969482421875,0.26620882749557495,0.3285771608352661,0.18335852644674344
VGGT,full,0.1,100000,0.48265475034713745,0.012886361218988895,17.56557273864746,0.2720351219177246,0.33779218792915344,0.18229230295302729
VGGT,full,1.0,100000,0.4808228313922882,0.012593640014529228,18.11033821105957,0.2933022975921631,0.35131216049194336,0.1964718352051971
VGGT,points,0.1,100000,0.49359649419784546,0.013346880674362183,17.350006103515625,0.26532721519470215,0.34167400002479553,0.171981395452808
VGGT,points,1.0,100000,0.620261549949646,0.014116279780864716,17.405841827392578,0.26891157031059265,0.38280487060546875,0.149722078157912
