choice,dataset,pose_opt,eval_rre,eval_rte,psnr,lpips,ssim,quality
COLMAP,bicycle,,0.09855562448501587,0.0017129764892160892,21.33245086669922,0.36376556754112244,0.4795043170452118,0.3573433696410345
COLMAP,bicycle,Pose Opt,0.1106053814291954,0.002470657927915454,22.163246154785156,0.3494715690612793,0.5586552619934082,0.42783902572919363
VGGT,bicycle,,0.8569999933242798,0.015425998717546463,17.17383575439453,0.44064733386039734,0.25722789764404297,0.10288788805231015
VGGT,bicycle,Pose Opt,0.4889967441558838,0.013628819026052952,17.384122848510742,0.337806761264801,0.26788055896759033,0.17649355493945842
COLMAP,garden,,0.06278770416975021,0.0006200820789672434,21.593313217163086,0.27146899700164795,0.4668513238430023,0.41174793437055524
COLMAP,garden,Pose Opt,0.04868227615952492,0.0005747699178755283,22.12991714477539,0.2636813521385193,0.5120896697044373,0.45294740534665295
VGGT,garden,,0.3733385503292084,0.005971261765807867,18.581771850585938,0.4816316068172455,0.357485294342041,0.16229190134707794
VGGT,garden,Pose Opt,0.13491961359977722,0.004315244033932686,19.350812911987305,0.33780568838119507,0.3663502633571625,0.2704990260240085
COLMAP,stump,,0.02191883511841297,0.0005273927235975862,25.253517150878906,0.34493592381477356,0.7209020853042603,0.5827472306366783
COLMAP,stump,Pose Opt,0.03414143621921539,0.001068504061549902,24.832897186279297,0.3404231071472168,0.6964612603187561,0.563450781225461
VGGT,stump,,0.8558043837547302,0.04037195071578026,18.643842697143555,0.5296376943588257,0.4123508930206299,0.16589311952324493
VGGT,stump,Pose Opt,0.7774907946586609,0.03541010245680809,18.294498443603516,0.4924980700016022,0.39796870946884155,0.17393884188637787
