choice,sampling_mode,use_ba,camera_type,rre,rte,num_aligned,quality
COLMAP,,,,0.1069,0.008457,100,0.44320724481417806
VGGT,random,Use BA,pinhole,0.8705,0.046584,100,0.12912330312183573
VGGT,random,Use BA,radial,0.7917,0.048267,100,0.13826466811175778
VGGT,random,,,0.857,0.067143,100,0.16499779532682285
VGGT,,,pinhole,0.0962,0.007443,100,
