method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,run_mvs,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,depth_conf_shifted,loss_multiplier,pose_loss_multiplier,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,series_label_override,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,alignment_scale,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,inference_time,peak_memory_mb,peak_memory_reserved_mb,processing_time,sfm_file_path,input_folder,output_folder,initial_points,failed_sfm_file_path,plot_series,num_images_jitter
colmap,20,42,,,,,,,0,10,minfarthestpose,,,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bicycle,,,,,default,MCMC,,,,,Shared Cam,,,,,,failed_sfm,,outdoor,,,,,,,,,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n20_s42_default_minfarthestpose_sharedcam/failed_eval.json,,bicycle_4_n20_s42_default_minfarthestpose_sharedcam,,,,,,,,,,,,,bicycle_4_n20_s42_default_minfarthestpose_sharedcam,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n20_s42_default_minfarthestpose_sharedcam/failed_eval.json,colmap,20.0
vggt,20,42,0.0,100000,random,,,,0,10,minfarthestpose,20,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,outdoor,16.030118942260742,0.4482399523258209,0.1950506567955017,1000000,0.021553462371230125,1.0604829788208008,,,0.04066018600445279,0.45679163609067436,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n20_s42_c0.0_p100000_random_minfarthestpose_i20_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n20_s42_c0.0_p100000_random_minfarthestpose_i20_gteval_steps15000/stats/val_step14999.json,bicycle_4_n20_s42_c0.0_p100000_random_minfarthestpose_i20_gteval_steps15000,1.0605,0.087384,20,4.994108,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n20_s42_c0.0_p100000_random_minfarthestpose/eval_results.json,bicycle_4_n20_s42_c0.0_p100000_random_minfarthestpose,bicycle_4_n20_s42_c0.0_p100000_random_minfarthestpose_i20_gteval_steps15000_val_step14999.json,100000,,vggt,20.0
vggt,30,42,0.0,100000,random,,,,0,10,minfarthestpose,30,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,outdoor,16.636945724487305,0.41680651903152466,0.2121407836675644,1000000,0.016514483839273453,0.7505165338516235,,,0.08129529913498879,0.44203771672728653,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n30_s42_c0.0_p100000_random_minfarthestpose_i30_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n30_s42_c0.0_p100000_random_minfarthestpose_i30_gteval_steps15000/stats/val_step14999.json,bicycle_4_n30_s42_c0.0_p100000_random_minfarthestpose_i30_gteval_steps15000,0.7506,0.068725,30,4.831484,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n30_s42_c0.0_p100000_random_minfarthestpose/eval_results.json,bicycle_4_n30_s42_c0.0_p100000_random_minfarthestpose,bicycle_4_n30_s42_c0.0_p100000_random_minfarthestpose_i30_gteval_steps15000_val_step14999.json,100000,,vggt,30.0
vggt,40,42,0.0,100000,random,,,,0,10,minfarthestpose,40,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,outdoor,16.837194442749023,0.40848785638809204,0.2244861125946045,1000000,0.01769711822271347,0.706636905670166,,,0.09735807627342681,0.43661177017663394,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n40_s42_c0.0_p100000_random_minfarthestpose_i40_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n40_s42_c0.0_p100000_random_minfarthestpose_i40_gteval_steps15000/stats/val_step14999.json,bicycle_4_n40_s42_c0.0_p100000_random_minfarthestpose_i40_gteval_steps15000,0.7065,0.072581,40,4.875992,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n40_s42_c0.0_p100000_random_minfarthestpose/eval_results.json,bicycle_4_n40_s42_c0.0_p100000_random_minfarthestpose,bicycle_4_n40_s42_c0.0_p100000_random_minfarthestpose_i40_gteval_steps15000_val_step14999.json,100000,,vggt,40.0
vggt,50,42,0.0,100000,random,,,,0,10,minfarthestpose,50,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,outdoor,17.12584686279297,0.41138193011283875,0.23516662418842316,1000000,0.017646068707108498,0.8230519890785217,,,0.10716293940999591,0.4351040676167721,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s42_c0.0_p100000_random_minfarthestpose_i50_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s42_c0.0_p100000_random_minfarthestpose_i50_gteval_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_c0.0_p100000_random_minfarthestpose_i50_gteval_steps15000,0.8231,0.071475,50,4.844657,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n50_s42_c0.0_p100000_random_minfarthestpose/eval_results.json,bicycle_4_n50_s42_c0.0_p100000_random_minfarthestpose,bicycle_4_n50_s42_c0.0_p100000_random_minfarthestpose_i50_gteval_steps15000_val_step14999.json,100000,,vggt,50.0
vggt,60,42,0.0,100000,random,,,,0,10,minfarthestpose,60,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,outdoor,17.196531295776367,0.40759557485580444,0.2425255924463272,1000000,0.01598297990858555,0.7341469526290894,,,0.11511265693197321,0.4323318212266714,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n60_s42_c0.0_p100000_random_minfarthestpose_i60_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n60_s42_c0.0_p100000_random_minfarthestpose_i60_gteval_steps15000/stats/val_step14999.json,bicycle_4_n60_s42_c0.0_p100000_random_minfarthestpose_i60_gteval_steps15000,0.7342,0.065719,60,4.937964,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n60_s42_c0.0_p100000_random_minfarthestpose/eval_results.json,bicycle_4_n60_s42_c0.0_p100000_random_minfarthestpose,bicycle_4_n60_s42_c0.0_p100000_random_minfarthestpose_i60_gteval_steps15000_val_step14999.json,100000,,vggt,60.0
vggt,70,42,0.0,100000,random,,,,0,10,minfarthestpose,70,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,outdoor,17.303333282470703,0.4162306487560272,0.24821975827217102,1000000,0.01512779202312231,0.876844584941864,,,0.11509010050496633,0.4339632838001787,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n70_s42_c0.0_p100000_random_minfarthestpose_i70_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n70_s42_c0.0_p100000_random_minfarthestpose_i70_gteval_steps15000/stats/val_step14999.json,bicycle_4_n70_s42_c0.0_p100000_random_minfarthestpose_i70_gteval_steps15000,0.8769,0.061125,70,4.877382,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n70_s42_c0.0_p100000_random_minfarthestpose/eval_results.json,bicycle_4_n70_s42_c0.0_p100000_random_minfarthestpose,bicycle_4_n70_s42_c0.0_p100000_random_minfarthestpose_i70_gteval_steps15000_val_step14999.json,100000,,vggt,70.0
vggt,80,42,0.0,100000,random,,,,0,10,minfarthestpose,80,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,outdoor,16.890607833862305,0.43058598041534424,0.24954284727573395,1000000,0.015153047628700733,0.9233492612838745,,,0.09935945706215676,0.4391122878754845,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n80_s42_c0.0_p100000_random_minfarthestpose_i80_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n80_s42_c0.0_p100000_random_minfarthestpose_i80_gteval_steps15000/stats/val_step14999.json,bicycle_4_n80_s42_c0.0_p100000_random_minfarthestpose_i80_gteval_steps15000,0.9233,0.065463,80,5.217082,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n80_s42_c0.0_p100000_random_minfarthestpose/eval_results.json,bicycle_4_n80_s42_c0.0_p100000_random_minfarthestpose,bicycle_4_n80_s42_c0.0_p100000_random_minfarthestpose_i80_gteval_steps15000_val_step14999.json,100000,,vggt,80.0
vggt,90,42,0.0,100000,random,,,,0,10,minfarthestpose,90,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,outdoor,17.289386749267578,0.4206547141075134,0.2599956691265106,1000000,0.015102081932127476,0.7367262840270996,,,0.11898742440925783,0.43318539687181074,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n90_s42_c0.0_p100000_random_minfarthestpose_i90_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n90_s42_c0.0_p100000_random_minfarthestpose_i90_gteval_steps15000/stats/val_step14999.json,bicycle_4_n90_s42_c0.0_p100000_random_minfarthestpose_i90_gteval_steps15000,0.7367,0.06455,90,5.282349,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n90_s42_c0.0_p100000_random_minfarthestpose/eval_results.json,bicycle_4_n90_s42_c0.0_p100000_random_minfarthestpose,bicycle_4_n90_s42_c0.0_p100000_random_minfarthestpose_i90_gteval_steps15000_val_step14999.json,100000,,vggt,90.0
vggt,100,42,0.0,100000,random,,,,0,10,minfarthestpose,100,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bicycle,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,,outdoor,17.131547927856445,0.42457109689712524,0.26422879099845886,1000000,0.015981202945113182,0.6791287064552307,,,0.11612247289814992,0.4338998287259344,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_minfarthestpose_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_minfarthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p100000_random_minfarthestpose_i100_gteval_steps15000,0.679,0.066492,100,5.275284,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_minfarthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p100000_random_minfarthestpose,bicycle_4_n100_s42_c0.0_p100000_random_minfarthestpose_i100_gteval_steps15000_val_step14999.json,100000,,vggt,100.0
