choice,camera_src,pcd_src,sampling_mode,eval_rre,eval_rte,psnr,lpips,ssim,quality
COLMAP,,,,0.09517744928598404,0.0019269566982984543,22.8007869720459,0.08921363204717636,0.906125545501709,0.8034973809032024
VGGT,COLMAP Cams,Both Pcds,confidence,,,,,,
VGGT,COLMAP Cams,Both Pcds,random,,,,,,
VGGT,COLMAP Cams,Both Pcds,voxels,,,,,,
VGGT,COLMAP Cams,VGGT Pcd,confidence,,,,,,
VGGT,COLMAP Cams,VGGT Pcd,random,,,,,,
VGGT,COLMAP Cams,VGGT Pcd,voxels,,,,,,
VGGT,,,confidence,0.1160699874162674,0.0031097140163183212,20.873910903930664,0.08522767573595047,0.8683367967605591,0.748176274137345
VGGT,,,random,0.11680243164300919,0.003112764097750187,20.82868766784668,0.08489738404750824,0.867317259311676,0.7469464698304131
VGGT,,,voxels,0.11604703962802887,0.003111577592790127,20.8713321685791,0.08494403213262558,0.8681344389915466,0.748185270546395
