choice,dataset,depth_lambda,eval_rre,eval_rte,psnr,lpips,ssim,quality
VGGT,bonsai,0.0,0.7885617017745972,0.021631203591823578,17.422657012939453,0.3988327085971832,0.5597713589668274,0.3102331869860916
VGGT,bonsai,0.01,0.786948561668396,0.02164759486913681,17.4187068939209,0.3986453711986542,0.5587000846862793,0.3096492008159035
VGGT,bonsai,0.1,0.761688768863678,0.021316953003406525,17.360031127929688,0.4004054367542267,0.5513972043991089,0.3032054621109023
VGGT,bonsai,1.0,0.7445241808891296,0.02092689275741577,17.642126083374023,0.38937845826148987,0.5626344680786133,0.32180771884242776
VGGT,bonsai,10.0,0.7479234933853149,0.02159780263900757,17.75724220275879,0.3920755982398987,0.5666838884353638,0.32464267968976546
VGGT,kitchen,0.0,0.235776886343956,0.005308283492922783,20.017711639404297,0.17643724381923676,0.4138493239879608,0.41023638186089173
VGGT,kitchen,0.01,0.23724547028541565,0.005270944908261299,20.07744026184082,0.17575815320014954,0.4150998592376709,0.4124929663653184
VGGT,kitchen,0.1,0.23930789530277252,0.0052948021329939365,19.928722381591797,0.17695848643779755,0.4148198962211609,0.4088342640406129
VGGT,kitchen,1.0,0.24442720413208008,0.005271678790450096,20.03512191772461,0.17835670709609985,0.41483956575393677,0.4099530292998048
VGGT,kitchen,10.0,0.2386835515499115,0.005727480165660381,19.951051712036133,0.1823100447654724,0.43819427490234375,0.4196135663924239
VGGT,counter,0.0,0.25385963916778564,0.006176562514156103,20.807443618774414,0.23748624324798584,0.6405438780784607,0.5197463952697198
VGGT,counter,0.01,0.25431573390960693,0.006181803997606039,20.731359481811523,0.2365548312664032,0.6399677395820618,0.5185754523407413
VGGT,counter,0.1,0.24838565289974213,0.006163908168673515,20.870594024658203,0.2329852432012558,0.6440708041191101,0.5257567721694378
VGGT,counter,1.0,0.23473449051380157,0.006131419446319342,20.92658042907715,0.23477403819561005,0.652079164981842,0.5303726149620058
VGGT,counter,10.0,0.23481757938861847,0.0063241953030228615,21.455806732177734,0.23920221626758575,0.6722216606140137,0.5492188960139515
