choice,dataset,num_images,image_mode,eval_rre,eval_rte,num_aligned,psnr,lpips,ssim
COLMAP,bonsai,10,farthestpose,9.962593078613281,0.08342143893241882,4.0,10.370388984680176,0.8212783932685852,0.30286675691604614
COLMAP,bonsai,20,farthestpose,0.6712576150894165,0.010184313170611858,9.0,12.160051345825195,0.5963965654373169,0.3498920500278473
COLMAP,bonsai,30,farthestpose,3.0201199054718018,0.16796274483203888,14.0,12.844159126281738,0.6961448788642883,0.41023141145706177
COLMAP,bonsai,40,farthestpose,0.9805366396903992,0.026201430708169937,34.0,16.20013999938965,0.4658905267715454,0.5211585760116577
COLMAP,bonsai,50,farthestpose,0.1934441328048706,0.006443613674491644,50.0,20.38746452331543,0.2715824842453003,0.6417256593704224
COLMAP,bonsai,60,farthestpose,0.11787588149309158,0.001503425883129239,60.0,22.68277931213379,0.222024068236351,0.7402629256248474
COLMAP,bonsai,70,farthestpose,0.11856911331415176,0.0017005279660224915,70.0,22.954282760620117,0.2121027112007141,0.7451338768005371
COLMAP,bonsai,80,farthestpose,0.10009374469518661,0.0019349874928593636,80.0,24.627426147460938,0.191421240568161,0.795950710773468
COLMAP,bonsai,90,farthestpose,0.12307452410459518,0.012293576262891293,90.0,23.155616760253906,0.19692406058311462,0.719988226890564
COLMAP,bonsai,100,farthestpose,0.09680686891078949,0.0010529047576710582,100.0,24.653011322021484,0.17453931272029877,0.7761514782905579
VGGT,bonsai,10,farthestpose,1.2102712392807007,0.02442226931452751,10.0,14.487955093383789,0.56114661693573,0.4374145269393921
VGGT,bonsai,10,minfarthestpose,,,10.0,,,
VGGT,bonsai,20,farthestpose,0.9037681818008423,0.02400674857199192,20.0,16.24112892150879,0.46481478214263916,0.501432478427887
VGGT,bonsai,20,minfarthestpose,,,16.5,,,
VGGT,bonsai,30,farthestpose,0.9206830263137817,0.023799002170562744,30.0,16.324657440185547,0.4496622383594513,0.5129817128181458
VGGT,bonsai,30,minfarthestpose,,,29.5,,,
VGGT,bonsai,40,farthestpose,0.7884508371353149,0.02240687608718872,40.0,16.5290584564209,0.4392838478088379,0.5240887999534607
VGGT,bonsai,40,minfarthestpose,,,40.0,,,
VGGT,bonsai,50,farthestpose,,,50.0,,,
VGGT,bonsai,50,minfarthestpose,,,50.0,,,
VGGT,bonsai,60,farthestpose,,,60.0,,,
VGGT,bonsai,60,minfarthestpose,,,60.0,,,
VGGT,bonsai,70,farthestpose,,,70.0,,,
VGGT,bonsai,70,minfarthestpose,,,70.0,,,
VGGT,bonsai,80,farthestpose,,,80.0,,,
VGGT,bonsai,80,minfarthestpose,,,80.0,,,
VGGT,bonsai,90,farthestpose,,,90.0,,,
VGGT,bonsai,90,minfarthestpose,,,90.0,,,
VGGT,bonsai,100,farthestpose,0.7885617017745972,0.021631203591823578,100.0,17.422657012939453,0.3988327085971832,0.5597713589668274
VGGT,bonsai,100,minfarthestpose,,,100.0,,,
COLMAP,kitchen,10,farthestpose,2.2528326511383057,0.015426966361701488,5.0,13.383953094482422,0.7249969244003296,0.3768191337585449
COLMAP,kitchen,20,farthestpose,0.10513249784708023,0.0016500689089298248,12.0,17.50998878479004,0.406898558139801,0.5586329698562622
COLMAP,kitchen,30,farthestpose,0.11295972764492035,0.0012758359080180526,28.0,19.522228240966797,0.22792096436023712,0.48186859488487244
COLMAP,kitchen,40,farthestpose,0.09292979538440704,0.0013362925965338945,40.0,21.044775009155273,0.1829119175672531,0.5391585230827332
COLMAP,kitchen,100,farthestpose,0.09359873086214066,0.0009081275202333927,100.0,21.59664535522461,0.14201965928077698,0.49743717908859253
VGGT,kitchen,10,farthestpose,0.31609341502189636,0.0065124803222715855,10.0,16.831378936767578,0.35423943400382996,0.37673231959342957
VGGT,kitchen,10,minfarthestpose,,,10.0,,,
VGGT,kitchen,20,farthestpose,0.24654598534107208,0.006482676602900028,20.0,17.5094051361084,0.2899823486804962,0.4110972285270691
VGGT,kitchen,20,minfarthestpose,,,15.5,,,
VGGT,kitchen,30,farthestpose,0.16266058385372162,0.004843368194997311,30.0,19.270221710205078,0.22625146806240082,0.49594083428382874
VGGT,kitchen,30,minfarthestpose,,,29.5,,,
VGGT,kitchen,40,farthestpose,0.1871022880077362,0.005756455007940531,40.0,18.96849822998047,0.21142953634262085,0.44828301668167114
VGGT,kitchen,40,minfarthestpose,,,40.0,,,
VGGT,kitchen,50,farthestpose,,,50.0,,,
VGGT,kitchen,50,minfarthestpose,,,50.0,,,
VGGT,kitchen,60,farthestpose,,,60.0,,,
VGGT,kitchen,60,minfarthestpose,,,60.0,,,
VGGT,kitchen,70,farthestpose,,,70.0,,,
VGGT,kitchen,70,minfarthestpose,,,70.0,,,
VGGT,kitchen,80,farthestpose,,,80.0,,,
VGGT,kitchen,80,minfarthestpose,,,80.0,,,
VGGT,kitchen,90,farthestpose,,,90.0,,,
VGGT,kitchen,90,minfarthestpose,,,90.0,,,
VGGT,kitchen,100,farthestpose,0.235776886343956,0.005308283492922783,100.0,20.017711639404297,0.17643724381923676,0.4138493239879608
VGGT,kitchen,100,minfarthestpose,,,100.0,,,
COLMAP,counter,10,farthestpose,2.324471950531006,0.030917618423700333,4.0,8.503281593322754,0.7939874529838562,0.3814893364906311
COLMAP,counter,20,farthestpose,3.1688013076782227,0.013678145594894886,3.0,9.180434226989746,0.8296937346458435,0.3853382170200348
COLMAP,counter,30,farthestpose,0.7582684755325317,0.012265180237591267,16.0,15.262022972106934,0.5092620849609375,0.4885578751564026
COLMAP,counter,40,farthestpose,0.09282775968313217,0.001013078959658742,21.0,16.691198348999023,0.4448277950286865,0.5393339395523071
COLMAP,counter,100,farthestpose,0.025510873645544052,0.0002561314613558352,100.0,25.227703094482422,0.18847616016864777,0.8500107526779175
VGGT,counter,10,farthestpose,1.032991886138916,0.011409209109842777,10.0,14.630772590637207,0.529693603515625,0.4285721480846405
VGGT,counter,10,minfarthestpose,,,7.5,,,
VGGT,counter,20,farthestpose,0.4224449694156647,0.0066604032181203365,20.0,16.50326156616211,0.4099852442741394,0.4949265122413635
VGGT,counter,20,minfarthestpose,,,16.5,,,
VGGT,counter,30,farthestpose,0.3405108153820038,0.007026628591120243,30.0,17.623441696166992,0.35817795991897583,0.5414295196533203
VGGT,counter,30,minfarthestpose,,,30.0,,,
VGGT,counter,40,farthestpose,0.2980943024158478,0.007545196916908026,40.0,18.961111068725586,0.3114233613014221,0.5920451283454895
VGGT,counter,40,minfarthestpose,,,40.0,,,
VGGT,counter,50,farthestpose,,,50.0,,,
VGGT,counter,50,minfarthestpose,,,50.0,,,
VGGT,counter,60,farthestpose,,,60.0,,,
VGGT,counter,60,minfarthestpose,,,60.0,,,
VGGT,counter,70,farthestpose,,,70.0,,,
VGGT,counter,70,minfarthestpose,,,70.0,,,
VGGT,counter,80,farthestpose,,,80.0,,,
VGGT,counter,80,minfarthestpose,,,80.0,,,
VGGT,counter,90,farthestpose,,,90.0,,,
VGGT,counter,90,minfarthestpose,,,90.0,,,
VGGT,counter,100,farthestpose,0.25385963916778564,0.006176562514156103,100.0,20.807443618774414,0.23748624324798584,0.6405438780784607
VGGT,counter,100,minfarthestpose,,,100.0,,,
